,Date,ETa
0,2016-10-19,2.273
1,2016-10-20,2.3
0,2016-10-26,1.771
1,2016-10-27,1.54
0,2016-11-11,1.637
1,2016-11-12,2.219
0,2016-11-27,0.623
1,2016-11-28,0.518
0,2016-12-13,0.836
1,2016-12-14,1.023
0,2016-12-22,0.801
1,2016-12-23,0.975
0,2016-12-29,1.104
1,2016-12-30,1.255
0,2017-02-24,2.34
1,2017-02-25,1.715
0,2017-03-03,3.107
1,2017-03-04,3.353
0,2017-03-12,3.314
1,2017-03-13,3.264
0,2017-03-28,4.334
1,2017-03-29,4.319
0,2017-04-04,3.905
1,2017-04-05,4.131
0,2017-04-20,4.403
1,2017-04-21,5.332
0,2017-04-29,5.231
1,2017-04-30,5.513
0,2017-05-15,6.116
1,2017-05-16,6.067
0,2017-05-22,5.356
1,2017-05-23,6.305
0,2017-06-07,5.366
1,2017-06-08,5.037
0,2017-06-16,6.42
1,2017-06-17,6.922
0,2017-06-23,6.344
1,2017-06-24,5.878
0,2017-07-02,6.631
1,2017-07-03,6.484
0,2017-07-09,5.799
1,2017-07-10,5.194
0,2017-07-18,6.557
1,2017-07-19,6.159
0,2017-07-25,5.574
1,2017-07-26,5.399
0,2017-08-10,5.215
1,2017-08-11,5.553
0,2017-08-19,5.052
1,2017-08-20,4.738
0,2017-08-26,4.778
1,2017-08-27,5.298
0,2017-09-20,3.572
1,2017-09-21,3.306
0,2017-09-27,3.61
1,2017-09-28,3.463
0,2017-10-06,2.942
1,2017-10-07,2.907
0,2017-10-13,2.766
1,2017-10-14,2.646
0,2017-10-22,2.258
1,2017-10-23,2.004
0,2017-11-07,1.478
1,2017-11-08,2.076
0,2017-11-14,1.257
1,2017-11-15,1.211
0,2017-11-23,1.118
1,2017-11-24,1.003
0,2017-12-16,0.743
1,2017-12-17,0.461
0,2018-01-10,0.743
1,2018-01-11,0.694
0,2018-01-26,1.236
1,2018-01-27,1.274
0,2018-02-11,1.489
1,2018-02-12,1.115
0,2018-02-18,1.604
1,2018-02-19,1.415
0,2018-03-06,2.469
1,2018-03-07,2.372
0,2018-03-15,3.667
1,2018-03-16,2.508
0,2018-04-23,4.928
1,2018-04-24,5.397
0,2018-05-02,6.131
1,2018-05-03,6.608
0,2018-05-09,5.559
1,2018-05-10,6.222
0,2018-05-18,6.246
1,2018-05-19,6.895
0,2018-06-03,6.974
1,2018-06-04,7.981
0,2018-06-10,5.43
1,2018-06-11,6.425
0,2018-06-19,6.744
1,2018-06-20,7.073
0,2018-06-26,6.329
1,2018-06-27,7.176
0,2018-07-05,6.601
1,2018-07-06,8.684
0,2018-07-12,6.402
1,2018-07-13,7.198
0,2018-07-21,6.728
1,2018-07-22,6.686
0,2018-07-28,6.592
1,2018-07-29,6.274
0,2018-08-06,5.908
1,2018-08-07,5.267
0,2018-08-13,5.061
1,2018-08-14,5.84
0,2018-08-22,5.655
1,2018-08-23,5.51
0,2018-09-07,5.03
1,2018-09-08,4.826
0,2018-09-14,2.208
1,2018-09-15,4.016
0,2018-09-23,4.442
1,2018-09-24,4.09
0,2018-10-09,2.972
1,2018-10-10,2.735
0,2018-10-16,2.55
1,2018-10-17,2.695
0,2018-10-25,2.22
1,2018-10-26,1.846
0,2018-11-10,1.5
1,2018-11-11,1.879
0,2018-11-26,1.071
1,2018-11-27,1.121
0,2018-12-03,0.775
1,2018-12-04,0.844
0,2018-12-28,0.722
1,2018-12-29,0.622
0,2019-01-04,1.062
1,2019-01-05,0.889
0,2019-01-13,0.795
1,2019-01-14,0.676
0,2019-02-05,1.256
1,2019-02-06,1.354
0,2019-03-09,1.678
1,2019-03-10,2.737
0,2019-03-18,3.478
1,2019-03-19,3.831
0,2019-04-10,4.16
1,2019-04-11,3.832
0,2019-04-19,5.002
1,2019-04-20,4.977
0,2019-04-26,4.83
1,2019-04-27,5.62
0,2019-05-05,5.679
1,2019-05-06,5.209
0,2019-05-12,5.227
1,2019-05-13,5.174
0,2019-06-06,5.872
1,2019-06-07,5.666
0,2019-06-13,5.957
1,2019-06-14,5.884
0,2019-06-22,6.824
1,2019-06-23,6.949
0,2019-06-29,5.554
1,2019-06-30,6.969
0,2019-07-08,6.673
1,2019-07-09,5.894
0,2019-07-15,6.6
1,2019-07-16,6.99
0,2019-07-24,6.887
1,2019-07-25,5.98
0,2019-08-09,5.521
1,2019-08-10,4.971
0,2019-08-16,4.805
1,2019-08-17,5.654
0,2019-08-25,5.3
1,2019-08-26,5.277
0,2019-09-01,4.781
1,2019-09-02,3.946
0,2019-09-10,4.209
1,2019-09-11,4.055
0,2019-09-17,3.325
1,2019-09-18,4.143
0,2019-09-26,3.642
1,2019-09-27,2.398
