,Date,ETa
0,2016-10-19,1.85
1,2016-10-20,1.888
0,2016-10-19,1.85
1,2016-10-20,1.888
0,2016-10-19,1.85
1,2016-10-20,1.888
0,2016-10-19,1.85
1,2016-10-20,1.888
0,2016-10-26,1.481
1,2016-10-27,0.936
0,2016-11-04,1.684
1,2016-11-05,2.196
0,2016-11-04,1.684
1,2016-11-05,2.196
0,2016-11-04,1.684
1,2016-11-05,2.196
0,2016-11-04,1.684
1,2016-11-05,2.196
0,2016-11-11,1.181
1,2016-11-12,1.405
0,2016-12-22,0.92
1,2016-12-23,0.46
0,2016-12-22,0.92
1,2016-12-23,0.46
0,2016-12-22,0.92
1,2016-12-23,0.46
0,2016-12-22,0.92
1,2016-12-23,0.46
0,2016-12-29,0.91
1,2016-12-30,1.011
0,2017-01-30,1.118
1,2017-01-31,1.218
0,2017-02-24,2.074
1,2017-02-25,1.557
0,2017-02-24,2.074
1,2017-02-25,1.557
0,2017-02-24,2.074
1,2017-02-25,1.557
0,2017-02-24,2.074
1,2017-02-25,1.557
0,2017-03-03,2.397
1,2017-03-04,2.885
0,2017-03-12,3.56
1,2017-03-13,3.454
0,2017-03-12,3.56
1,2017-03-13,3.454
0,2017-03-12,3.56
1,2017-03-13,3.454
0,2017-03-12,3.56
1,2017-03-13,3.454
0,2017-03-28,4.046
1,2017-03-29,4.126
0,2017-03-28,4.046
1,2017-03-29,4.126
0,2017-04-13,3.74
1,2017-04-14,5.412
0,2017-04-13,3.74
1,2017-04-14,5.412
0,2017-04-13,3.74
1,2017-04-14,5.412
0,2017-04-13,3.74
1,2017-04-14,5.412
0,2017-04-20,4.596
1,2017-04-21,5.751
0,2017-04-29,5.03
1,2017-04-30,5.425
0,2017-04-29,5.03
1,2017-04-30,5.425
0,2017-04-29,5.03
1,2017-04-30,5.425
0,2017-04-29,5.03
1,2017-04-30,5.425
0,2017-05-06,4.743
1,2017-05-07,3.874
0,2017-05-15,6.24
1,2017-05-16,5.395
0,2017-05-22,6.039
1,2017-05-23,7.097
0,2017-06-07,5.945
1,2017-06-08,4.509
0,2017-06-16,6.457
1,2017-06-17,6.927
0,2017-06-16,6.457
1,2017-06-17,6.927
0,2017-06-16,6.457
1,2017-06-17,6.927
0,2017-06-16,6.457
1,2017-06-17,6.927
0,2017-06-23,6.584
1,2017-06-24,7.489
0,2017-07-02,7.061
1,2017-07-03,6.449
0,2017-07-02,7.061
1,2017-07-03,6.449
0,2017-07-02,7.061
1,2017-07-03,6.449
0,2017-07-09,5.974
1,2017-07-10,5.355
0,2017-07-18,6.894
1,2017-07-19,6.866
0,2017-07-18,6.894
1,2017-07-19,6.866
0,2017-07-18,6.894
1,2017-07-19,6.866
0,2017-07-18,6.894
1,2017-07-19,6.866
0,2017-07-25,6.434
1,2017-07-26,6.597
0,2017-08-10,5.382
1,2017-08-11,6.427
0,2017-08-19,5.694
1,2017-08-20,4.747
0,2017-08-19,5.694
1,2017-08-20,4.747
0,2017-08-19,5.694
1,2017-08-20,4.747
0,2017-08-19,5.694
1,2017-08-20,4.747
0,2017-08-26,5.088
1,2017-08-27,5.708
0,2017-09-04,4.932
1,2017-09-05,3.769
0,2017-09-04,4.932
1,2017-09-05,3.769
0,2017-09-04,4.932
1,2017-09-05,3.769
0,2017-09-04,4.932
1,2017-09-05,3.769
0,2017-09-11,4.205
1,2017-09-12,4.98
0,2017-09-20,3.303
1,2017-09-21,2.444
0,2017-09-20,3.303
1,2017-09-21,2.444
0,2017-09-27,3.501
1,2017-09-28,3.378
0,2017-10-06,2.96
1,2017-10-07,3.043
0,2017-10-06,2.96
1,2017-10-07,3.043
0,2017-10-06,2.96
1,2017-10-07,3.043
0,2017-10-06,2.96
1,2017-10-07,3.043
0,2017-10-13,2.087
1,2017-10-14,2.723
0,2017-10-22,2.037
1,2017-10-23,1.501
0,2017-10-22,2.037
1,2017-10-23,1.501
0,2017-10-22,2.037
1,2017-10-23,1.501
0,2017-10-22,2.037
1,2017-10-23,1.501
0,2017-10-29,1.652
1,2017-10-30,1.808
0,2017-11-07,1.34
1,2017-11-08,1.576
0,2017-11-07,1.34
1,2017-11-08,1.576
