,Date,ETa
0,2016-10-03,2.469
1,2016-10-04,2.525
0,2016-10-10,2.128
1,2016-10-11,2.81
0,2016-10-19,2.231
1,2016-10-20,2.279
0,2016-10-26,1.741
1,2016-10-27,1.457
0,2016-11-11,1.535
1,2016-11-12,1.604
0,2016-11-27,0.598
1,2016-11-28,0.493
0,2016-12-13,0.716
1,2016-12-14,0.895
0,2016-12-22,0.793
1,2016-12-23,0.974
0,2016-12-29,0.933
1,2016-12-30,1.073
0,2017-02-24,2.236
1,2017-02-25,1.652
0,2017-03-03,3.037
1,2017-03-04,3.287
0,2017-03-12,3.101
1,2017-03-13,2.973
0,2017-03-28,4.162
1,2017-03-29,4.05
0,2017-04-04,3.764
1,2017-04-05,3.999
0,2017-04-13,3.638
1,2017-04-14,4.62
0,2017-04-20,4.505
1,2017-04-21,5.333
0,2017-04-29,5.238
1,2017-04-30,5.422
0,2017-05-15,6.015
1,2017-05-16,5.993
0,2017-05-22,5.512
1,2017-05-23,5.96
0,2017-06-07,5.336
1,2017-06-08,5.008
0,2017-06-16,6.299
1,2017-06-17,6.801
0,2017-06-23,6.155
1,2017-06-24,5.848
0,2017-07-02,6.394
1,2017-07-03,6.246
0,2017-07-09,5.685
1,2017-07-10,4.971
0,2017-07-18,6.361
1,2017-07-19,5.995
0,2017-07-25,5.395
1,2017-07-26,6.601
0,2017-08-10,5.522
1,2017-08-11,5.784
0,2017-08-19,5.618
1,2017-08-20,5.03
0,2017-08-26,4.592
1,2017-08-27,4.658
0,2017-09-20,3.423
1,2017-09-21,3.134
0,2017-09-27,3.546
1,2017-09-28,3.37
0,2017-10-06,2.954
1,2017-10-07,2.916
0,2017-10-13,2.69
1,2017-10-14,2.565
0,2017-10-22,2.207
1,2017-10-23,2.039
0,2017-11-07,1.474
1,2017-11-08,2.068
0,2017-11-14,1.182
1,2017-11-15,1.206
0,2017-11-23,1.13
1,2017-11-24,1.052
0,2017-12-16,0.655
1,2017-12-17,0.436
0,2018-01-01,0.926
1,2018-01-02,0.92
0,2018-01-26,1.273
1,2018-01-27,1.326
0,2018-02-11,1.451
1,2018-02-12,1.091
0,2018-02-18,1.536
1,2018-02-19,1.134
0,2018-03-06,2.443
1,2018-03-07,2.237
0,2018-03-15,3.447
1,2018-03-16,2.465
0,2018-04-23,5.073
1,2018-04-24,5.557
0,2018-05-02,6.181
1,2018-05-03,6.666
0,2018-05-09,5.74
1,2018-05-10,6.008
0,2018-05-18,6.26
1,2018-05-19,6.9
0,2018-06-03,7.041
1,2018-06-04,8.221
0,2018-06-10,5.559
1,2018-06-11,6.238
0,2018-06-19,6.781
1,2018-06-20,7.192
0,2018-06-26,6.387
1,2018-06-27,6.986
0,2018-07-05,6.539
1,2018-07-06,9.1
0,2018-07-12,6.677
1,2018-07-13,7.2
0,2018-07-21,6.733
1,2018-07-22,6.765
0,2018-07-28,6.705
1,2018-07-29,6.351
0,2018-08-06,6.369
1,2018-08-07,5.769
0,2018-08-13,5.31
1,2018-08-14,6.034
0,2018-08-22,5.909
1,2018-08-23,5.825
0,2018-08-29,4.756
1,2018-08-30,5.145
0,2018-09-07,4.7
1,2018-09-08,4.541
0,2018-09-14,2.249
1,2018-09-15,2.67
0,2018-09-23,4.278
1,2018-09-24,4.05
0,2018-10-09,2.965
1,2018-10-10,2.697
0,2018-10-16,2.479
1,2018-10-17,2.694
0,2018-10-25,2.21
1,2018-10-26,1.858
0,2018-11-10,1.491
1,2018-11-11,1.871
0,2018-11-26,1.073
1,2018-11-27,1.13
0,2018-12-03,0.746
1,2018-12-04,0.807
0,2018-12-28,0.722
1,2018-12-29,0.621
0,2019-01-04,0.899
1,2019-01-05,0.754
0,2019-01-13,0.858
1,2019-01-14,0.693
0,2019-02-05,1.33
1,2019-02-06,1.423
0,2019-03-09,1.583
1,2019-03-10,2.846
0,2019-03-18,3.411
1,2019-03-19,3.768
0,2019-04-10,4.213
1,2019-04-11,3.796
0,2019-04-19,4.975
1,2019-04-20,4.95
0,2019-04-26,4.868
1,2019-04-27,5.632
0,2019-05-05,5.765
1,2019-05-06,5.287
0,2019-05-12,5.382
1,2019-05-13,5.323
0,2019-06-06,5.719
1,2019-06-07,5.572
0,2019-06-13,6.056
1,2019-06-14,6.045
0,2019-06-22,6.901
1,2019-06-23,7.143
0,2019-06-29,5.869
1,2019-06-30,6.974
0,2019-07-08,6.782
1,2019-07-09,5.899
0,2019-07-15,6.552
1,2019-07-16,6.801
0,2019-07-24,6.765
1,2019-07-25,5.781
0,2019-08-09,6.061
1,2019-08-10,5.493
0,2019-08-16,5.437
1,2019-08-17,6.113
0,2019-08-25,5.87
1,2019-08-26,5.69
0,2019-09-01,4.74
1,2019-09-02,3.908
0,2019-09-10,4.012
1,2019-09-11,3.889
0,2019-09-17,3.31
1,2019-09-18,4.066
0,2019-09-26,3.464
1,2019-09-27,2.35
