,Date,ETa
0,2017-05-20,2.019
1,2017-05-21,2.033
0,2017-06-05,0.0
1,2017-06-06,0.0
0,2017-06-21,0.0
1,2017-06-22,0.17
0,2017-07-07,0.0
1,2017-07-08,0.137
0,2017-07-23,3.054
1,2017-07-24,2.221
0,2017-08-08,5.045
1,2017-08-09,4.777
0,2017-08-24,3.932
1,2017-08-25,4.69
0,2017-09-09,3.352
1,2017-09-10,3.352
0,2017-09-25,2.221
1,2017-09-26,2.087
0,2017-10-11,0.791
1,2017-10-12,0.761
0,2017-10-27,0.307
1,2017-10-28,0.445
0,2017-11-28,0.548
1,2017-11-29,0.931
0,2017-12-14,0.713
1,2017-12-15,0.552
0,2018-02-16,1.047
1,2018-02-17,0.933
0,2018-03-04,1.333
1,2018-03-05,1.772
0,2018-04-21,1.195
1,2018-04-22,1.168
0,2018-05-07,0.0
1,2018-05-08,0.0
0,2018-06-08,0.0
1,2018-06-09,0.276
0,2018-06-24,5.847
1,2018-06-25,5.499
0,2018-07-10,0.0
1,2018-07-11,0.345
0,2018-07-26,1.879
1,2018-07-27,1.645
0,2018-08-11,1.706
1,2018-08-12,1.856
0,2018-08-27,5.066
1,2018-08-28,4.176
0,2018-09-12,1.878
1,2018-09-13,1.628
0,2018-09-28,3.453
1,2018-09-29,1.497
0,2018-10-14,2.657
1,2018-10-15,3.034
0,2018-10-30,1.237
1,2018-10-31,1.179
