,Date,ETa
0,2018-08-26,0.334
1,2018-08-27,0.424
0,2018-08-26,0.334
1,2018-08-27,0.424
0,2018-10-13,0.0
1,2018-10-14,0.023
0,2018-10-13,0.0
1,2018-10-14,0.023
0,2018-10-29,0.302
1,2018-10-30,0.329
0,2018-10-29,0.302
1,2018-10-30,0.329
0,2019-03-06,0.219
1,2019-03-07,0.184
0,2019-03-06,0.219
1,2019-03-07,0.184
0,2019-03-06,0.219
1,2019-03-07,0.184
0,2019-03-06,0.219
1,2019-03-07,0.184
0,2019-03-22,0.914
1,2019-03-23,0.988
0,2019-03-22,0.914
1,2019-03-23,0.988
0,2019-03-22,0.914
1,2019-03-23,0.988
0,2019-03-22,0.914
1,2019-03-23,0.988
0,2019-05-25,1.969
1,2019-05-26,2.154
0,2019-05-25,1.969
1,2019-05-26,2.154
0,2019-08-29,5.515
1,2019-08-30,6.342
0,2019-08-29,5.515
1,2019-08-30,6.342
0,2019-09-14,5.211
1,2019-09-15,5.335
0,2019-11-01,2.25
1,2019-11-02,2.549
0,2019-11-01,2.25
1,2019-11-02,2.549
0,2019-11-01,2.25
1,2019-11-02,2.549
0,2019-11-01,2.25
1,2019-11-02,2.549
0,2019-12-03,1.423
1,2019-12-04,1.705
0,2019-12-03,1.423
1,2019-12-04,1.705
0,2019-12-03,1.423
1,2019-12-04,1.705
0,2019-12-03,1.423
1,2019-12-04,1.705
0,2020-02-21,1.108
1,2020-02-22,0.886
0,2020-02-21,1.108
1,2020-02-22,0.886
0,2020-02-21,1.108
1,2020-02-22,0.886
0,2020-02-21,1.108
1,2020-02-22,0.886
0,2020-03-08,0.0
1,2020-03-09,0.07
0,2020-03-24,1.917
1,2020-03-25,1.494
0,2020-03-24,1.917
1,2020-03-25,1.494
0,2020-04-25,1.593
1,2020-04-26,1.74
0,2020-04-25,1.593
1,2020-04-26,1.74
0,2020-04-25,1.593
1,2020-04-26,1.74
0,2020-04-25,1.593
1,2020-04-26,1.74
0,2020-05-11,3.946
1,2020-05-12,3.91
0,2020-05-11,3.946
1,2020-05-12,3.91
0,2020-05-27,1.986
1,2020-05-28,2.858
0,2020-05-27,1.986
1,2020-05-28,2.858
0,2020-06-12,3.84
1,2020-06-13,3.669
0,2020-06-12,3.84
1,2020-06-13,3.669
0,2020-07-14,5.597
1,2020-07-15,4.647
0,2020-07-14,5.597
1,2020-07-15,4.647
0,2020-07-30,2.34
1,2020-07-31,2.879
0,2020-07-30,2.34
1,2020-07-31,2.879
0,2020-08-15,3.158
1,2020-08-16,3.215
0,2020-08-15,3.158
1,2020-08-16,3.215
0,2020-10-02,0.879
1,2020-10-03,0.822
0,2020-10-02,0.879
1,2020-10-03,0.822
0,2020-10-18,0.524
1,2020-10-19,0.633
0,2020-10-18,0.524
1,2020-10-19,0.633
0,2020-11-19,0.24
1,2020-11-20,0.368
0,2020-11-19,0.24
1,2020-11-20,0.368
0,2020-11-19,0.24
1,2020-11-20,0.368
0,2020-11-19,0.24
1,2020-11-20,0.368
