,Date,ETa
0,2016-01-17,0.642
1,2016-01-18,1.435
0,2016-02-02,0.66
1,2016-02-03,0.541
0,2016-02-09,0.401
1,2016-02-10,0.743
0,2016-02-09,0.401
1,2016-02-10,0.743
0,2016-02-18,0.0
1,2016-02-19,0.266
0,2016-02-25,1.296
1,2016-02-26,1.555
0,2016-02-25,1.296
1,2016-02-26,1.555
0,2016-03-12,2.762
1,2016-03-13,1.754
0,2016-03-12,2.762
1,2016-03-13,1.754
0,2016-03-21,0.34
1,2016-03-22,0.613
0,2016-03-28,1.706
1,2016-03-29,0.0
0,2016-03-28,1.706
1,2016-03-29,0.0
0,2016-04-06,0.0
1,2016-04-07,0.39
0,2016-04-13,1.896
1,2016-04-14,0.0
0,2016-04-13,1.896
1,2016-04-14,0.0
0,2016-04-22,0.966
1,2016-04-23,1.23
0,2016-05-08,1.959
1,2016-05-09,1.755
0,2016-05-24,0.0
1,2016-05-25,1.305
0,2016-06-09,0.0
1,2016-06-10,0.273
0,2016-06-16,2.322
1,2016-06-17,1.502
0,2016-06-16,2.322
1,2016-06-17,1.502
0,2016-06-25,4.686
1,2016-06-26,3.432
0,2016-07-02,5.952
1,2016-07-03,4.895
0,2016-07-02,5.952
1,2016-07-03,4.895
0,2016-07-11,5.685
1,2016-07-12,4.469
0,2016-07-18,7.158
1,2016-07-19,6.827
0,2016-07-18,7.158
1,2016-07-19,6.827
0,2016-07-27,5.545
1,2016-07-28,5.991
0,2016-08-12,4.482
1,2016-08-13,4.67
0,2016-08-19,5.797
1,2016-08-20,4.147
0,2016-08-19,5.797
1,2016-08-20,4.147
0,2016-09-04,4.94
1,2016-09-05,4.649
0,2016-09-04,4.94
1,2016-09-05,4.649
0,2016-09-13,4.284
1,2016-09-14,4.031
0,2016-09-20,3.015
1,2016-09-21,3.047
0,2016-09-20,3.015
1,2016-09-21,3.047
