,Date,ETa
0,2016-01-17,0.633
1,2016-01-18,1.426
0,2016-02-02,0.435
1,2016-02-03,0.352
0,2016-02-09,0.174
1,2016-02-10,0.261
0,2016-02-09,0.174
1,2016-02-10,0.261
0,2016-02-18,0.0
1,2016-02-19,0.179
0,2016-02-25,0.874
1,2016-02-26,1.113
0,2016-02-25,0.874
1,2016-02-26,1.113
0,2016-03-12,3.27
1,2016-03-13,1.862
0,2016-03-12,3.27
1,2016-03-13,1.862
0,2016-03-21,0.0
1,2016-03-22,0.297
0,2016-03-28,1.68
1,2016-03-29,0.0
0,2016-03-28,1.68
1,2016-03-29,0.0
0,2016-04-13,1.951
1,2016-04-14,0.0
0,2016-04-13,1.951
1,2016-04-14,0.0
0,2016-04-22,1.262
1,2016-04-23,1.6
0,2016-05-08,2.154
1,2016-05-09,1.95
0,2016-05-24,0.0
1,2016-05-25,1.276
0,2016-06-09,0.0
1,2016-06-10,0.547
0,2016-06-16,4.649
1,2016-06-17,5.676
0,2016-06-16,4.649
1,2016-06-17,5.676
0,2016-06-25,4.686
1,2016-06-26,3.468
0,2016-07-02,6.277
1,2016-07-03,6.018
0,2016-07-02,6.277
1,2016-07-03,6.018
0,2016-07-11,5.336
1,2016-07-12,4.263
0,2016-07-18,7.198
1,2016-07-19,6.856
0,2016-07-18,7.198
1,2016-07-19,6.856
0,2016-07-27,5.357
1,2016-07-28,5.788
0,2016-08-12,4.323
1,2016-08-13,4.434
0,2016-09-04,4.782
1,2016-09-05,4.583
0,2016-09-04,4.782
1,2016-09-05,4.583
0,2016-09-20,3.08
1,2016-09-21,3.219
0,2016-09-20,3.08
1,2016-09-21,3.219
