,Date,ETa
0,2016-01-17,0.849
1,2016-01-18,1.75
0,2016-02-02,0.776
1,2016-02-03,0.638
0,2016-02-09,0.507
1,2016-02-10,0.764
0,2016-02-09,0.507
1,2016-02-10,0.764
0,2016-02-18,0.0
1,2016-02-19,0.309
0,2016-02-25,1.506
1,2016-02-26,1.801
0,2016-02-25,1.506
1,2016-02-26,1.801
0,2016-03-12,3.116
1,2016-03-13,2.105
0,2016-03-21,0.52
1,2016-03-22,0.805
0,2016-03-28,1.861
1,2016-03-29,0.0
0,2016-03-28,1.861
1,2016-03-29,0.0
0,2016-04-06,0.0
1,2016-04-07,0.432
0,2016-04-13,2.101
1,2016-04-14,3.238
0,2016-04-13,2.101
1,2016-04-14,3.238
0,2016-04-22,1.376
1,2016-04-23,1.808
0,2016-05-08,2.117
1,2016-05-09,1.894
0,2016-05-24,0.0
1,2016-05-25,1.304
0,2016-06-16,2.564
1,2016-06-17,2.668
0,2016-06-16,2.564
1,2016-06-17,2.668
0,2016-06-25,4.77
1,2016-06-26,3.445
0,2016-07-02,5.608
1,2016-07-03,4.509
0,2016-07-02,5.608
1,2016-07-03,4.509
0,2016-07-11,5.562
1,2016-07-12,4.397
0,2016-07-18,7.176
1,2016-07-19,6.876
0,2016-07-18,7.176
1,2016-07-19,6.876
0,2016-07-27,5.718
1,2016-07-28,6.163
0,2016-08-12,4.4
1,2016-08-13,4.498
0,2016-09-04,4.678
1,2016-09-05,4.788
0,2016-09-04,4.678
1,2016-09-05,4.788
0,2016-09-20,2.731
1,2016-09-21,2.861
0,2016-09-20,2.731
1,2016-09-21,2.861
