,Date,ETa
0,2016-01-17,0.776
1,2016-01-18,1.433
0,2016-02-02,0.585
1,2016-02-03,0.483
0,2016-02-09,0.503
1,2016-02-10,0.758
0,2016-02-09,0.503
1,2016-02-10,0.758
0,2016-02-18,0.0
1,2016-02-19,0.327
0,2016-02-25,1.699
1,2016-02-26,2.014
0,2016-02-25,1.699
1,2016-02-26,2.014
0,2016-03-12,3.14
1,2016-03-13,1.771
0,2016-03-21,0.47
1,2016-03-22,0.763
0,2016-03-28,1.92
1,2016-03-29,0.0
0,2016-03-28,1.92
1,2016-03-29,0.0
0,2016-04-06,0.0
1,2016-04-07,0.442
0,2016-04-13,2.216
1,2016-04-14,3.362
0,2016-04-13,2.216
1,2016-04-14,3.362
0,2016-04-22,2.084
1,2016-04-23,2.691
0,2016-05-08,2.417
1,2016-05-09,2.189
0,2016-05-24,0.0
1,2016-05-25,1.324
0,2016-06-09,0.0
1,2016-06-10,0.558
0,2016-06-16,5.288
1,2016-06-17,4.98
0,2016-06-16,5.288
1,2016-06-17,4.98
0,2016-06-25,5.345
1,2016-06-26,3.86
0,2016-07-02,6.198
1,2016-07-03,4.968
0,2016-07-02,6.198
1,2016-07-03,4.968
0,2016-07-11,6.061
1,2016-07-12,4.697
0,2016-07-18,7.145
1,2016-07-19,7.055
0,2016-07-18,7.145
1,2016-07-19,7.055
0,2016-07-27,5.579
1,2016-07-28,5.949
0,2016-08-12,4.709
1,2016-08-13,4.795
0,2016-09-04,4.928
1,2016-09-05,5.076
0,2016-09-04,4.928
1,2016-09-05,5.076
0,2016-09-20,3.377
1,2016-09-21,3.492
0,2016-09-20,3.377
1,2016-09-21,3.492
