,Date,ETa
0,2017-05-22,4.5
1,2017-05-23,5.349
0,2017-06-07,4.893
1,2017-06-08,1.896
0,2017-06-16,4.91
1,2017-06-17,5.319
0,2017-06-16,4.91
1,2017-06-17,5.319
0,2017-06-16,4.91
1,2017-06-17,5.319
0,2017-06-16,4.91
1,2017-06-17,5.319
0,2017-06-23,5.577
1,2017-06-24,5.263
0,2017-07-02,6.146
1,2017-07-03,5.745
0,2017-07-02,6.146
1,2017-07-03,5.745
0,2017-07-02,6.146
1,2017-07-03,5.745
0,2017-07-02,6.146
1,2017-07-03,5.745
0,2017-07-09,4.921
1,2017-07-10,4.387
0,2017-07-18,5.85
1,2017-07-19,5.724
0,2017-07-18,5.85
1,2017-07-19,5.724
0,2017-07-18,5.85
1,2017-07-19,5.724
0,2017-07-18,5.85
1,2017-07-19,5.724
0,2017-07-25,5.301
1,2017-07-26,5.368
0,2017-08-10,4.56
1,2017-08-11,4.826
0,2017-08-19,5.696
1,2017-08-20,4.702
0,2017-08-19,5.696
1,2017-08-20,4.702
0,2017-08-19,5.696
1,2017-08-20,4.702
0,2017-08-19,5.696
1,2017-08-20,4.702
0,2017-08-26,5.459
1,2017-08-27,5.697
0,2017-09-04,3.182
1,2017-09-05,2.552
0,2017-09-04,3.182
1,2017-09-05,2.552
0,2017-09-04,3.182
1,2017-09-05,2.552
0,2017-09-04,3.182
1,2017-09-05,2.552
0,2017-09-11,3.816
1,2017-09-12,4.868
0,2017-09-20,3.522
1,2017-09-21,2.772
0,2017-09-20,3.522
1,2017-09-21,2.772
0,2017-09-20,3.522
1,2017-09-21,2.772
0,2017-09-20,3.522
1,2017-09-21,2.772
0,2017-09-27,3.696
1,2017-09-28,3.713
0,2017-10-06,3.181
1,2017-10-07,3.387
0,2017-10-06,3.181
1,2017-10-07,3.387
0,2017-10-06,3.181
1,2017-10-07,3.387
0,2017-10-06,3.181
1,2017-10-07,3.387
0,2017-10-13,2.261
1,2017-10-14,1.697
0,2017-10-22,2.262
1,2017-10-23,1.666
0,2017-10-22,2.262
1,2017-10-23,1.666
0,2017-10-22,2.262
1,2017-10-23,1.666
0,2017-10-22,2.262
1,2017-10-23,1.666
0,2017-10-29,1.756
1,2017-10-30,1.606
0,2017-11-07,1.454
1,2017-11-08,1.826
0,2017-11-07,1.454
1,2017-11-08,1.826
0,2017-11-07,1.454
1,2017-11-08,1.826
0,2017-11-07,1.454
1,2017-11-08,1.826
0,2017-11-14,0.985
1,2017-11-15,1.103
0,2017-11-23,1.23
1,2017-11-24,1.06
0,2017-11-23,1.23
1,2017-11-24,1.06
0,2017-12-16,0.829
1,2017-12-17,0.653
0,2017-12-25,1.148
1,2017-12-26,1.127
0,2018-01-26,0.398
1,2018-01-27,0.596
0,2018-02-02,1.018
1,2018-02-03,0.995
0,2018-02-11,1.57
1,2018-02-12,1.225
0,2018-02-11,1.57
1,2018-02-12,1.225
0,2018-02-18,0.709
1,2018-02-19,1.763
0,2018-02-27,1.161
1,2018-02-28,1.53
0,2018-03-06,1.638
1,2018-03-07,1.781
0,2018-03-15,2.625
1,2018-03-16,1.473
0,2018-03-15,2.625
1,2018-03-16,1.473
0,2018-03-15,2.625
1,2018-03-16,1.473
0,2018-03-15,2.625
1,2018-03-16,1.473
0,2018-04-16,3.524
1,2018-04-17,4.01
0,2018-04-16,3.524
1,2018-04-17,4.01
0,2018-04-16,3.524
1,2018-04-17,4.01
0,2018-04-16,3.524
1,2018-04-17,4.01
0,2018-04-23,4.83
1,2018-04-24,4.264
0,2018-05-02,4.837
1,2018-05-03,5.262
0,2018-05-02,4.837
1,2018-05-03,5.262
0,2018-05-02,4.837
1,2018-05-03,5.262
0,2018-05-02,4.837
1,2018-05-03,5.262
0,2018-05-09,4.852
1,2018-05-10,5.1
0,2018-05-18,5.408
1,2018-05-19,5.596
0,2018-05-18,5.408
1,2018-05-19,5.596
0,2018-05-18,5.408
1,2018-05-19,5.596
0,2018-05-18,5.408
1,2018-05-19,5.596
0,2018-06-03,6.906
1,2018-06-04,8.16
0,2018-06-03,6.906
1,2018-06-04,8.16
0,2018-06-03,6.906
1,2018-06-04,8.16
0,2018-06-03,6.906
1,2018-06-04,8.16
0,2018-06-10,6.629
1,2018-06-11,5.568
0,2018-06-19,5.705
1,2018-06-20,5.692
0,2018-06-19,5.705
1,2018-06-20,5.692
0,2018-06-19,5.705
1,2018-06-20,5.692
0,2018-06-19,5.705
1,2018-06-20,5.692
0,2018-06-26,4.701
1,2018-06-27,5.357
0,2018-07-05,6.32
1,2018-07-06,8.938
0,2018-07-05,6.32
1,2018-07-06,8.938
0,2018-07-05,6.32
1,2018-07-06,8.938
0,2018-07-05,6.32
1,2018-07-06,8.938
0,2018-07-12,5.377
1,2018-07-13,6.14
0,2018-07-21,6.363
1,2018-07-22,6.591
0,2018-07-21,6.363
1,2018-07-22,6.591
0,2018-07-21,6.363
1,2018-07-22,6.591
0,2018-07-21,6.363
1,2018-07-22,6.591
0,2018-07-28,5.523
1,2018-07-29,5.484
0,2018-08-06,5.436
1,2018-08-07,4.925
0,2018-08-06,5.436
1,2018-08-07,4.925
0,2018-08-06,5.436
1,2018-08-07,4.925
0,2018-08-06,5.436
1,2018-08-07,4.925
0,2018-08-13,4.489
1,2018-08-14,4.672
0,2018-08-22,5.702
1,2018-08-23,5.955
0,2018-08-22,5.702
1,2018-08-23,5.955
0,2018-08-22,5.702
1,2018-08-23,5.955
0,2018-08-22,5.702
1,2018-08-23,5.955
0,2018-08-29,5.171
1,2018-08-30,5.143
0,2018-09-07,4.626
1,2018-09-08,4.583
0,2018-09-07,4.626
1,2018-09-08,4.583
0,2018-09-07,4.626
1,2018-09-08,4.583
0,2018-09-07,4.626
1,2018-09-08,4.583
0,2018-09-14,2.709
1,2018-09-15,3.872
0,2018-09-23,3.754
1,2018-09-24,3.709
0,2018-09-23,3.754
1,2018-09-24,3.709
0,2018-09-23,3.754
1,2018-09-24,3.709
0,2018-09-23,3.754
1,2018-09-24,3.709
0,2018-10-09,2.775
1,2018-10-10,1.971
0,2018-10-09,2.775
1,2018-10-10,1.971
0,2018-10-16,2.415
1,2018-10-17,2.586
0,2018-10-25,2.12
1,2018-10-26,1.76
0,2018-10-25,2.12
1,2018-10-26,1.76
0,2018-10-25,2.12
1,2018-10-26,1.76
0,2018-10-25,2.12
1,2018-10-26,1.76
