,Date,ETa
0,2017-09-27,1.563
1,2017-09-28,2.108
0,2017-10-29,0.801
1,2017-10-30,0.667
0,2017-11-14,0.243
1,2017-11-15,0.202
0,2018-02-02,0.528
1,2018-02-03,0.564
0,2018-03-06,2.257
1,2018-03-07,2.231
0,2018-04-23,2.111
1,2018-04-24,2.612
0,2018-05-25,5.183
1,2018-05-26,4.514
0,2018-06-26,6.819
1,2018-06-27,8.006
0,2018-07-12,7.035
1,2018-07-13,6.615
0,2018-07-28,6.333
1,2018-07-29,5.824
0,2018-08-29,4.206
1,2018-08-30,4.167
0,2018-10-16,0.881
1,2018-10-17,1.03
0,2018-11-17,0.0
1,2018-11-18,0.022
0,2019-04-10,2.251
1,2019-04-11,1.746
0,2019-04-26,3.514
1,2019-04-27,3.843
0,2019-05-12,5.665
1,2019-05-13,5.12
0,2019-06-29,5.894
1,2019-06-30,5.829
0,2019-07-15,5.648
1,2019-07-16,5.267
0,2019-08-16,5.678
1,2019-08-17,5.354
0,2019-09-01,4.753
1,2019-09-02,4.315
0,2019-11-04,0.305
1,2019-11-05,0.272
0,2019-11-20,0.0
1,2019-11-21,0.009
0,2020-01-07,0.56
1,2020-01-08,0.369
0,2020-02-24,0.612
1,2020-02-25,0.434
0,2020-03-11,1.209
1,2020-03-12,1.091
0,2020-03-27,2.406
1,2020-03-28,2.222
0,2020-04-12,1.72
1,2020-04-13,1.765
0,2020-07-01,5.518
1,2020-07-02,5.84
0,2020-07-17,4.036
1,2020-07-18,3.764
0,2020-08-02,6.125
1,2020-08-03,6.167
0,2020-08-18,4.765
1,2020-08-19,4.162
0,2020-09-03,4.054
1,2020-09-04,5.113
0,2020-10-05,0.911
1,2020-10-06,0.965
0,2020-10-21,1.23
1,2020-10-22,1.103
0,2020-11-22,0.309
1,2020-11-23,0.313
0,2020-12-08,0.364
1,2020-12-09,0.404
0,2020-12-24,0.203
1,2020-12-25,0.232
0,2021-03-30,0.517
1,2021-03-31,0.862
