,Date,ETa
0,2017-01-05,0.0
1,2017-01-06,0.638
0,2017-02-22,0.396
1,2017-02-23,0.615
0,2017-03-03,2.782
1,2017-03-04,3.032
0,2017-03-03,2.782
1,2017-03-04,3.032
0,2017-03-03,2.782
1,2017-03-04,3.032
0,2017-03-03,2.782
1,2017-03-04,3.032
0,2017-04-04,3.861
1,2017-04-05,4.196
0,2017-04-04,3.861
1,2017-04-05,4.196
0,2017-04-04,3.861
1,2017-04-05,4.196
0,2017-04-04,3.861
1,2017-04-05,4.196
0,2017-04-20,4.554
1,2017-04-21,5.25
0,2017-04-20,4.554
1,2017-04-21,5.25
0,2017-04-20,4.554
1,2017-04-21,5.25
0,2017-04-20,4.554
1,2017-04-21,5.25
0,2017-04-27,4.28
1,2017-04-28,3.512
0,2017-05-06,4.401
1,2017-05-07,4.753
0,2017-05-22,5.203
1,2017-05-23,5.313
0,2017-05-22,5.203
1,2017-05-23,5.313
0,2017-05-22,5.203
1,2017-05-23,5.313
0,2017-05-22,5.203
1,2017-05-23,5.313
0,2017-05-29,4.262
1,2017-05-30,6.646
0,2017-06-14,4.201
1,2017-06-15,5.3
0,2017-06-23,6.146
1,2017-06-24,5.405
0,2017-06-23,6.146
1,2017-06-24,5.405
0,2017-06-23,6.146
1,2017-06-24,5.405
0,2017-06-23,6.146
1,2017-06-24,5.405
0,2017-07-09,5.894
1,2017-07-10,5.692
0,2017-07-09,5.894
1,2017-07-10,5.692
0,2017-07-09,5.894
1,2017-07-10,5.692
0,2017-07-09,5.894
1,2017-07-10,5.692
0,2017-07-16,5.215
1,2017-07-17,5.368
0,2017-07-25,5.342
1,2017-07-26,5.39
0,2017-07-25,5.342
1,2017-07-26,5.39
0,2017-07-25,5.342
1,2017-07-26,5.39
0,2017-07-25,5.342
1,2017-07-26,5.39
0,2017-08-01,5.183
1,2017-08-02,4.972
0,2017-08-10,5.758
1,2017-08-11,6.243
0,2017-08-10,5.758
1,2017-08-11,6.243
0,2017-08-17,5.129
1,2017-08-18,5.482
0,2017-08-26,4.772
1,2017-08-27,5.573
0,2017-08-26,4.772
1,2017-08-27,5.573
0,2017-08-26,4.772
1,2017-08-27,5.573
0,2017-08-26,4.772
1,2017-08-27,5.573
0,2017-09-02,3.86
1,2017-09-03,4.526
0,2017-09-18,2.322
1,2017-09-19,3.728
0,2017-09-27,2.51
1,2017-09-28,2.416
0,2017-09-27,2.51
1,2017-09-28,2.416
0,2017-09-27,2.51
1,2017-09-28,2.416
0,2017-09-27,2.51
1,2017-09-28,2.416
0,2017-10-04,1.506
1,2017-10-05,1.503
0,2017-10-13,1.727
1,2017-10-14,1.68
0,2017-10-13,1.727
1,2017-10-14,1.68
0,2017-10-13,1.727
1,2017-10-14,1.68
0,2017-10-13,1.727
1,2017-10-14,1.68
0,2017-10-29,1.263
1,2017-10-30,0.925
0,2017-10-29,1.263
1,2017-10-30,0.925
0,2017-10-29,1.263
1,2017-10-30,0.925
0,2017-10-29,1.263
1,2017-10-30,0.925
0,2017-11-05,0.259
1,2017-11-06,0.382
0,2017-11-14,0.997
1,2017-11-15,1.042
0,2017-11-14,0.997
1,2017-11-15,1.042
0,2017-11-14,0.997
1,2017-11-15,1.042
0,2017-11-14,0.997
1,2017-11-15,1.042
0,2017-12-07,0.426
1,2017-12-08,0.366
0,2017-12-16,0.55
1,2017-12-17,0.373
0,2017-12-16,0.55
1,2017-12-17,0.373
0,2018-01-01,0.621
1,2018-01-02,0.508
0,2018-01-01,0.621
1,2018-01-02,0.508
0,2018-01-01,0.621
1,2018-01-02,0.508
0,2018-01-01,0.621
1,2018-01-02,0.508
0,2018-02-02,1.288
1,2018-02-03,1.282
0,2018-02-02,1.288
1,2018-02-03,1.282
0,2018-02-09,0.468
1,2018-02-10,0.574
0,2018-02-25,1.258
1,2018-02-26,0.705
0,2018-03-06,2.574
1,2018-03-07,2.724
0,2018-03-29,1.974
1,2018-03-30,3.616
0,2018-04-14,2.178
1,2018-04-15,0.911
