,Date,ETa
0,2016-01-03,0.698
1,2016-01-04,0.339
0,2016-01-03,0.698
1,2016-01-04,0.339
0,2016-02-04,0.832
1,2016-02-05,0.741
0,2016-02-04,0.832
1,2016-02-05,0.741
0,2016-02-20,1.596
1,2016-02-21,2.249
0,2016-02-20,1.596
1,2016-02-21,2.249
0,2016-02-20,1.596
1,2016-02-21,2.249
0,2016-02-20,1.596
1,2016-02-21,2.249
0,2016-04-24,2.146
1,2016-04-25,1.897
0,2016-04-24,2.146
1,2016-04-25,1.897
0,2016-04-24,2.146
1,2016-04-25,1.897
0,2016-04-24,2.146
1,2016-04-25,1.897
0,2016-05-10,3.914
1,2016-05-11,2.931
0,2016-05-10,3.914
1,2016-05-11,2.931
0,2016-05-10,3.914
1,2016-05-11,2.931
0,2016-05-10,3.914
1,2016-05-11,2.931
0,2016-06-11,4.948
1,2016-06-12,4.719
0,2016-06-11,4.948
1,2016-06-12,4.719
0,2016-06-11,4.948
1,2016-06-12,4.719
0,2016-06-11,4.948
1,2016-06-12,4.719
0,2016-06-27,1.142
1,2016-06-28,1.205
0,2016-06-27,1.142
1,2016-06-28,1.205
0,2016-06-27,1.142
1,2016-06-28,1.205
0,2016-06-27,1.142
1,2016-06-28,1.205
0,2016-07-13,2.155
1,2016-07-14,0.931
0,2016-07-13,2.155
1,2016-07-14,0.931
0,2016-07-13,2.155
1,2016-07-14,0.931
0,2016-07-13,2.155
1,2016-07-14,0.931
0,2016-08-14,5.603
1,2016-08-15,4.986
0,2016-10-01,2.058
1,2016-10-02,1.957
0,2016-10-01,2.058
1,2016-10-02,1.957
0,2016-10-01,2.058
1,2016-10-02,1.957
0,2016-10-01,2.058
1,2016-10-02,1.957
0,2016-10-17,2.166
1,2016-10-18,1.473
0,2016-10-17,2.166
1,2016-10-18,1.473
0,2016-10-17,2.166
1,2016-10-18,1.473
0,2016-10-17,2.166
1,2016-10-18,1.473
0,2016-11-18,0.882
1,2016-11-19,0.629
0,2016-11-18,0.882
1,2016-11-19,0.629
0,2016-12-20,0.458
1,2016-12-21,0.589
0,2016-12-20,0.458
1,2016-12-21,0.589
0,2016-12-20,0.458
1,2016-12-21,0.589
0,2016-12-20,0.458
1,2016-12-21,0.589
0,2017-02-22,1.268
1,2017-02-23,1.385
0,2017-02-22,1.268
1,2017-02-23,1.385
0,2017-03-10,2.202
1,2017-03-11,0.983
0,2017-03-10,2.202
1,2017-03-11,0.983
0,2017-04-11,3.07
1,2017-04-12,3.551
0,2017-04-11,3.07
1,2017-04-12,3.551
0,2017-04-11,3.07
1,2017-04-12,3.551
0,2017-04-11,3.07
1,2017-04-12,3.551
0,2017-05-13,2.986
1,2017-05-14,3.878
0,2017-05-13,2.986
1,2017-05-14,3.878
0,2017-05-13,2.986
1,2017-05-14,3.878
0,2017-05-13,2.986
1,2017-05-14,3.878
0,2017-05-29,4.447
1,2017-05-30,4.167
0,2017-05-29,4.447
1,2017-05-30,4.167
0,2017-05-29,4.447
1,2017-05-30,4.167
0,2017-05-29,4.447
1,2017-05-30,4.167
