,Date,ETa
0,2016-01-20,1.177
1,2016-01-21,1.044
0,2016-02-05,1.027
1,2016-02-06,1.101
0,2016-02-21,1.219
1,2016-02-22,2.049
0,2016-03-24,1.279
1,2016-03-25,1.674
0,2016-04-09,1.939
1,2016-04-10,1.388
0,2016-05-11,3.824
1,2016-05-12,4.287
0,2016-05-27,5.828
1,2016-05-28,7.217
0,2016-06-12,6.506
1,2016-06-13,6.371
0,2016-07-14,5.322
1,2016-07-15,5.514
0,2016-07-30,6.155
1,2016-07-31,5.388
0,2016-08-15,5.568
1,2016-08-16,5.911
0,2016-09-16,3.95
1,2016-09-17,3.503
0,2016-10-02,3.634
1,2016-10-03,4.197
0,2016-10-18,1.902
1,2016-10-19,1.462
0,2016-11-03,0.729
1,2016-11-04,0.636
0,2016-11-19,0.79
1,2016-11-20,0.712
0,2016-12-05,0.016
1,2016-12-06,0.113
0,2017-01-06,0.501
1,2017-01-07,0.575
0,2017-02-07,1.707
1,2017-02-08,1.675
0,2017-02-23,1.157
1,2017-02-24,1.023
0,2017-03-11,1.997
1,2017-03-12,1.933
0,2017-03-27,1.663
1,2017-03-28,1.349
0,2017-04-12,2.548
1,2017-04-13,3.199
0,2017-05-14,2.621
1,2017-05-15,2.782
0,2017-06-15,5.339
1,2017-06-16,5.368
0,2017-07-01,3.896
1,2017-07-02,3.811
0,2017-08-02,4.483
1,2017-08-03,5.281
0,2017-08-18,5.794
1,2017-08-19,3.744
0,2017-10-05,3.191
1,2017-10-06,3.716
0,2017-10-21,2.027
1,2017-10-22,2.389
0,2017-11-06,1.403
1,2017-11-07,1.166
0,2017-11-22,0.593
1,2017-11-23,0.522
0,2017-12-08,0.673
1,2017-12-09,0.972
0,2017-12-24,0.676
1,2017-12-25,1.111
0,2018-01-25,1.025
1,2018-01-26,0.87
0,2018-02-10,0.0
1,2018-02-11,0.06
0,2018-02-26,1.071
1,2018-02-27,1.168
0,2018-03-30,3.068
1,2018-03-31,3.553
0,2018-04-15,2.53
1,2018-04-16,3.381
0,2018-05-17,3.879
1,2018-05-18,3.675
0,2018-06-02,4.763
1,2018-06-03,4.8
0,2018-06-18,4.982
1,2018-06-19,4.7
0,2018-07-04,4.545
1,2018-07-05,6.138
0,2018-07-20,5.401
1,2018-07-21,5.256
0,2018-08-05,6.031
1,2018-08-06,6.524
0,2018-09-06,4.544
1,2018-09-07,4.965
0,2018-09-22,2.487
1,2018-09-23,2.32
0,2018-10-08,2.464
1,2018-10-09,2.807
0,2018-10-24,1.416
1,2018-10-25,1.371
0,2018-11-09,1.293
1,2018-11-10,1.43
0,2018-11-25,0.825
1,2018-11-26,1.119
0,2018-12-27,0.604
1,2018-12-28,0.439
0,2019-01-28,1.778
1,2019-01-29,1.704
0,2019-03-01,1.839
1,2019-03-02,2.18
0,2019-04-02,1.011
1,2019-04-03,0.989
0,2019-04-18,0.559
1,2019-04-19,0.921
0,2019-05-04,4.723
1,2019-05-05,5.365
0,2019-05-20,4.038
1,2019-05-21,5.874
0,2019-06-05,5.554
1,2019-06-06,5.43
0,2019-06-21,5.441
1,2019-06-22,5.475
0,2019-07-23,4.617
1,2019-07-24,4.999
0,2019-08-08,4.648
1,2019-08-09,4.403
0,2019-08-24,5.526
1,2019-08-25,5.613
0,2019-09-09,4.443
1,2019-09-10,4.783
0,2019-10-11,2.148
1,2019-10-12,2.484
0,2019-10-27,0.829
1,2019-10-28,0.612
0,2019-11-12,1.16
1,2019-11-13,1.617
