,Date,ETa
0,2016-02-20,0.308
1,2016-02-21,0.262
0,2016-02-20,0.308
1,2016-02-21,0.262
0,2016-02-20,0.308
1,2016-02-21,0.262
0,2016-02-20,0.308
1,2016-02-21,0.262
0,2016-02-27,0.193
1,2016-02-28,0.368
0,2016-03-07,0.232
1,2016-03-08,0.209
0,2016-03-07,0.232
1,2016-03-08,0.209
0,2016-03-23,1.13
1,2016-03-24,1.142
0,2016-03-23,1.13
1,2016-03-24,1.142
0,2016-04-08,0.0
1,2016-04-09,0.237
0,2016-04-08,0.0
1,2016-04-09,0.237
0,2016-04-15,1.431
1,2016-04-16,1.342
0,2016-05-01,0.0
1,2016-05-02,0.0
0,2016-05-10,0.0
1,2016-05-11,0.201
0,2016-05-10,0.0
1,2016-05-11,0.201
0,2016-05-17,1.27
1,2016-05-18,0.0
0,2016-05-17,1.27
1,2016-05-18,0.0
0,2016-05-17,1.27
1,2016-05-18,0.0
0,2016-05-17,1.27
1,2016-05-18,0.0
0,2016-06-11,0.0
1,2016-06-12,0.2
0,2016-06-11,0.0
1,2016-06-12,0.2
0,2016-06-27,0.0
1,2016-06-28,0.16
0,2016-06-27,0.0
1,2016-06-28,0.16
0,2016-07-04,1.084
1,2016-07-05,4.149
0,2016-07-04,1.084
1,2016-07-05,4.149
0,2016-07-13,0.132
1,2016-07-14,0.143
0,2016-07-13,0.132
1,2016-07-14,0.143
0,2016-07-13,0.132
1,2016-07-14,0.143
0,2016-07-13,0.132
1,2016-07-14,0.143
0,2016-07-20,0.086
1,2016-07-21,0.0
0,2016-07-20,0.086
1,2016-07-21,0.0
0,2016-07-29,0.024
1,2016-07-30,0.227
0,2016-07-29,0.024
1,2016-07-30,0.227
0,2016-08-05,0.951
1,2016-08-06,0.0
0,2016-08-05,0.951
1,2016-08-06,0.0
0,2016-08-14,1.473
1,2016-08-15,1.263
0,2016-08-14,1.473
1,2016-08-15,1.263
0,2016-08-14,1.473
1,2016-08-15,1.263
0,2016-08-14,1.473
1,2016-08-15,1.263
0,2016-08-21,0.481
1,2016-08-22,0.0
0,2016-08-21,0.481
1,2016-08-22,0.0
0,2016-09-15,0.316
1,2016-09-16,0.356
0,2016-09-22,0.32
1,2016-09-23,0.224
0,2016-09-22,0.32
1,2016-09-23,0.224
0,2016-10-01,0.141
1,2016-10-02,0.339
0,2016-10-01,0.141
1,2016-10-02,0.339
0,2016-10-08,1.166
1,2016-10-09,0.356
0,2016-10-08,1.166
1,2016-10-09,0.356
0,2016-10-08,1.166
1,2016-10-09,0.356
0,2016-10-08,1.166
1,2016-10-09,0.356
0,2016-11-09,0.367
1,2016-11-10,0.321
0,2016-11-09,0.367
1,2016-11-10,0.321
0,2016-11-09,0.367
1,2016-11-10,0.321
0,2016-11-09,0.367
1,2016-11-10,0.321
0,2016-12-04,0.016
1,2016-12-05,0.011
0,2016-12-04,0.016
1,2016-12-05,0.011
0,2016-12-27,0.014
1,2016-12-28,0.014
0,2017-01-05,0.005
1,2017-01-06,0.005
0,2017-01-05,0.005
1,2017-01-06,0.005
0,2017-03-10,0.338
1,2017-03-11,0.191
0,2017-03-10,0.338
1,2017-03-11,0.191
0,2017-04-02,2.019
1,2017-04-03,1.648
0,2017-04-27,1.16
1,2017-04-28,1.222
0,2017-04-27,1.16
1,2017-04-28,1.222
0,2017-04-27,1.16
1,2017-04-28,1.222
0,2017-04-27,1.16
