,Date,ETa
0,2016-04-01,2.089
1,2016-04-02,2.051
0,2016-04-10,0.361
1,2016-04-11,0.329
0,2016-06-20,6.446
1,2016-06-21,5.521
0,2016-07-06,3.377
1,2016-07-07,3.493
0,2016-07-15,3.634
1,2016-07-16,4.224
0,2016-07-22,5.563
1,2016-07-23,3.062
0,2016-08-16,2.061
1,2016-08-17,2.417
0,2016-08-23,4.143
1,2016-08-24,3.479
0,2016-09-01,2.463
1,2016-09-02,2.65
0,2016-09-08,3.38
1,2016-09-09,2.259
0,2016-10-03,1.517
1,2016-10-04,1.848
0,2016-11-04,0.343
1,2016-11-05,0.415
0,2016-11-11,0.518
1,2016-11-12,0.255
