,Date,ETa
0,2016-05-05,0.0
1,2016-05-06,0.323
0,2016-05-21,4.505
1,2016-05-22,5.39
0,2016-06-22,4.954
1,2016-06-23,3.666
0,2016-08-25,4.3
1,2016-08-26,3.198
0,2016-11-13,0.01
1,2016-11-14,0.003
0,2017-04-06,0.858
1,2017-04-07,0.983
0,2017-04-22,0.0
1,2017-04-23,0.01
0,2017-05-08,0.324
1,2017-05-09,0.353
0,2017-06-09,5.982
1,2017-06-10,6.462
0,2017-08-12,4.759
1,2017-08-13,4.279
0,2017-09-13,2.606
1,2017-09-14,2.796
0,2017-12-02,0.01
1,2017-12-03,0.012
0,2018-06-28,4.411
1,2018-06-29,5.585
0,2018-07-14,5.971
1,2018-07-15,5.368
0,2018-07-30,4.921
1,2018-07-31,4.921
0,2018-09-16,3.244
1,2018-09-17,2.631
0,2018-10-18,0.319
1,2018-10-19,0.196
0,2019-05-30,1.897
1,2019-05-31,2.754
0,2019-06-15,2.946
1,2019-06-16,2.245
0,2019-08-02,5.494
1,2019-08-03,4.617
