,Date,ETa
0,2019-04-08,3.284
1,2019-04-09,1.902
0,2019-04-24,2.336
1,2019-04-25,1.134
0,2019-06-11,4.699
1,2019-06-12,4.398
0,2019-06-27,4.877
1,2019-06-28,5.338
0,2019-07-29,2.695
1,2019-07-30,2.809
0,2019-08-14,2.922
1,2019-08-15,5.824
0,2019-10-17,0.865
1,2019-10-18,0.442
0,2019-11-18,0.329
1,2019-11-19,0.316
0,2020-01-05,0.34
1,2020-01-06,0.49
0,2020-02-06,1.514
1,2020-02-07,0.034
0,2020-03-18,0.425
1,2020-03-19,0.779
0,2020-03-18,0.425
1,2020-03-19,0.779
0,2020-03-25,2.777
1,2020-03-26,3.163
0,2020-04-10,2.453
1,2020-04-11,2.674
