,Date,ETa
0,2018-09-01,2.657
1,2018-09-02,2.074
0,2018-09-10,1.108
1,2018-09-11,1.326
0,2018-10-19,0.066
1,2018-10-20,0.406
0,2018-10-28,0.0
1,2018-10-29,0.0
0,2019-04-22,0.22
1,2019-04-23,0.393
0,2019-06-09,3.507
1,2019-06-10,3.628
0,2019-06-25,3.902
1,2019-06-26,4.163
0,2019-07-02,4.328
1,2019-07-03,3.057
0,2019-07-18,5.283
1,2019-07-19,4.575
0,2019-07-27,4.154
1,2019-07-28,3.19
0,2019-08-19,3.588
1,2019-08-20,1.988
0,2019-08-28,2.623
1,2019-08-29,2.418
0,2019-09-04,2.25
1,2019-09-05,2.388
0,2019-09-13,2.984
1,2019-09-14,4.597
0,2019-10-06,0.62
1,2019-10-07,0.814
0,2019-10-22,0.0
1,2019-10-23,0.0
0,2020-03-30,2.579
1,2020-03-31,1.692
0,2020-04-24,2.818
1,2020-04-25,2.241
