,Date,ETa
0,2016-06-08,3.984
1,2016-06-09,3.62
0,2016-07-26,6.898
1,2016-07-27,5.432
0,2016-08-27,4.09
1,2016-08-28,5.813
0,2016-09-12,4.751
1,2016-09-13,3.671
0,2016-09-28,2.94
1,2016-09-29,1.841
0,2016-10-30,1.526
1,2016-10-31,1.261
0,2016-11-15,0.473
1,2016-11-16,0.735
0,2016-12-01,0.354
1,2016-12-02,0.217
0,2017-02-03,1.768
1,2017-02-04,1.556
0,2017-02-19,0.777
1,2017-02-20,1.316
0,2017-03-23,1.293
1,2017-03-24,1.584
0,2017-04-08,1.898
1,2017-04-09,2.67
0,2017-04-24,3.848
1,2017-04-25,4.8
0,2017-05-10,3.797
1,2017-05-11,3.219
0,2017-05-26,4.651
1,2017-05-27,3.351
0,2017-06-11,2.107
1,2017-06-12,1.782
0,2017-06-27,4.31
1,2017-06-28,6.045
0,2017-07-13,3.984
1,2017-07-14,3.92
0,2017-09-15,5.054
1,2017-09-16,5.072
0,2017-10-17,2.095
1,2017-10-18,2.54
0,2018-01-05,0.585
1,2018-01-06,0.729
0,2018-04-27,1.715
1,2018-04-28,1.646
0,2018-06-14,7.309
1,2018-06-15,7.054
0,2018-07-16,6.35
1,2018-07-17,6.108
0,2018-08-01,5.8
1,2018-08-02,6.581
0,2018-09-02,5.425
1,2018-09-03,4.714
0,2018-09-18,3.33
1,2018-09-19,3.722
