,Date,ETa
0,2017-05-10,1.133
1,2017-05-11,0.907
0,2017-05-26,2.734
1,2017-05-27,2.522
0,2017-06-11,2.568
1,2017-06-12,2.005
0,2017-06-27,4.23
1,2017-06-28,4.296
0,2017-10-17,0.225
1,2017-10-18,0.304
0,2018-01-05,0.475
1,2018-01-06,0.672
0,2018-04-11,1.437
1,2018-04-12,1.806
0,2018-04-27,0.821
1,2018-04-28,0.859
0,2018-06-14,4.336
1,2018-06-15,4.603
0,2018-07-16,3.645
1,2018-07-17,2.524
0,2018-08-01,3.998
1,2018-08-02,4.34
0,2018-09-02,3.474
1,2018-09-03,3.381
0,2018-09-18,1.842
1,2018-09-19,2.097
0,2018-11-21,0.527
1,2018-11-22,0.707
0,2018-12-23,0.0
1,2018-12-24,0.04
0,2019-01-24,1.064
1,2019-01-25,1.056
0,2019-03-29,0.675
1,2019-03-30,0.601
0,2019-06-01,1.872
1,2019-06-02,1.999
