,Date,ETa
0,2016-02-24,0.0
1,2016-02-25,0.157
0,2016-02-24,0.0
1,2016-02-25,0.157
0,2016-03-02,1.663
1,2016-03-03,1.606
0,2016-03-18,0.0
1,2016-03-19,0.682
0,2016-04-12,1.13
1,2016-04-13,1.245
0,2016-04-12,1.13
1,2016-04-13,1.245
0,2016-04-03,0.0
1,2016-04-04,0.114
0,2016-05-14,0.0
1,2016-05-15,0.0
0,2016-05-30,0.0
1,2016-05-31,0.0
0,2016-05-14,0.0
1,2016-05-15,0.0
0,2016-05-30,0.0
1,2016-05-31,0.0
0,2016-05-21,0.0
1,2016-05-22,0.0
0,2016-06-15,0.265
1,2016-06-16,0.583
0,2016-06-15,0.265
1,2016-06-16,0.583
0,2016-06-06,0.0
1,2016-06-07,0.0
0,2016-06-22,2.552
1,2016-06-23,0.428
0,2016-07-01,3.832
1,2016-07-02,3.836
0,2016-07-17,0.0
1,2016-07-18,0.0
0,2016-07-01,3.832
1,2016-07-02,3.836
0,2016-07-17,0.0
1,2016-07-18,0.0
0,2016-07-08,1.675
1,2016-07-09,1.458
0,2016-07-24,0.0
1,2016-07-25,0.075
0,2016-08-02,0.588
1,2016-08-03,0.473
0,2016-08-18,0.0
1,2016-08-19,0.063
0,2016-08-02,0.588
1,2016-08-03,0.473
0,2016-08-18,0.0
1,2016-08-19,0.063
0,2016-08-09,0.0
1,2016-08-10,0.439
0,2016-08-25,0.469
1,2016-08-26,0.399
0,2016-09-03,0.0
1,2016-09-04,0.0
0,2016-09-19,0.016
1,2016-09-20,0.015
0,2016-09-03,0.0
1,2016-09-04,0.0
0,2016-09-19,0.016
1,2016-09-20,0.015
0,2016-09-10,0.0
1,2016-09-11,0.855
0,2016-09-26,0.0
1,2016-09-27,0.0
0,2016-10-21,0.0
1,2016-10-22,0.0
0,2016-10-21,0.0
1,2016-10-22,0.0
0,2016-11-13,0.0
1,2016-11-14,0.0
0,2016-12-08,0.174
1,2016-12-09,0.135
0,2016-12-08,0.174
1,2016-12-09,0.135
0,2017-02-26,0.938
1,2017-02-27,0.772
0,2017-02-26,0.938
1,2017-02-27,0.772
0,2017-02-01,1.255
1,2017-02-02,1.557
0,2017-03-14,0.546
1,2017-03-15,1.012
0,2017-03-30,0.186
1,2017-03-31,0.177
0,2017-03-14,0.546
1,2017-03-15,1.012
0,2017-03-30,0.186
1,2017-03-31,0.177
0,2017-03-05,0.0
1,2017-03-06,0.256
0,2017-03-21,2.315
1,2017-03-22,1.519
0,2017-04-15,0.0
1,2017-04-16,0.0
0,2017-04-15,0.0
1,2017-04-16,0.0
0,2017-04-06,0.428
1,2017-04-07,3.742
0,2017-04-22,0.0
1,2017-04-23,0.0
0,2017-05-01,1.06
1,2017-05-02,1.015
0,2017-05-17,0.73
1,2017-05-18,0.7
0,2017-05-01,1.06
1,2017-05-02,1.015
0,2017-05-17,0.73
1,2017-05-18,0.7
