,Date,ETa
0,2016-06-27,2.746
1,2016-06-28,3.133
0,2016-06-27,2.746
1,2016-06-28,3.133
0,2016-07-13,0.614
1,2016-07-14,0.296
0,2016-07-13,0.614
1,2016-07-14,0.296
0,2016-08-30,4.107
1,2016-08-31,3.18
0,2016-08-30,4.107
1,2016-08-31,3.18
0,2016-09-15,1.647
1,2016-09-16,0.876
0,2016-10-01,2.244
1,2016-10-02,2.553
0,2016-10-01,2.244
1,2016-10-02,2.553
0,2016-10-17,2.534
1,2016-10-18,1.731
0,2016-10-17,2.534
1,2016-10-18,1.731
0,2016-12-20,0.229
1,2016-12-21,0.273
0,2017-02-22,2.09
1,2017-02-23,2.222
0,2017-02-22,2.09
1,2017-02-23,2.222
0,2017-03-10,2.752
1,2017-03-11,0.999
0,2017-04-11,4.414
1,2017-04-12,5.396
0,2017-04-11,4.414
1,2017-04-12,5.396
0,2017-04-27,4.252
1,2017-04-28,4.486
0,2017-05-29,3.872
1,2017-05-30,3.079
0,2017-05-29,3.872
1,2017-05-30,3.079
0,2017-08-17,5.53
1,2017-08-18,5.982
0,2017-08-17,5.53
1,2017-08-18,5.982
0,2017-09-18,0.922
1,2017-09-19,1.773
0,2017-09-18,0.922
1,2017-09-19,1.773
0,2018-01-08,0.576
1,2018-01-09,0.772
0,2018-01-08,0.576
1,2018-01-09,0.772
0,2018-01-24,0.207
1,2018-01-25,0.789
0,2018-03-13,1.112
1,2018-03-14,1.798
0,2018-03-13,1.112
1,2018-03-14,1.798
0,2018-06-01,3.076
1,2018-06-02,2.613
0,2018-06-17,3.106
1,2018-06-18,2.846
0,2018-06-17,3.106
1,2018-06-18,2.846
0,2018-07-03,6.635
1,2018-07-04,5.09
0,2018-07-03,6.635
1,2018-07-04,5.09
0,2018-10-23,1.86
1,2018-10-24,1.19
0,2018-10-23,1.86
1,2018-10-24,1.19
0,2018-11-24,0.552
1,2018-11-25,0.181
0,2018-11-24,0.552
1,2018-11-25,0.181
0,2018-12-10,0.367
1,2018-12-11,0.739
0,2019-01-27,1.127
1,2019-01-28,0.561
0,2019-04-17,4.043
1,2019-04-18,4.677
0,2019-04-17,4.043
1,2019-04-18,4.677
0,2019-05-19,3.575
1,2019-05-20,1.055
0,2019-05-19,3.575
1,2019-05-20,1.055
0,2019-06-20,3.462
1,2019-06-21,3.961
0,2019-06-20,3.462
1,2019-06-21,3.961
0,2019-07-22,2.056
1,2019-07-23,1.9
0,2019-07-22,2.056
1,2019-07-23,1.9
0,2019-08-07,3.742
1,2019-08-08,1.494
0,2019-08-07,3.742
1,2019-08-08,1.494
0,2019-10-26,1.391
1,2019-10-27,1.37
0,2019-10-26,1.391
1,2019-10-27,1.37
0,2020-02-15,1.087
1,2020-02-16,0.674
0,2020-02-15,1.087
1,2020-02-16,0.674
0,2020-05-05,5.605
1,2020-05-06,5.574
0,2020-06-06,3.73
1,2020-06-07,3.428
0,2020-06-06,3.73
1,2020-06-07,3.428
0,2020-06-22,2.952
1,2020-06-23,2.609
0,2020-06-22,2.952
1,2020-06-23,2.609
0,2020-08-09,3.946
1,2020-08-10,3.467
0,2020-08-09,3.946
1,2020-08-10,3.467
0,2020-08-25,1.296
1,2020-08-26,1.279
0,2020-08-25,1.296
1,2020-08-26,1.279
0,2020-09-26,0.022
1,2020-09-27,0.038
0,2020-10-12,0.002
1,2020-10-13,0.089
0,2021-02-01,1.618
1,2021-02-02,3.054
0,2021-02-01,1.618
1,2021-02-02,3.054
0,2021-03-21,3.39
1,2021-03-22,0.763
0,2021-05-08,5.661
1,2021-05-09,3.321
0,2021-05-08,5.661
1,2021-05-09,3.321
