,Date,ETa
0,2016-08-14,5.162
1,2016-08-15,4.317
0,2016-08-30,2.932
1,2016-08-31,2.856
0,2016-08-14,5.162
1,2016-08-15,4.317
0,2016-08-30,2.932
1,2016-08-31,2.856
0,2016-09-15,2.729
1,2016-09-16,2.849
0,2016-09-15,2.729
1,2016-09-16,2.849
0,2016-10-01,0.641
1,2016-10-02,0.63
0,2016-10-01,0.641
1,2016-10-02,0.63
0,2017-01-05,0.566
1,2017-01-06,0.733
0,2017-01-05,0.566
1,2017-01-06,0.733
0,2017-04-27,1.63
1,2017-04-28,4.493
0,2017-04-27,1.63
1,2017-04-28,4.493
0,2017-05-13,5.243
1,2017-05-14,5.213
0,2017-05-29,4.157
1,2017-05-30,4.895
0,2017-05-13,5.243
1,2017-05-14,5.213
0,2017-05-29,4.157
1,2017-05-30,4.895
0,2017-06-14,4.706
1,2017-06-15,6.566
0,2017-06-14,4.706
1,2017-06-15,6.566
0,2017-07-16,5.704
1,2017-07-17,5.502
0,2017-08-01,2.21
1,2017-08-02,2.085
0,2017-08-17,3.898
1,2017-08-18,5.185
0,2017-08-01,2.21
1,2017-08-02,2.085
0,2017-08-17,3.898
1,2017-08-18,5.185
0,2017-09-02,2.038
1,2017-09-03,2.329
0,2017-09-18,3.352
1,2017-09-19,3.004
0,2017-09-02,2.038
1,2017-09-03,2.329
0,2017-10-04,1.033
1,2017-10-05,1.786
0,2017-10-04,1.033
1,2017-10-05,1.786
0,2017-11-05,0.92
1,2017-11-06,0.687
0,2018-02-25,0.669
1,2018-02-26,0.448
0,2018-03-29,4.104
1,2018-03-30,3.481
0,2018-04-14,3.275
1,2018-04-15,2.23
0,2018-04-14,3.275
1,2018-04-15,2.23
0,2018-05-09,5.151
1,2018-05-10,5.517
0,2018-06-01,2.394
1,2018-06-02,2.428
0,2018-06-17,5.257
1,2018-06-18,5.245
0,2018-06-01,2.394
1,2018-06-02,2.428
0,2018-06-17,5.257
1,2018-06-18,5.245
0,2018-07-03,2.161
1,2018-07-04,4.537
0,2018-07-19,5.08
1,2018-07-20,6.346
0,2018-07-03,2.161
1,2018-07-04,4.537
0,2018-07-19,5.08
1,2018-07-20,6.346
0,2018-08-04,2.118
1,2018-08-05,2.097
0,2018-08-04,2.118
1,2018-08-05,2.097
0,2018-09-05,4.362
1,2018-09-06,4.551
0,2018-09-21,1.535
1,2018-09-22,2.634
0,2018-09-21,1.535
1,2018-09-22,2.634
0,2018-11-08,0.882
1,2018-11-09,0.516
0,2018-11-08,0.882
1,2018-11-09,0.516
0,2019-03-16,1.768
1,2019-03-17,2.546
0,2019-03-16,1.768
1,2019-03-17,2.546
0,2019-04-17,4.112
1,2019-04-18,5.129
0,2019-04-17,4.112
1,2019-04-18,5.129
0,2019-05-03,2.932
1,2019-05-04,2.897
0,2019-05-03,2.932
1,2019-05-04,2.897
0,2019-06-04,6.342
1,2019-06-05,6.092
0,2019-06-20,4.907
1,2019-06-21,5.39
0,2019-06-04,6.342
1,2019-06-05,6.092
0,2019-06-20,4.907
1,2019-06-21,5.39
0,2019-07-06,5.141
1,2019-07-07,4.527
0,2019-07-22,5.65
1,2019-07-23,6.619
0,2019-07-06,5.141
1,2019-07-07,4.527
0,2019-07-22,5.65
1,2019-07-23,6.619
0,2019-08-23,1.718
1,2019-08-24,1.885
0,2019-08-23,1.718
1,2019-08-24,1.885
0,2019-09-08,4.195
1,2019-09-09,4.276
0,2019-09-24,2.096
1,2019-09-25,1.988
0,2019-09-08,4.195
1,2019-09-09,4.276
0,2019-09-24,2.096
1,2019-09-25,1.988
0,2019-10-10,2.348
1,2019-10-11,2.662
0,2019-10-26,0.636
1,2019-10-27,1.224
0,2019-10-10,2.348
1,2019-10-11,2.662
0,2019-10-26,0.636
1,2019-10-27,1.224
0,2020-01-14,0.902
1,2020-01-15,0.666
0,2020-03-02,2.577
1,2020-03-03,1.778
0,2020-03-02,2.577
1,2020-03-03,1.778
0,2020-04-28,1.677
1,2020-04-29,1.492
0,2020-04-03,3.896
1,2020-04-04,1.896
0,2020-04-19,5.112
1,2020-04-20,3.603
0,2020-04-03,3.896
1,2020-04-04,1.896
0,2020-04-19,5.112
1,2020-04-20,3.603
0,2020-05-05,2.979
1,2020-05-06,2.529
0,2020-05-21,5.274
1,2020-05-22,7.015
0,2020-05-05,2.979
1,2020-05-06,2.529
0,2020-05-21,5.274
1,2020-05-22,7.015
0,2020-06-22,4.947
1,2020-06-23,4.772
0,2020-07-08,1.262
1,2020-07-09,2.699
0,2020-07-24,4.874
1,2020-07-25,6.274
0,2020-07-08,1.262
1,2020-07-09,2.699
0,2020-07-24,4.874
1,2020-07-25,6.274
0,2020-08-09,2.619
1,2020-08-10,4.376
0,2020-08-25,5.022
1,2020-08-26,5.128
0,2020-08-09,2.619
1,2020-08-10,4.376
0,2020-08-25,5.022
1,2020-08-26,5.128
0,2020-09-26,3.396
1,2020-09-27,4.17
0,2020-09-26,3.396
1,2020-09-27,4.17
0,2020-10-12,1.61
1,2020-10-13,1.707
