,Date,ETa
0,2016-02-08,2.145
1,2016-02-09,0.779
0,2016-02-17,1.733
1,2016-02-18,1.813
0,2016-03-04,2.182
1,2016-03-05,2.959
0,2016-03-20,3.77
1,2016-03-21,3.78
0,2016-04-05,3.403
1,2016-04-06,2.67
0,2016-05-07,6.006
1,2016-05-08,5.473
0,2016-05-23,5.742
1,2016-05-24,6.746
0,2016-05-30,6.438
1,2016-05-31,6.285
0,2016-06-08,6.37
1,2016-06-09,6.101
0,2016-06-24,5.212
1,2016-06-25,5.742
0,2016-07-01,8.192
1,2016-07-02,8.151
0,2016-07-17,7.025
1,2016-07-18,5.943
0,2016-08-02,6.852
1,2016-08-03,6.883
0,2016-08-11,4.728
1,2016-08-12,4.532
0,2016-09-03,5.543
1,2016-09-04,5.266
0,2016-09-12,4.46
1,2016-09-13,4.216
0,2016-09-19,4.912
1,2016-09-20,4.931
0,2016-09-28,4.245
1,2016-09-29,4.027
0,2016-10-21,2.742
1,2016-10-22,2.834
0,2016-10-30,2.362
1,2016-10-31,2.696
0,2016-12-08,1.262
1,2016-12-09,1.189
0,2017-02-10,1.922
1,2017-02-11,2.616
0,2017-02-26,2.568
1,2017-02-27,1.702
0,2017-03-23,3.342
1,2017-03-24,3.664
0,2017-03-30,4.053
1,2017-03-31,4.206
0,2017-04-08,4.029
1,2017-04-09,4.201
0,2017-04-24,5.027
1,2017-04-25,5.727
0,2017-05-01,5.201
1,2017-05-02,5.019
0,2017-05-10,5.778
1,2017-05-11,4.175
0,2017-05-17,5.912
1,2017-05-18,5.641
0,2017-06-11,6.259
1,2017-06-12,4.666
0,2017-06-27,7.256
1,2017-06-28,7.231
0,2017-09-06,5.221
1,2017-09-07,4.809
0,2017-09-15,4.746
1,2017-09-16,4.286
0,2017-10-01,3.307
1,2017-10-02,2.193
0,2017-10-17,3.202
1,2017-10-18,2.833
0,2017-10-24,2.495
1,2017-10-25,2.128
0,2017-11-09,1.824
1,2017-11-10,2.042
0,2017-12-11,0.976
1,2017-12-12,0.638
