,Date,ETa
0,2018-10-18,0.64
1,2018-10-19,0.407
0,2019-04-28,1.887
1,2019-04-29,1.16
0,2019-06-08,4.171
1,2019-06-09,2.21
0,2019-07-10,4.769
1,2019-07-11,4.369
0,2019-08-27,2.875
1,2019-08-28,2.752
0,2019-08-02,4.269
1,2019-08-03,4.506
0,2019-10-14,1.172
1,2019-10-15,1.429
0,2020-05-09,1.54
1,2020-05-10,0.552
0,2020-05-16,2.331
1,2020-05-17,0.587
0,2020-06-17,4.623
1,2020-06-18,5.181
0,2020-07-12,4.546
1,2020-07-13,5.125
0,2020-07-03,7.005
1,2020-07-04,5.754
0,2020-09-14,2.595
1,2020-09-15,3.459
0,2020-09-05,2.958
1,2020-09-06,2.676
0,2020-09-21,1.887
1,2020-09-22,2.281
0,2021-11-27,0.669
1,2021-11-28,0.411
0,2022-03-28,1.943
1,2022-03-29,2.234
0,2022-06-16,4.341
1,2022-06-17,3.574
0,2022-09-20,2.802
1,2022-09-21,1.751
0,2022-10-22,0.616
1,2022-10-23,0.547
0,2022-11-07,0.493
1,2022-11-08,0.518
0,2022-11-23,0.302
1,2022-11-24,0.22
