,Date,ETa
0,2021-09-13,3.765
1,2021-09-14,3.938
0,2021-09-29,2.77
1,2021-09-30,3.04
0,2021-09-13,3.765
1,2021-09-14,3.938
0,2021-09-29,2.77
1,2021-09-30,3.04
0,2021-10-15,2.199
1,2021-10-16,2.051
0,2021-10-15,2.199
1,2021-10-16,2.051
0,2022-03-24,3.406
1,2022-03-25,3.261
0,2022-03-24,3.406
1,2022-03-25,3.261
0,2022-04-09,3.691
1,2022-04-10,3.787
0,2022-04-25,4.278
1,2022-04-26,4.016
0,2022-04-09,3.691
1,2022-04-10,3.787
0,2022-04-25,4.278
1,2022-04-26,4.016
0,2022-05-11,3.453
1,2022-05-12,3.177
0,2022-05-11,3.453
1,2022-05-12,3.177
0,2022-06-12,3.406
1,2022-06-13,5.715
0,2022-06-28,4.722
1,2022-06-29,4.578
0,2022-06-12,3.406
1,2022-06-13,5.715
0,2022-06-28,4.722
1,2022-06-29,4.578
0,2022-07-30,3.362
1,2022-07-31,3.279
0,2022-07-30,3.362
1,2022-07-31,3.279
0,2022-09-16,2.988
1,2022-09-17,2.554
0,2022-09-16,2.988
1,2022-09-17,2.554
0,2022-11-19,0.756
1,2022-11-20,0.718
0,2022-11-19,0.756
1,2022-11-20,0.718
0,2023-01-22,1.03
1,2023-01-23,0.985
0,2023-01-22,1.03
1,2023-01-23,0.985
0,2023-03-27,3.321
1,2023-03-28,1.709
0,2023-04-12,3.128
1,2023-04-13,3.607
0,2023-04-28,4.886
1,2023-04-29,4.67
0,2023-04-12,3.128
1,2023-04-13,3.607
0,2023-04-28,4.886
1,2023-04-29,4.67
0,2023-05-14,5.206
1,2023-05-15,4.711
0,2023-05-30,4.968
1,2023-05-31,5.952
0,2023-05-14,5.206
1,2023-05-15,4.711
0,2023-05-30,4.968
1,2023-05-31,5.952
0,2023-07-01,6.045
1,2023-07-02,6.682
0,2023-07-17,5.418
1,2023-07-18,5.11
0,2023-07-01,6.045
1,2023-07-02,6.682
0,2023-07-17,5.418
1,2023-07-18,5.11
0,2023-08-02,5.316
1,2023-08-03,5.056
0,2023-08-18,4.82
1,2023-08-19,5.2
0,2023-08-02,5.316
1,2023-08-03,5.056
0,2023-08-18,4.82
1,2023-08-19,5.2
0,2023-09-03,3.746
1,2023-09-04,4.563
0,2023-09-19,3.53
1,2023-09-20,3.305
0,2023-09-03,3.746
1,2023-09-04,4.563
0,2023-09-19,3.53
1,2023-09-20,3.305
0,2023-10-05,2.922
1,2023-10-06,3.019
0,2023-10-05,2.922
1,2023-10-06,3.019
0,2023-12-08,0.469
1,2023-12-09,0.4
0,2023-12-08,0.469
1,2023-12-09,0.4
