,Date,ETa
0,2016-06-21,6.1
1,2016-06-22,5.317
0,2016-06-28,5.944
1,2016-06-29,5.424
0,2016-07-07,4.358
1,2016-07-08,4.815
0,2016-07-14,5.783
1,2016-07-15,5.724
0,2016-07-23,4.756
1,2016-07-24,4.321
0,2016-07-30,4.762
1,2016-07-31,4.199
0,2016-09-09,2.725
1,2016-09-10,3.293
0,2016-10-02,2.482
1,2016-10-03,2.147
0,2016-10-27,1.531
1,2016-10-28,1.575
0,2017-06-24,5.877
1,2017-06-25,6.272
0,2017-07-01,6.085
1,2017-07-02,6.659
0,2017-07-10,4.263
1,2017-07-11,4.371
0,2017-07-17,5.605
1,2017-07-18,5.75
0,2017-08-18,4.532
1,2017-08-19,4.455
0,2017-09-03,3.344
1,2017-09-04,3.529
0,2018-06-18,5.573
1,2018-06-19,5.147
0,2018-06-27,4.993
1,2018-06-28,5.725
0,2018-07-04,6.091
1,2018-07-05,5.72
0,2018-07-20,5.06
1,2018-07-21,4.821
0,2018-07-29,4.78
1,2018-07-30,4.112
0,2018-08-05,4.698
1,2018-08-06,4.379
0,2018-08-30,3.315
1,2018-08-31,3.462
0,2018-09-15,2.491
1,2018-09-16,2.475
0,2018-09-22,2.112
1,2018-09-23,1.983
0,2018-10-01,0.964
1,2018-10-02,0.837
0,2019-07-07,5.537
1,2019-07-08,4.971
0,2019-07-16,4.816
1,2019-07-17,5.349
0,2019-08-17,4.115
1,2019-08-18,4.582
0,2019-09-02,3.811
1,2019-09-03,2.729
0,2019-09-18,2.737
1,2019-09-19,3.087
0,2019-09-25,2.606
1,2019-09-26,3.179
0,2019-10-04,1.401
1,2019-10-05,0.86
