,Date,ETa
0,2021-03-21,1.124
1,2021-03-22,0.928
0,2021-03-21,1.124
1,2021-03-22,0.928
0,2021-04-06,2.194
1,2021-04-07,1.992
0,2021-05-08,1.41
1,2021-05-09,1.88
0,2021-05-24,2.432
1,2021-05-25,2.487
0,2021-05-08,1.41
1,2021-05-09,1.88
0,2021-05-24,2.432
1,2021-05-25,2.487
0,2021-06-09,1.542
1,2021-06-10,1.744
0,2021-06-25,4.464
1,2021-06-26,5.027
0,2021-06-09,1.542
1,2021-06-10,1.744
0,2021-06-25,4.464
1,2021-06-26,5.027
0,2021-07-11,4.87
1,2021-07-12,4.076
0,2021-07-11,4.87
1,2021-07-12,4.076
0,2021-08-12,2.828
1,2021-08-13,2.486
0,2021-08-28,2.596
1,2021-08-29,3.006
0,2021-08-12,2.828
1,2021-08-13,2.486
0,2021-08-28,2.596
1,2021-08-29,3.006
0,2021-09-13,1.448
1,2021-09-14,1.589
0,2021-09-29,0.984
1,2021-09-30,1.019
0,2021-09-13,1.448
1,2021-09-14,1.589
0,2021-09-29,0.984
1,2021-09-30,1.019
0,2021-10-15,2.269
1,2021-10-16,2.743
0,2021-10-15,2.269
1,2021-10-16,2.743
0,2022-02-04,1.683
1,2022-02-05,1.833
0,2022-02-04,1.683
1,2022-02-05,1.833
0,2022-03-08,2.706
1,2022-03-09,2.67
0,2022-03-24,3.811
1,2022-03-25,3.745
0,2022-03-08,2.706
1,2022-03-09,2.67
0,2022-03-24,3.811
1,2022-03-25,3.745
