,Date,ETa
0,2016-02-07,0.505
1,2016-02-08,0.428
0,2016-02-07,0.505
1,2016-02-08,0.428
0,2016-03-26,0.6
1,2016-03-27,0.408
0,2016-03-26,0.6
1,2016-03-27,0.408
0,2016-05-29,0.0
1,2016-05-30,0.0
0,2016-05-29,0.0
1,2016-05-30,0.0
0,2016-06-14,0.0
1,2016-06-15,0.094
0,2016-06-14,0.0
1,2016-06-15,0.094
0,2016-07-16,0.503
1,2016-07-17,0.561
0,2016-07-16,0.503
1,2016-07-17,0.561
0,2016-08-17,1.434
1,2016-08-18,1.332
0,2016-08-17,1.434
1,2016-08-18,1.332
0,2016-09-18,0.135
1,2016-09-19,0.19
0,2016-09-18,0.135
1,2016-09-19,0.19
0,2017-01-08,0.474
1,2017-01-09,0.954
0,2017-01-08,0.474
1,2017-01-09,0.954
0,2017-02-25,0.982
1,2017-02-26,0.852
0,2017-02-25,0.982
1,2017-02-26,0.852
0,2017-09-05,2.02
1,2017-09-06,1.829
0,2017-09-21,1.014
1,2017-09-22,0.988
0,2017-09-05,2.02
1,2017-09-06,1.829
0,2017-09-21,1.014
1,2017-09-22,0.988
0,2017-11-24,0.443
1,2017-11-25,0.482
0,2017-11-24,0.443
1,2017-11-25,0.482
0,2018-05-03,0.26
1,2018-05-04,0.281
0,2018-05-03,0.26
1,2018-05-04,0.281
0,2018-06-20,0.0
1,2018-06-21,0.285
0,2018-06-20,0.0
1,2018-06-21,0.285
0,2018-09-08,2.329
1,2018-09-09,2.491
0,2018-09-24,1.036
1,2018-09-25,1.014
0,2018-09-08,2.329
1,2018-09-09,2.491
0,2018-09-24,1.036
1,2018-09-25,1.014
0,2018-10-10,0.298
1,2018-10-11,0.333
0,2018-10-26,0.828
1,2018-10-27,0.752
0,2018-10-10,0.298
1,2018-10-11,0.333
0,2018-10-26,0.828
1,2018-10-27,0.752
0,2018-11-11,0.511
1,2018-11-12,0.285
0,2018-11-27,0.024
1,2018-11-28,0.04
0,2018-11-11,0.511
1,2018-11-12,0.285
0,2018-11-27,0.024
1,2018-11-28,0.04
0,2019-01-14,0.156
1,2019-01-15,0.238
0,2019-01-14,0.156
1,2019-01-15,0.238
0,2019-03-19,0.813
1,2019-03-20,0.878
0,2019-03-19,0.813
1,2019-03-20,0.878
0,2019-05-06,0.842
1,2019-05-07,0.699
0,2019-05-22,0.0
1,2019-05-23,0.0
0,2019-05-06,0.842
1,2019-05-07,0.699
0,2019-05-22,0.0
1,2019-05-23,0.0
0,2019-06-07,2.208
1,2019-06-08,2.122
0,2019-06-23,0.901
1,2019-06-24,0.953
0,2019-06-07,2.208
1,2019-06-08,2.122
0,2019-06-23,0.901
1,2019-06-24,0.953
0,2019-07-09,0.49
1,2019-07-10,0.805
0,2019-07-25,2.203
1,2019-07-26,1.877
0,2019-07-09,0.49
1,2019-07-10,0.805
0,2019-07-25,2.203
1,2019-07-26,1.877
0,2019-08-26,2.892
1,2019-08-27,2.511
0,2019-08-26,2.892
1,2019-08-27,2.511
0,2019-10-29,0.308
1,2019-10-30,0.188
0,2019-10-29,0.308
1,2019-10-30,0.188
0,2020-01-01,0.567
1,2020-01-02,0.386
0,2020-01-01,0.567
1,2020-01-02,0.386
0,2020-02-18,0.496
1,2020-02-19,0.547
0,2020-02-18,0.496
1,2020-02-19,0.547
0,2020-03-05,2.347
1,2020-03-06,3.071
0,2020-03-21,1.175
1,2020-03-22,1.134
0,2020-03-05,2.347
1,2020-03-06,3.071
0,2020-03-21,1.175
1,2020-03-22,1.134
0,2020-05-24,0.841
1,2020-05-25,0.769
0,2020-05-08,3.462
1,2020-05-09,2.826
0,2020-05-24,0.841
1,2020-05-25,0.769
0,2020-06-09,0.0
1,2020-06-10,0.116
0,2020-06-09,0.0
1,2020-06-10,0.116
0,2020-09-29,0.239
1,2020-09-30,0.218
0,2020-09-29,0.239
1,2020-09-30,0.218
