,Date,ETa
0,2016-06-04,4.534
1,2016-06-05,4.778
0,2016-07-06,3.44
1,2016-07-07,3.038
0,2016-07-22,5.516
1,2016-07-23,5.44
0,2017-02-15,1.117
1,2017-02-16,2.289
0,2017-05-06,2.147
1,2017-05-07,2.372
0,2017-06-07,4.907
1,2017-06-08,4.933
0,2017-06-23,4.206
1,2017-06-24,5.024
0,2017-07-25,4.155
1,2017-07-26,2.061
0,2017-08-10,4.52
1,2017-08-11,4.301
0,2017-10-13,1.55
1,2017-10-14,0.636
0,2018-03-22,1.369
1,2018-03-23,1.054
0,2018-04-07,4.409
1,2018-04-08,2.214
0,2018-04-23,0.799
1,2018-04-24,0.955
0,2018-05-09,2.132
1,2018-05-10,2.187
0,2018-07-12,5.766
1,2018-07-13,5.174
0,2018-07-28,1.957
1,2018-07-29,1.266
0,2018-08-13,2.242
1,2018-08-14,1.23
0,2018-10-16,0.641
1,2018-10-17,0.652
