,Date,ETa
0,2018-01-19,0.88
1,2018-01-20,0.64
0,2018-03-08,2.831
1,2018-03-09,3.112
0,2018-05-27,6.427
1,2018-05-28,6.147
0,2018-09-16,4.4
1,2018-09-17,3.981
0,2018-10-18,2.112
1,2018-10-19,1.432
0,2018-12-05,0.0
1,2018-12-06,0.0
0,2019-03-27,1.958
1,2019-03-28,1.329
0,2019-04-12,2.885
1,2019-04-13,2.239
0,2019-05-14,4.188
1,2019-05-15,4.268
0,2019-05-30,5.916
1,2019-05-31,6.007
0,2019-07-17,5.304
1,2019-07-18,7.162
0,2019-09-19,4.183
1,2019-09-20,3.927
0,2020-03-29,1.413
1,2020-03-30,1.182
0,2020-04-14,3.75
1,2020-04-15,4.005
0,2020-06-17,6.52
1,2020-06-18,6.694
0,2020-07-03,4.603
1,2020-07-04,5.143
0,2020-08-04,5.062
1,2020-08-05,4.747
0,2020-08-20,5.739
1,2020-08-21,5.18
0,2020-09-05,4.862
1,2020-09-06,6.092
0,2020-09-21,3.557
1,2020-09-22,2.293
0,2020-10-07,2.757
1,2020-10-08,2.517
0,2020-12-10,0.423
1,2020-12-11,0.177
0,2020-12-26,0.47
1,2020-12-27,0.731
0,2021-04-01,4.259
1,2021-04-02,5.096
0,2021-08-07,6.325
1,2021-08-08,5.426
0,2021-08-23,4.985
1,2021-08-24,5.379
0,2021-09-08,4.118
1,2021-09-09,3.456
0,2021-09-24,2.907
1,2021-09-25,2.213
0,2021-10-10,3.207
1,2021-10-11,1.127
0,2021-10-26,0.0
1,2021-10-27,0.0
0,2021-11-11,0.0
1,2021-11-12,0.032
0,2021-11-27,0.606
1,2021-11-28,0.376
