,Date,ETa
0,2016-03-30,1.541
1,2016-03-31,1.527
0,2016-04-15,3.769
1,2016-04-16,4.491
0,2016-05-17,1.861
1,2016-05-18,1.941
0,2016-07-04,2.292
1,2016-07-05,2.094
0,2016-07-20,2.188
1,2016-07-21,2.481
0,2016-08-05,3.519
1,2016-08-06,2.961
0,2016-08-21,1.822
1,2016-08-22,1.558
0,2016-09-22,0.399
1,2016-09-23,0.214
0,2016-10-08,0.394
1,2016-10-09,0.369
0,2017-04-02,1.288
1,2017-04-03,1.081
0,2017-05-04,1.826
1,2017-05-05,0.936
0,2017-05-20,2.165
1,2017-05-21,2.322
0,2017-06-05,2.703
1,2017-06-06,3.086
0,2017-06-21,0.789
1,2017-06-22,0.848
0,2017-08-08,2.304
1,2017-08-09,2.353
0,2017-08-24,1.835
1,2017-08-25,2.027
0,2017-09-09,1.608
1,2017-09-10,1.491
0,2017-10-27,0.401
1,2017-10-28,0.418
0,2018-04-21,1.846
1,2018-04-22,2.205
0,2018-05-07,2.539
1,2018-05-08,2.784
0,2018-06-24,2.737
1,2018-06-25,2.297
0,2018-07-26,2.657
1,2018-07-27,2.496
0,2018-08-11,2.913
1,2018-08-12,2.843
0,2018-09-28,1.479
1,2018-09-29,1.202
0,2018-10-14,0.222
1,2018-10-15,0.306
0,2018-10-30,0.293
1,2018-10-31,0.33
0,2018-11-15,0.01
1,2018-11-16,0.009
0,2019-01-02,0.01
1,2019-01-03,0.01
0,2019-04-24,1.104
1,2019-04-25,1.254
0,2019-05-10,2.646
1,2019-05-11,2.902
0,2019-06-11,2.331
1,2019-06-12,2.298
0,2019-07-13,2.675
1,2019-07-14,2.682
0,2019-07-29,2.441
1,2019-07-30,2.268
0,2019-08-14,1.847
1,2019-08-15,1.954
0,2019-08-30,3.159
1,2019-08-31,3.262
0,2019-11-02,0.032
1,2019-11-03,0.024
0,2020-02-22,0.529
1,2020-02-23,0.656
0,2020-03-09,0.697
1,2020-03-10,1.075
0,2020-03-25,1.526
1,2020-03-26,1.656
0,2020-04-10,1.102
1,2020-04-11,0.953
0,2020-04-26,2.511
1,2020-04-27,2.161
0,2020-05-28,2.547
1,2020-05-29,2.528
0,2020-06-29,2.948
1,2020-06-30,2.446
0,2020-07-15,1.445
1,2020-07-16,1.722
0,2020-09-01,2.02
1,2020-09-02,2.018
0,2020-10-03,0.843
1,2020-10-04,0.868
0,2020-10-19,0.32
1,2020-10-20,0.221
0,2020-11-20,0.01
1,2020-11-21,0.016
0,2020-12-06,0.01
1,2020-12-07,0.015
0,2021-02-08,0.424
1,2021-02-09,0.429
0,2021-03-12,1.278
1,2021-03-13,1.732
0,2021-03-28,1.25
1,2021-03-29,0.643
0,2021-05-15,2.355
1,2021-05-16,2.338
0,2021-06-16,3.336
1,2021-06-17,3.824
