,Date,ETa
0,2016-06-22,5.988
1,2016-06-23,4.802
0,2016-07-08,6.169
1,2016-07-09,6.277
0,2016-07-24,6.733
1,2016-07-25,5.334
0,2016-08-09,2.893
1,2016-08-10,2.819
0,2016-08-25,4.373
1,2016-08-26,3.694
0,2016-09-10,0.0
1,2016-09-11,0.237
0,2016-09-26,2.022
1,2016-09-27,2.17
0,2016-11-13,0.405
1,2016-11-14,0.37
0,2017-02-17,0.017
1,2017-02-18,0.337
0,2017-04-06,2.786
1,2017-04-07,2.868
0,2017-06-09,1.888
1,2017-06-10,2.33
0,2017-06-25,5.368
1,2017-06-26,3.551
0,2017-07-11,6.615
1,2017-07-12,6.789
0,2017-08-12,5.107
1,2017-08-13,5.08
0,2017-09-13,2.683
1,2017-09-14,3.329
0,2017-09-29,3.13
1,2017-09-30,3.356
0,2017-11-16,0.599
1,2017-11-17,0.895
0,2017-12-02,0.062
1,2017-12-03,0.139
0,2018-03-08,2.508
1,2018-03-09,2.676
0,2018-05-27,1.342
1,2018-05-28,1.416
0,2018-06-12,2.414
1,2018-06-13,3.514
0,2018-06-28,6.591
1,2018-06-29,8.141
0,2018-07-14,4.764
1,2018-07-15,4.573
0,2018-09-16,3.148
1,2018-09-17,2.731
0,2018-10-18,0.685
1,2018-10-19,0.46
0,2019-03-11,1.968
1,2019-03-12,1.642
0,2019-04-12,1.687
1,2019-04-13,1.288
0,2019-07-01,0.0
1,2019-07-02,0.331
0,2019-07-17,2.45
1,2019-07-18,3.893
0,2019-08-02,6.097
1,2019-08-03,5.306
0,2019-09-03,3.699
1,2019-09-04,3.855
0,2019-09-19,3.758
1,2019-09-20,3.607
0,2019-10-21,0.0
1,2019-10-22,0.0
0,2020-03-29,3.961
1,2020-03-30,2.966
0,2020-04-14,2.841
1,2020-04-15,2.778
0,2020-08-04,4.28
1,2020-08-05,3.91
0,2020-08-20,5.183
1,2020-08-21,5.056
0,2020-09-05,3.461
1,2020-09-06,4.097
0,2020-09-21,2.396
1,2020-09-22,1.969
0,2020-10-07,2.128
1,2020-10-08,2.14
