,Date,ETa
0,2016-02-12,0.973
1,2016-02-13,0.992
0,2016-02-12,0.973
1,2016-02-13,0.992
0,2016-03-15,3.022
1,2016-03-16,3.016
0,2016-03-15,3.022
1,2016-03-16,3.016
0,2016-05-02,4.902
1,2016-05-03,4.86
0,2016-05-02,4.902
1,2016-05-03,4.86
0,2016-06-19,6.276
1,2016-06-20,5.865
0,2016-06-19,6.276
1,2016-06-20,5.865
0,2016-07-05,5.939
1,2016-07-06,5.432
0,2016-07-05,5.939
1,2016-07-06,5.432
0,2016-07-21,6.037
1,2016-07-22,7.096
0,2016-07-21,6.037
1,2016-07-22,7.096
0,2016-08-06,6.359
1,2016-08-07,6.855
0,2016-08-06,6.359
1,2016-08-07,6.855
0,2016-10-25,2.804
1,2016-10-26,3.019
0,2016-10-25,2.804
1,2016-10-26,3.019
0,2017-04-19,4.991
1,2017-04-20,5.162
0,2017-04-19,4.991
1,2017-04-20,5.162
0,2018-12-18,0.92
1,2018-12-19,0.971
0,2018-12-18,0.92
1,2018-12-19,0.971
0,2019-03-24,4.401
1,2019-03-25,3.683
0,2019-03-24,4.401
1,2019-03-25,3.683
0,2019-04-25,4.812
1,2019-04-26,5.21
0,2019-04-25,4.812
1,2019-04-26,5.21
0,2019-08-15,5.825
1,2019-08-16,5.448
0,2019-08-15,5.825
1,2019-08-16,5.448
0,2019-10-02,3.266
1,2019-10-03,3.31
0,2019-10-02,3.266
1,2019-10-03,3.31
0,2020-02-07,1.212
1,2020-02-08,0.0
0,2020-02-07,1.212
1,2020-02-08,0.0
0,2020-05-13,5.67
1,2020-05-14,5.122
0,2020-05-13,5.67
1,2020-05-14,5.122
0,2020-05-29,6.222
1,2020-05-30,6.888
0,2020-05-29,6.222
1,2020-05-30,6.888
0,2020-06-14,6.065
1,2020-06-15,4.555
0,2020-06-14,6.065
1,2020-06-15,4.555
0,2020-08-17,5.513
1,2020-08-18,5.284
0,2020-08-17,5.513
1,2020-08-18,5.284
0,2020-09-02,4.778
1,2020-09-03,5.4
0,2020-09-02,4.778
1,2020-09-03,5.4
0,2020-10-20,2.529
1,2020-10-21,3.051
0,2020-10-20,2.529
1,2020-10-21,3.051
0,2020-12-23,0.63
1,2020-12-24,0.82
0,2020-12-23,0.63
1,2020-12-24,0.82
0,2021-01-08,0.209
1,2021-01-09,0.161
0,2021-01-08,0.209
1,2021-01-09,0.161
0,2021-02-25,2.426
1,2021-02-26,2.051
0,2021-02-25,2.426
1,2021-02-26,2.051
0,2021-06-17,6.033
1,2021-06-18,5.189
0,2021-06-17,6.033
1,2021-06-18,5.189
0,2021-08-04,6.104
1,2021-08-05,5.267
0,2021-08-04,6.104
1,2021-08-05,5.267
0,2021-09-05,4.564
1,2021-09-06,4.36
0,2021-09-05,4.564
1,2021-09-06,4.36
0,2021-09-21,3.836
1,2021-09-22,4.032
0,2021-09-21,3.836
1,2021-09-22,4.032
0,2021-11-08,1.749
1,2021-11-09,1.699
0,2021-11-08,1.749
1,2021-11-09,1.699
0,2021-12-26,0.95
1,2021-12-27,0.505
0,2021-12-26,0.95
1,2021-12-27,0.505
