,Date,ETa
0,2016-06-05,6.08
1,2016-06-06,6.109
0,2016-06-21,5.024
1,2016-06-22,3.918
0,2016-07-07,4.4
1,2016-07-08,4.261
0,2016-07-23,5.038
1,2016-07-24,4.618
0,2016-09-09,2.823
1,2016-09-10,2.823
0,2016-09-25,2.64
1,2016-09-26,2.511
0,2016-10-27,1.339
1,2016-10-28,1.263
0,2016-11-12,0.958
1,2016-11-13,1.006
0,2017-02-16,1.784
1,2017-02-17,1.427
0,2017-06-08,6.222
1,2017-06-09,8.204
0,2017-07-10,4.242
1,2017-07-11,3.764
0,2017-08-27,4.432
1,2017-08-28,4.667
0,2017-10-14,1.975
1,2017-10-15,2.431
0,2017-11-15,0.531
1,2017-11-16,0.143
0,2017-12-01,0.215
1,2017-12-02,0.208
0,2017-12-17,0.197
1,2017-12-18,0.285
0,2018-03-07,1.822
1,2018-03-08,2.218
0,2018-05-10,5.428
1,2018-05-11,4.18
0,2018-05-26,5.485
1,2018-05-27,5.097
0,2018-06-11,5.39
1,2018-06-12,4.88
0,2018-06-27,5.445
1,2018-06-28,6.733
0,2018-07-29,4.484
1,2018-07-30,3.568
0,2018-08-30,3.264
1,2018-08-31,3.426
0,2018-09-15,3.012
1,2018-09-16,3.333
0,2018-12-20,0.341
1,2018-12-21,0.489
0,2019-01-05,0.77
1,2019-01-06,0.483
0,2019-01-21,0.353
1,2019-01-22,0.159
0,2019-07-16,5.676
1,2019-07-17,6.991
0,2019-08-17,3.928
1,2019-08-18,4.29
0,2019-09-02,3.8
1,2019-09-03,3.825
0,2019-10-04,2.266
1,2019-10-05,1.947
0,2019-12-07,0.707
1,2019-12-08,0.351
0,2020-01-08,0.521
1,2020-01-09,0.228
0,2020-07-02,5.318
1,2020-07-03,4.224
0,2020-07-18,4.803
1,2020-07-19,4.533
0,2020-08-03,5.583
1,2020-08-04,4.056
0,2020-08-19,3.861
1,2020-08-20,4.234
0,2020-09-04,3.999
1,2020-09-05,3.617
0,2020-10-06,2.26
1,2020-10-07,1.993
0,2020-10-22,1.21
1,2020-10-23,0.737
0,2020-11-23,0.578
1,2020-11-24,0.242
0,2021-06-19,3.847
1,2021-06-20,0.911
0,2021-07-05,5.412
1,2021-07-06,4.917
0,2021-07-21,5.17
1,2021-07-22,5.243
0,2021-08-06,4.807
1,2021-08-07,3.624
0,2021-08-22,4.499
1,2021-08-23,3.962
0,2021-09-07,3.991
1,2021-09-08,3.781
0,2021-10-25,1.128
1,2021-10-26,0.768
