,Date,ETa
0,2016-02-20,1.41
1,2016-02-21,1.835
0,2016-03-07,0.746
1,2016-03-08,0.359
0,2016-03-07,0.746
1,2016-03-08,0.359
0,2016-04-08,0.691
1,2016-04-09,0.892
0,2016-05-10,3.47
1,2016-05-11,2.6
0,2016-05-10,3.47
1,2016-05-11,2.6
0,2016-05-26,3.935
1,2016-05-27,3.451
0,2016-05-26,3.935
1,2016-05-27,3.451
0,2016-06-11,0.224
1,2016-06-12,0.919
0,2016-06-27,5.194
1,2016-06-28,5.735
0,2016-06-27,5.194
1,2016-06-28,5.735
0,2017-02-22,0.527
1,2017-02-23,0.132
0,2017-04-11,0.812
1,2017-04-12,1.067
0,2017-04-27,2.568
1,2017-04-28,0.578
0,2017-04-27,2.568
1,2017-04-28,0.578
0,2017-05-13,0.994
1,2017-05-14,1.054
0,2017-05-29,0.891
1,2017-05-30,0.91
0,2017-06-14,4.731
1,2017-06-15,5.659
0,2017-06-14,4.731
1,2017-06-15,5.659
0,2017-07-16,6.848
1,2017-07-17,7.734
0,2017-07-16,6.848
1,2017-07-17,7.734
0,2017-08-17,4.982
1,2017-08-18,4.878
0,2017-08-17,4.982
1,2017-08-18,4.878
0,2017-09-02,4.244
1,2017-09-03,5.437
0,2017-09-02,4.244
1,2017-09-03,5.437
0,2017-11-05,0.536
1,2017-11-06,0.629
0,2017-11-21,0.579
1,2017-11-22,0.698
0,2017-11-21,0.579
1,2017-11-22,0.698
0,2018-03-13,1.236
1,2018-03-14,2.385
0,2018-05-16,0.289
1,2018-05-17,0.311
0,2018-05-16,0.289
1,2018-05-17,0.311
0,2018-06-01,0.728
1,2018-06-02,0.797
0,2018-07-03,7.162
1,2018-07-04,6.708
0,2018-07-03,7.162
1,2018-07-04,6.708
0,2018-07-19,5.82
1,2018-07-20,4.304
0,2018-07-19,5.82
1,2018-07-20,4.304
0,2018-10-23,1.3
1,2018-10-24,1.175
0,2018-10-23,1.3
1,2018-10-24,1.175
0,2019-03-16,2.029
1,2019-03-17,1.487
0,2019-04-01,0.739
1,2019-04-02,0.583
0,2019-05-03,0.0
1,2019-05-04,0.0
0,2019-06-04,2.948
1,2019-06-05,3.489
0,2019-06-04,2.948
1,2019-06-05,3.489
0,2019-07-06,5.841
1,2019-07-07,5.957
0,2019-07-06,5.841
1,2019-07-07,5.957
0,2019-07-22,5.9
1,2019-07-23,5.677
0,2019-07-22,5.9
1,2019-07-23,5.677
0,2019-08-07,5.187
1,2019-08-08,5.301
0,2019-08-07,5.187
1,2019-08-08,5.301
0,2019-08-23,5.178
1,2019-08-24,4.023
0,2019-08-23,5.178
1,2019-08-24,4.023
0,2019-09-24,2.821
1,2019-09-25,2.373
0,2019-09-24,2.821
1,2019-09-25,2.373
0,2019-10-26,1.152
1,2019-10-27,0.325
0,2019-10-26,1.152
1,2019-10-27,0.325
0,2019-12-13,0.221
1,2019-12-14,0.2
0,2019-12-13,0.221
1,2019-12-14,0.2
0,2020-03-02,0.842
1,2020-03-03,1.302
0,2020-04-19,0.414
1,2020-04-20,0.495
0,2020-05-05,2.838
1,2020-05-06,2.208
0,2020-05-05,2.838
1,2020-05-06,2.208
0,2020-06-22,3.907
1,2020-06-23,4.726
0,2020-06-22,3.907
1,2020-06-23,4.726
0,2020-07-08,6.43
1,2020-07-09,5.146
0,2020-07-08,6.43
1,2020-07-09,5.146
0,2020-08-09,5.542
1,2020-08-10,4.447
0,2020-08-09,5.542
1,2020-08-10,4.447
0,2020-08-25,4.688
1,2020-08-26,4.869
0,2020-08-25,4.688
1,2020-08-26,4.869
0,2020-09-26,1.352
1,2020-09-27,0.693
0,2020-10-12,0.907
1,2020-10-13,0.849
0,2020-10-28,0.818
1,2020-10-29,0.486
0,2020-10-28,0.818
1,2020-10-29,0.486
