,Date,ETa
0,2016-03-02,0.989
1,2016-03-03,0.936
0,2016-04-19,2.525
1,2016-04-20,3.087
0,2016-04-10,2.442
1,2016-04-11,2.271
0,2016-04-26,2.833
1,2016-04-27,2.106
0,2016-05-12,2.056
1,2016-05-13,2.04
0,2016-05-28,3.465
1,2016-05-29,4.233
0,2016-06-22,1.797
1,2016-06-23,2.033
0,2016-06-13,2.723
1,2016-06-14,1.331
0,2016-06-29,1.156
1,2016-06-30,0.615
0,2016-07-24,2.892
1,2016-07-25,2.844
0,2016-07-15,1.091
1,2016-07-16,0.939
0,2016-08-25,0.512
1,2016-08-26,0.6
0,2016-08-16,1.09
1,2016-08-17,0.986
0,2016-09-10,0.717
1,2016-09-11,1.208
0,2016-10-19,1.07
1,2016-10-20,1.557
0,2017-03-12,1.809
1,2017-03-13,2.899
0,2017-05-08,1.497
1,2017-05-09,1.944
0,2017-05-24,2.556
1,2017-05-25,1.77
0,2017-05-15,2.644
1,2017-05-16,1.277
0,2017-06-25,3.307
1,2017-06-26,3.194
0,2017-07-11,1.079
1,2017-07-12,0.976
0,2017-07-02,2.545
1,2017-07-03,2.241
0,2017-07-18,0.7
1,2017-07-19,0.717
0,2017-08-03,0.548
1,2017-08-04,0.271
0,2017-09-29,0.0
1,2017-09-30,0.094
0,2017-09-04,1.775
1,2017-09-05,1.29
0,2017-10-15,0.812
1,2017-10-16,1.084
0,2017-10-06,0.741
1,2017-10-07,0.873
0,2018-03-24,2.432
1,2018-03-25,1.77
0,2018-04-09,1.62
1,2018-04-10,2.051
0,2018-05-27,4.522
1,2018-05-28,4.674
0,2018-05-02,2.177
1,2018-05-03,3.014
0,2018-05-18,5.226
1,2018-05-19,5.191
0,2018-06-12,3.228
1,2018-06-13,4.471
0,2018-06-28,2.654
1,2018-06-29,2.291
0,2018-06-03,4.946
1,2018-06-04,6.552
0,2018-07-14,2.237
1,2018-07-15,1.957
0,2018-07-30,2.692
1,2018-07-31,2.374
0,2018-07-05,2.732
1,2018-07-06,2.228
0,2018-08-15,2.336
1,2018-08-16,2.094
0,2018-08-06,1.773
1,2018-08-07,1.454
0,2018-09-16,0.392
1,2018-09-17,0.274
0,2018-10-18,0.19
1,2018-10-19,0.178
0,2018-11-19,0.007
1,2018-11-20,0.01
0,2019-01-29,0.392
1,2019-01-30,0.206
0,2019-03-18,3.158
1,2019-03-19,3.591
0,2019-04-28,3.092
1,2019-04-29,2.901
0,2019-04-19,2.58
1,2019-04-20,1.678
0,2019-05-14,3.209
1,2019-05-15,2.287
0,2019-06-15,4.724
1,2019-06-16,4.838
0,2019-06-22,3.222
1,2019-06-23,4.562
0,2019-07-01,2.69
1,2019-07-02,2.885
0,2019-07-08,3.903
1,2019-07-09,2.33
0,2019-07-24,1.105
1,2019-07-25,0.835
0,2019-08-18,2.141
1,2019-08-19,2.1
0,2019-08-25,1.049
1,2019-08-26,1.124
0,2019-09-03,1.056
1,2019-09-04,0.823
0,2019-09-26,0.187
1,2019-09-27,1.394
0,2019-10-12,0.457
1,2019-10-13,1.188
0,2019-11-06,0.12
1,2019-11-07,0.091
0,2020-02-10,0.944
1,2020-02-11,1.169
0,2020-03-13,1.331
1,2020-03-14,1.008
0,2020-03-20,2.364
1,2020-03-21,2.582
0,2020-04-21,3.252
1,2020-04-22,2.82
0,2020-05-07,3.411
1,2020-05-08,3.212
0,2020-06-24,5.432
1,2020-06-25,2.779
0,2020-07-03,4.389
1,2020-07-04,4.541
0,2020-07-19,1.687
1,2020-07-20,1.899
0,2020-07-10,2.997
1,2020-07-11,3.492
0,2020-07-26,2.921
1,2020-07-27,2.812
0,2020-08-04,1.75
1,2020-08-05,1.994
0,2020-08-20,0.0
1,2020-08-21,0.73
0,2020-08-11,1.825
1,2020-08-12,1.853
0,2020-09-05,0.0
1,2020-09-06,0.206
0,2020-09-28,0.752
1,2020-09-29,0.607
0,2020-10-07,0.301
1,2020-10-08,0.474
0,2020-10-23,0.222
1,2020-10-24,0.106
0,2020-10-30,0.143
1,2020-10-31,0.424
0,2020-11-24,0.01
1,2020-11-25,0.013
0,2021-03-16,1.511
1,2021-03-17,2.226
0,2021-04-01,0.984
1,2021-04-02,1.343
0,2021-04-17,1.978
1,2021-04-18,2.499
0,2021-04-08,2.165
1,2021-04-09,1.77
0,2021-05-03,3.191
1,2021-05-04,2.877
0,2021-06-04,2.591
1,2021-06-05,2.482
0,2021-06-20,2.349
1,2021-06-21,2.279
0,2021-06-11,1.621
1,2021-06-12,1.71
0,2021-06-27,2.768
1,2021-06-28,2.92
0,2021-08-23,0.449
1,2021-08-24,0.592
0,2021-08-14,1.196
1,2021-08-15,0.0
0,2021-08-30,1.849
1,2021-08-31,1.481
0,2021-09-08,1.116
1,2021-09-09,0.955
0,2021-09-24,1.403
1,2021-09-25,1.886
0,2021-09-15,0.448
1,2021-09-16,0.533
0,2021-10-01,0.757
1,2021-10-02,0.96
0,2021-10-17,0.757
1,2021-10-18,0.472
0,2022-04-20,2.309
1,2022-04-21,1.763
0,2022-05-13,2.991
1,2022-05-14,3.057
0,2022-06-23,3.753
1,2022-06-24,3.475
0,2022-07-09,1.478
1,2022-07-10,1.373
0,2022-07-25,2.151
1,2022-07-26,2.433
0,2022-07-16,1.651
1,2022-07-17,1.72
0,2022-08-26,1.803
1,2022-08-27,1.838
0,2022-08-01,3.53
1,2022-08-02,3.468
0,2022-08-17,2.725
1,2022-08-18,2.152
0,2022-09-27,0.449
1,2022-09-28,0.788
0,2022-09-02,1.577
1,2022-09-03,0.947
