,Date,ETa
0,2016-05-12,3.968
1,2016-05-13,3.855
0,2016-06-22,5.287
1,2016-06-23,6.217
0,2016-06-29,5.33
1,2016-06-30,4.409
0,2016-07-24,4.745
1,2016-07-25,5.097
0,2016-07-15,4.68
1,2016-07-16,4.542
0,2016-08-09,4.087
1,2016-08-10,3.572
0,2016-08-25,2.723
1,2016-08-26,2.807
0,2016-08-16,3.284
1,2016-08-17,3.377
0,2016-09-10,1.832
1,2016-09-11,2.929
0,2016-09-26,0.665
1,2016-09-27,0.698
0,2016-09-01,2.532
1,2016-09-02,1.837
0,2016-09-17,2.499
1,2016-09-18,2.333
0,2016-11-13,0.102
1,2016-11-14,0.13
0,2016-11-04,0.231
1,2016-11-05,0.214
0,2017-05-24,4.656
1,2017-05-25,3.302
0,2017-06-25,5.468
1,2017-06-26,5.394
0,2017-07-11,5.027
1,2017-07-12,4.793
0,2017-07-27,5.725
1,2017-07-28,5.828
0,2017-07-02,5.676
1,2017-07-03,5.187
0,2017-07-18,5.166
1,2017-07-19,4.698
0,2017-08-03,4.014
1,2017-08-04,3.434
0,2017-08-19,3.061
1,2017-08-20,2.904
0,2017-09-29,0.576
1,2017-09-30,0.513
0,2017-09-04,2.686
1,2017-09-05,2.067
0,2017-10-06,1.449
1,2017-10-07,1.058
0,2018-05-27,5.083
1,2018-05-28,5.376
0,2018-06-12,5.312
1,2018-06-13,7.16
0,2018-06-28,4.908
1,2018-06-29,4.261
0,2018-06-03,5.611
1,2018-06-04,5.197
0,2018-07-14,3.236
1,2018-07-15,2.955
0,2018-07-30,4.193
1,2018-07-31,3.953
0,2018-07-05,5.081
1,2018-07-06,4.03
0,2018-08-15,3.633
1,2018-08-16,3.32
0,2018-08-06,4.111
1,2018-08-07,3.478
0,2018-09-16,1.424
1,2018-09-17,0.967
0,2018-09-07,2.003
1,2018-09-08,2.171
0,2018-10-18,0.375
1,2018-10-19,0.348
0,2018-11-19,0.01
1,2018-11-20,0.015
0,2018-11-10,0.077
1,2018-11-11,0.026
0,2019-05-14,3.992
1,2019-05-15,2.84
0,2019-06-15,5.452
1,2019-06-16,5.8
0,2019-06-22,4.808
1,2019-06-23,4.659
0,2019-07-01,4.202
1,2019-07-02,4.103
0,2019-07-24,3.941
1,2019-07-25,3.653
0,2019-08-02,3.147
1,2019-08-03,3.447
0,2019-08-18,3.359
1,2019-08-19,3.37
0,2019-08-09,4.079
1,2019-08-10,3.245
0,2019-08-25,2.845
1,2019-08-26,2.691
0,2019-09-03,2.264
1,2019-09-04,1.741
0,2019-09-26,1.078
1,2019-09-27,2.139
0,2019-10-12,0.498
1,2019-10-13,0.547
0,2019-11-06,0.106
1,2019-11-07,0.082
0,2019-11-22,0.01
1,2019-11-23,0.016
0,2020-07-03,5.882
1,2020-07-04,6.262
0,2020-07-19,4.402
1,2020-07-20,4.435
0,2020-07-10,5.119
1,2020-07-11,5.005
0,2020-07-26,4.965
1,2020-07-27,4.514
0,2020-08-04,4.173
1,2020-08-05,4.633
0,2021-06-04,4.638
1,2021-06-05,4.544
0,2021-06-20,4.044
1,2021-06-21,4.079
0,2021-06-11,4.313
1,2021-06-12,4.449
0,2021-06-27,5.506
1,2021-06-28,5.992
0,2021-07-06,5.252
1,2021-07-07,5.853
0,2021-07-22,4.505
1,2021-07-23,4.975
0,2021-07-13,4.338
1,2021-07-14,2.836
0,2021-07-29,3.847
1,2021-07-30,3.522
0,2021-08-07,3.554
1,2021-08-08,3.518
0,2021-08-14,3.185
1,2021-08-15,2.99
0,2021-09-08,1.34
1,2021-09-09,1.38
0,2021-09-24,1.888
1,2021-09-25,2.628
0,2021-09-15,1.636
1,2021-09-16,1.413
0,2021-10-01,1.399
1,2021-10-02,1.558
0,2021-10-17,0.832
1,2021-10-18,0.5
0,2022-06-23,4.836
1,2022-06-24,4.553
0,2022-07-09,4.266
1,2022-07-10,4.031
0,2022-07-25,4.797
1,2022-07-26,4.856
0,2022-07-16,5.266
1,2022-07-17,5.147
0,2022-08-26,3.683
1,2022-08-27,3.563
0,2022-08-01,4.477
1,2022-08-02,4.247
0,2022-08-17,4.204
1,2022-08-18,3.405
0,2022-09-11,1.788
1,2022-09-12,1.998
0,2022-09-02,2.7
1,2022-09-03,2.443
0,2022-09-18,2.804
1,2022-09-19,2.349
