,Date,ETa
0,2016-09-08,2.956
1,2016-09-09,1.968
0,2017-02-08,0.322
1,2017-02-09,0.43
0,2017-02-15,0.537
1,2017-02-16,0.714
0,2017-05-06,3.468
1,2017-05-07,3.192
0,2017-06-07,4.415
1,2017-06-08,4.804
0,2017-11-23,0.114
1,2017-11-24,0.158
0,2018-07-05,6.274
1,2018-07-06,6.536
0,2018-07-21,4.493
1,2018-07-22,4.626
0,2018-10-16,0.506
1,2018-10-17,0.398
0,2019-03-25,2.16
1,2019-03-26,2.39
0,2019-04-26,2.889
1,2019-04-27,1.705
0,2019-05-05,0.253
1,2019-05-06,0.18
0,2019-06-13,5.021
1,2019-06-14,6.548
0,2020-03-20,1.946
1,2020-03-21,1.844
0,2020-04-21,0.977
1,2020-04-22,1.443
0,2020-06-08,3.793
1,2020-06-09,2.053
0,2020-07-10,5.311
1,2020-07-11,4.314
0,2020-08-18,3.798
1,2020-08-19,4.372
0,2020-10-05,0.89
1,2020-10-06,0.626
0,2021-03-30,2.937
1,2021-03-31,2.763
0,2021-05-01,5.038
1,2021-05-02,2.422
0,2021-05-26,2.001
1,2021-05-27,0.52
0,2021-06-18,5.154
1,2021-06-19,4.467
0,2021-07-04,5.92
1,2021-07-05,7.032
0,2021-07-13,4.594
1,2021-07-14,2.079
0,2021-07-20,5.047
1,2021-07-21,4.674
0,2021-07-29,4.884
1,2021-07-30,3.175
0,2021-08-30,2.208
1,2021-08-31,1.829
0,2021-11-02,0.623
1,2021-11-03,0.46
0,2021-11-25,0.0
1,2021-11-26,0.0
0,2022-03-26,2.314
1,2022-03-27,2.069
0,2022-04-11,1.373
1,2022-04-12,1.388
0,2022-08-08,4.738
1,2022-08-09,3.948
0,2022-09-02,2.232
1,2022-09-03,1.9
0,2022-09-25,1.569
1,2022-09-26,2.471
