,Date,ETa
0,2016-06-22,4.237
1,2016-06-23,4.958
0,2016-06-29,4.085
1,2016-06-30,4.174
0,2016-07-24,3.828
1,2016-07-25,4.002
0,2016-07-15,3.633
1,2016-07-16,3.714
0,2016-08-09,2.473
1,2016-08-10,2.231
0,2016-08-25,1.888
1,2016-08-26,1.989
0,2016-09-26,0.622
1,2016-09-27,0.781
0,2016-09-01,2.076
1,2016-09-02,1.517
0,2016-10-12,0.736
1,2016-10-13,1.027
0,2017-05-08,2.292
1,2017-05-09,2.822
0,2017-05-24,3.671
1,2017-05-25,2.593
0,2017-06-25,5.037
1,2017-06-26,5.019
0,2017-07-11,3.495
1,2017-07-12,3.294
0,2017-07-02,4.969
1,2017-07-03,4.908
0,2017-07-18,3.71
1,2017-07-19,3.722
0,2017-08-03,2.358
1,2017-08-04,2.698
0,2017-08-19,2.161
1,2017-08-20,2.106
0,2017-09-29,0.169
1,2017-09-30,0.217
0,2017-09-04,2.151
1,2017-09-05,1.621
0,2017-10-06,0.938
1,2017-10-07,0.852
0,2018-04-09,2.369
1,2018-04-10,3.069
0,2018-05-27,4.705
1,2018-05-28,4.982
0,2018-05-02,2.793
1,2018-05-03,3.346
0,2018-06-12,3.958
1,2018-06-13,5.413
0,2018-06-28,4.181
1,2018-06-29,3.599
0,2018-06-03,5.241
1,2018-06-04,4.35
0,2018-07-30,3.745
1,2018-07-31,3.421
0,2018-07-05,4.68
1,2018-07-06,3.91
0,2018-08-15,2.943
1,2018-08-16,2.809
0,2018-08-06,3.345
1,2018-08-07,3.546
0,2018-09-16,1.011
1,2018-09-17,0.753
0,2018-09-07,1.491
1,2018-09-08,1.66
0,2018-09-23,1.473
1,2018-09-24,1.389
0,2019-04-19,3.314
1,2019-04-20,1.952
0,2019-05-14,4.431
1,2019-05-15,3.147
0,2019-06-15,5.271
1,2019-06-16,5.741
0,2019-06-06,3.603
1,2019-06-07,1.672
0,2019-06-22,5.191
1,2019-06-23,6.879
0,2019-07-01,4.386
1,2019-07-02,4.571
0,2019-07-08,5.506
1,2019-07-09,4.608
0,2019-07-24,3.474
1,2019-07-25,3.436
0,2019-08-02,3.556
1,2019-08-03,3.653
0,2019-08-09,3.482
1,2019-08-10,2.978
0,2019-09-03,2.085
1,2019-09-04,1.591
0,2019-09-26,0.688
1,2019-09-27,2.038
0,2019-10-05,1.345
1,2019-10-06,1.472
0,2019-10-12,0.617
1,2019-10-13,0.632
0,2020-05-07,3.785
1,2020-05-08,4.029
0,2020-06-24,5.526
1,2020-06-25,4.86
0,2020-07-03,5.575
1,2020-07-04,5.918
0,2020-07-19,3.952
1,2020-07-20,3.948
0,2020-07-10,4.741
1,2020-07-11,5.625
0,2020-07-26,4.226
1,2020-07-27,3.756
0,2020-08-04,3.381
1,2020-08-05,3.798
0,2020-08-20,0.399
1,2020-08-21,0.922
0,2020-08-11,3.067
1,2020-08-12,2.517
0,2020-09-05,1.211
1,2020-09-06,1.27
0,2020-09-21,1.685
1,2020-09-22,1.89
0,2020-09-12,1.46
1,2020-09-13,2.147
0,2020-09-28,1.27
1,2020-09-29,0.616
0,2020-10-23,0.13
1,2020-10-24,0.045
0,2021-04-17,3.126
1,2021-04-18,3.863
0,2021-05-03,3.529
1,2021-05-04,3.398
0,2021-06-04,4.529
1,2021-06-05,4.171
0,2021-06-20,4.45
1,2021-06-21,4.252
0,2021-06-11,2.544
1,2021-06-12,2.809
0,2021-06-27,5.091
1,2021-06-28,5.071
0,2021-07-06,4.477
1,2021-07-07,5.127
0,2021-07-22,3.514
1,2021-07-23,3.85
0,2021-07-13,3.739
1,2021-07-14,3.211
0,2021-07-29,2.51
1,2021-07-30,3.19
0,2021-08-07,1.908
1,2021-08-08,2.021
0,2021-08-23,1.499
1,2021-08-24,1.545
0,2021-08-14,2.291
1,2021-08-15,2.168
0,2021-08-30,2.612
1,2021-08-31,2.476
0,2021-09-08,1.762
1,2021-09-09,1.602
0,2021-09-24,1.557
1,2021-09-25,2.119
0,2021-09-15,0.975
1,2021-09-16,1.877
0,2021-10-01,0.911
1,2021-10-02,0.775
0,2021-10-17,0.669
1,2021-10-18,0.425
0,2022-06-23,4.913
1,2022-06-24,4.557
0,2022-07-09,3.778
1,2022-07-10,3.574
0,2022-07-25,4.342
1,2022-07-26,4.586
0,2022-07-16,4.528
1,2022-07-17,4.509
0,2022-08-01,4.781
1,2022-08-02,4.568
0,2022-08-17,3.898
1,2022-08-18,3.153
0,2022-09-11,2.059
1,2022-09-12,2.122
0,2022-09-27,0.859
1,2022-09-28,1.212
0,2022-09-02,2.603
1,2022-09-03,2.044
0,2022-09-18,2.16
1,2022-09-19,2.078
