,Date,ETa
0,2016-02-22,1.338
1,2016-02-23,1.144
0,2016-03-02,0.558
1,2016-03-03,0.635
0,2016-03-18,2.235
1,2016-03-19,2.96
0,2016-04-19,1.832
1,2016-04-20,2.257
0,2016-04-10,1.551
1,2016-04-11,2.056
0,2016-04-26,2.149
1,2016-04-27,1.564
0,2016-05-12,0.343
1,2016-05-13,0.438
0,2016-05-28,1.835
1,2016-05-29,2.282
0,2016-06-22,1.513
1,2016-06-23,1.582
0,2016-06-13,2.243
1,2016-06-14,1.125
0,2016-06-29,0.089
1,2016-06-30,0.0
0,2016-07-24,2.03
1,2016-07-25,1.987
0,2016-07-15,0.92
1,2016-07-16,0.894
0,2016-08-09,0.647
1,2016-08-10,0.616
0,2016-08-25,0.0
1,2016-08-26,0.051
0,2016-08-16,1.004
1,2016-08-17,0.931
0,2016-09-10,0.727
1,2016-09-11,1.267
0,2016-09-26,0.0
1,2016-09-27,0.156
0,2016-10-12,0.956
1,2016-10-13,1.326
0,2016-10-03,0.987
1,2016-10-04,0.66
0,2016-10-19,0.847
1,2016-10-20,1.22
0,2017-03-12,1.762
1,2017-03-13,2.795
0,2017-04-29,2.527
1,2017-04-30,1.872
0,2017-05-08,0.0
1,2017-05-09,0.132
0,2017-05-24,0.7
1,2017-05-25,0.505
0,2017-06-25,1.575
1,2017-06-26,1.416
0,2017-07-11,0.817
1,2017-07-12,0.691
0,2017-07-27,1.759
1,2017-07-28,1.715
0,2017-07-02,0.467
1,2017-07-03,0.925
0,2017-07-18,0.164
1,2017-07-19,0.694
0,2017-08-12,4.489
1,2017-08-13,2.95
0,2017-08-03,0.868
1,2017-08-04,0.0
0,2017-08-19,0.182
1,2017-08-20,0.75
0,2017-09-29,0.0
1,2017-09-30,0.055
0,2017-09-04,1.493
1,2017-09-05,1.052
0,2017-10-15,0.642
1,2017-10-16,0.826
0,2017-10-06,0.435
1,2017-10-07,0.791
0,2018-04-09,0.852
1,2018-04-10,1.146
0,2018-05-27,2.55
1,2018-05-28,2.597
0,2018-05-02,1.333
1,2018-05-03,1.867
0,2018-05-18,4.695
1,2018-05-19,4.514
0,2018-06-12,0.0
1,2018-06-13,0.686
0,2018-06-28,0.444
1,2018-06-29,0.456
0,2018-06-03,2.463
1,2018-06-04,2.031
0,2018-07-14,2.889
1,2018-07-15,2.403
0,2018-07-30,1.945
1,2018-07-31,1.566
0,2018-07-05,1.139
1,2018-07-06,1.125
0,2018-08-15,1.702
1,2018-08-16,1.548
0,2018-08-06,0.324
1,2018-08-07,0.114
0,2018-09-16,0.0
1,2018-09-17,0.0
0,2018-09-07,0.18
1,2018-09-08,0.92
0,2018-09-23,0.0
1,2018-09-24,0.133
0,2018-10-18,0.082
1,2018-10-19,0.076
0,2019-03-11,2.569
1,2019-03-12,1.933
0,2019-03-18,2.752
1,2019-03-19,2.012
0,2019-04-28,2.051
1,2019-04-29,1.94
0,2019-04-19,2.681
1,2019-04-20,1.668
0,2019-05-14,2.56
1,2019-05-15,1.792
0,2019-06-15,2.601
1,2019-06-16,2.84
0,2019-06-22,2.717
1,2019-06-23,2.88
0,2019-07-01,0.637
1,2019-07-02,0.974
0,2019-07-08,2.774
1,2019-07-09,0.72
0,2019-07-24,0.0
1,2019-07-25,0.0
0,2019-08-02,1.171
1,2019-08-03,1.144
0,2019-08-18,0.671
1,2019-08-19,0.619
0,2019-09-03,0.0
1,2019-09-04,0.0
0,2019-09-26,0.0
1,2019-09-27,1.45
0,2019-10-05,0.0
1,2019-10-06,0.046
0,2019-10-21,0.544
1,2019-10-22,0.535
0,2019-10-12,0.306
1,2019-10-13,0.931
0,2020-04-14,1.651
1,2020-04-15,1.287
0,2020-04-21,2.592
1,2020-04-22,2.195
0,2020-05-07,1.811
1,2020-05-08,1.709
0,2020-07-03,3.853
1,2020-07-04,3.816
0,2020-07-19,0.436
1,2020-07-20,0.651
0,2020-07-10,1.544
1,2020-07-11,3.212
0,2020-07-26,1.843
1,2020-07-27,2.619
0,2020-08-04,0.479
1,2020-08-05,0.713
0,2020-08-20,0.0
1,2020-08-21,0.211
0,2020-08-11,1.602
1,2020-08-12,1.896
0,2020-09-05,0.15
1,2020-09-06,0.445
0,2020-09-21,1.336
1,2020-09-22,1.494
0,2020-09-28,0.695
1,2020-09-29,0.575
0,2020-10-23,0.112
1,2020-10-24,0.051
0,2020-10-14,0.621
1,2020-10-15,0.526
0,2021-03-16,0.129
1,2021-03-17,0.31
0,2021-04-01,0.707
1,2021-04-02,0.943
0,2021-04-17,1.005
1,2021-04-18,1.3
0,2021-04-08,1.468
1,2021-04-09,1.742
0,2021-05-03,2.084
1,2021-05-04,1.844
0,2021-05-19,0.0
1,2021-05-20,0.09
0,2021-06-04,0.855
1,2021-06-05,0.899
0,2021-06-20,0.21
1,2021-06-21,0.351
0,2021-06-11,0.935
1,2021-06-12,2.303
0,2021-06-27,1.491
1,2021-06-28,1.629
0,2021-07-22,2.424
1,2021-07-23,2.357
0,2021-07-13,0.0
1,2021-07-14,0.0
0,2021-08-07,0.561
1,2021-08-08,0.594
0,2021-08-23,0.01
1,2021-08-24,0.145
0,2021-08-30,1.107
1,2021-08-31,0.887
0,2021-09-24,1.06
1,2021-09-25,1.334
0,2021-09-15,0.021
1,2021-09-16,0.171
0,2022-04-20,1.858
1,2022-04-21,1.378
0,2022-05-22,0.723
1,2022-05-23,0.733
0,2022-06-07,0.077
1,2022-06-08,0.307
0,2022-06-23,1.503
1,2022-06-24,1.413
0,2022-07-09,0.0
1,2022-07-10,0.198
0,2022-07-16,1.45
1,2022-07-17,1.37
0,2022-08-26,0.973
1,2022-08-27,1.089
0,2022-08-17,2.542
1,2022-08-18,1.861
0,2022-09-11,1.52
1,2022-09-12,1.426
0,2022-09-27,0.416
1,2022-09-28,0.742
0,2022-09-02,1.49
1,2022-09-03,0.304
0,2022-09-18,1.327
1,2022-09-19,1.448
