,Date,ETa
0,2016-01-11,0.756
1,2016-01-12,0.0
0,2016-01-20,0.59
1,2016-01-21,0.511
0,2016-02-05,0.595
1,2016-02-06,0.56
0,2016-02-12,0.0
1,2016-02-13,0.061
0,2016-02-28,0.975
1,2016-02-29,1.268
0,2016-03-15,1.611
1,2016-03-16,1.412
0,2016-03-24,1.785
1,2016-03-25,2.093
0,2016-04-09,3.553
1,2016-04-10,2.01
0,2016-04-16,2.654
1,2016-04-17,2.303
0,2016-05-02,2.218
1,2016-05-03,3.492
0,2016-05-11,3.661
1,2016-05-12,3.827
0,2016-06-03,1.194
1,2016-06-04,1.304
0,2016-06-19,3.909
1,2016-06-20,3.872
0,2016-07-05,4.695
1,2016-07-06,4.184
0,2016-07-21,4.44
1,2016-07-22,5.322
0,2016-08-06,5.241
1,2016-08-07,5.667
0,2016-08-22,5.197
1,2016-08-23,4.877
0,2016-09-23,2.061
1,2016-09-24,3.06
0,2016-10-09,2.576
1,2016-10-10,1.61
0,2016-10-18,1.207
1,2016-10-19,1.333
0,2016-10-25,2.34
1,2016-10-26,1.447
0,2016-12-12,0.822
1,2016-12-13,0.715
0,2017-01-22,0.431
1,2017-01-23,0.54
0,2017-02-23,1.96
1,2017-02-24,1.582
0,2017-03-02,1.242
1,2017-03-03,1.266
0,2017-03-11,1.09
1,2017-03-12,1.301
0,2017-03-18,2.924
1,2017-03-19,2.026
0,2017-03-27,2.217
1,2017-03-28,1.988
0,2017-04-03,3.267
1,2017-04-04,2.797
0,2017-04-12,2.733
1,2017-04-13,2.824
0,2017-04-19,3.001
1,2017-04-20,2.931
0,2017-07-08,0.0
1,2017-07-09,0.0
0,2017-08-09,2.307
1,2017-08-10,2.223
0,2017-08-25,3.484
1,2017-08-26,3.064
0,2017-09-10,3.398
1,2017-09-11,1.251
0,2017-09-26,0.05
1,2017-09-27,0.113
0,2017-10-05,0.893
1,2017-10-06,0.915
0,2017-10-28,0.0
1,2017-10-29,0.0
0,2017-11-13,0.0
1,2017-11-14,0.014
0,2018-03-30,1.518
1,2018-03-31,1.478
0,2018-04-06,1.269
1,2018-04-07,1.14
0,2018-04-15,1.525
1,2018-04-16,1.601
0,2018-05-08,0.0
1,2018-05-09,0.0
0,2018-05-24,0.0
1,2018-05-25,0.0
0,2018-06-09,3.272
1,2018-06-10,3.883
0,2018-06-25,3.723
1,2018-06-26,2.561
0,2018-08-12,5.443
1,2018-08-13,5.983
0,2018-08-28,4.974
1,2018-08-29,4.856
0,2018-09-13,4.164
1,2018-09-14,2.538
0,2018-09-29,3.334
1,2018-09-30,2.526
0,2018-11-09,1.216
1,2018-11-10,1.463
0,2018-11-16,0.818
1,2018-11-17,0.715
0,2018-12-18,0.749
1,2018-12-19,0.914
0,2019-02-20,1.581
1,2019-02-21,1.08
0,2019-03-24,2.609
1,2019-03-25,2.792
0,2019-04-02,2.283
1,2019-04-03,2.054
0,2019-04-09,3.476
1,2019-04-10,3.064
0,2019-04-18,2.701
1,2019-04-19,3.251
0,2019-04-25,2.519
1,2019-04-26,3.612
0,2019-05-11,3.553
1,2019-05-12,2.513
0,2019-05-27,1.954
1,2019-05-28,2.173
0,2019-06-05,3.846
1,2019-06-06,3.654
0,2019-06-21,2.384
1,2019-06-22,2.668
0,2019-07-14,1.86
1,2019-07-15,2.254
0,2019-10-02,2.573
1,2019-10-03,2.521
0,2019-10-18,1.052
1,2019-10-19,1.013
0,2019-12-05,0.704
1,2019-12-06,0.792
0,2020-02-07,0.826
1,2020-02-08,0.0
0,2020-02-23,0.641
1,2020-02-24,0.854
0,2020-04-04,2.353
1,2020-04-05,2.5
0,2020-04-20,2.019
1,2020-04-21,2.34
0,2020-05-06,3.344
1,2020-05-07,3.548
0,2020-05-13,3.052
1,2020-05-14,6.061
0,2020-05-29,4.325
1,2020-05-30,4.467
0,2020-06-14,2.571
1,2020-06-15,0.859
0,2020-08-01,3.454
1,2020-08-02,1.387
0,2020-08-17,1.794
1,2020-08-18,1.759
0,2020-09-02,2.081
1,2020-09-03,2.321
0,2020-09-18,1.05
1,2020-09-19,1.028
0,2020-09-27,1.556
1,2020-09-28,1.167
0,2020-10-04,1.5
1,2020-10-05,0.295
0,2020-10-20,1.039
1,2020-10-21,1.226
0,2020-11-21,0.387
1,2020-11-22,0.0
0,2021-01-08,0.0
1,2021-01-09,0.227
0,2021-02-25,0.433
1,2021-02-26,0.339
0,2021-04-07,0.313
1,2021-04-08,0.311
0,2021-04-23,2.448
1,2021-04-24,2.657
0,2021-05-09,1.167
1,2021-05-10,1.109
0,2021-05-16,0.752
1,2021-05-17,1.331
0,2021-05-25,1.296
1,2021-05-26,1.676
0,2021-06-01,2.804
1,2021-06-02,3.071
0,2021-06-10,1.531
1,2021-06-11,1.771
0,2021-06-26,2.251
1,2021-06-27,3.1
0,2021-07-19,3.078
1,2021-07-20,2.671
0,2021-08-04,5.383
1,2021-08-05,4.865
0,2021-08-20,5.389
1,2021-08-21,4.539
0,2021-09-05,4.326
1,2021-09-06,4.448
0,2021-09-21,3.293
1,2021-09-22,3.355
0,2021-10-07,1.604
1,2021-10-08,1.562
0,2021-10-16,1.671
1,2021-10-17,1.664
0,2021-10-23,1.727
1,2021-10-24,1.6
0,2021-11-24,1.464
1,2021-11-25,0.873
0,2022-01-27,0.076
1,2022-01-28,0.527
0,2022-03-16,1.488
1,2022-03-17,1.345
0,2022-03-25,2.025
1,2022-03-26,2.414
0,2022-04-01,2.612
1,2022-04-02,1.538
0,2022-04-17,2.249
1,2022-04-18,2.645
0,2022-04-26,2.598
1,2022-04-27,2.86
0,2022-05-19,2.361
1,2022-05-20,0.161
0,2022-06-04,2.638
1,2022-06-05,2.73
0,2022-06-13,1.721
1,2022-06-14,1.539
0,2022-06-20,0.913
1,2022-06-21,1.049
0,2022-07-06,3.72
1,2022-07-07,3.467
