,Date,ETa
0,2016-01-11,0.801
1,2016-01-12,1.22
0,2016-02-12,0.0
1,2016-02-13,0.269
0,2016-04-16,1.966
1,2016-04-17,1.6
0,2016-05-02,1.23
1,2016-05-03,1.085
0,2016-05-18,2.875
1,2016-05-19,2.919
0,2016-06-19,3.339
1,2016-06-20,3.349
0,2016-07-05,4.117
1,2016-07-06,3.767
0,2016-07-21,4.381
1,2016-07-22,5.239
0,2016-08-06,4.902
1,2016-08-07,5.708
0,2016-08-22,5.065
1,2016-08-23,5.236
0,2016-09-23,0.472
1,2016-09-24,2.747
0,2016-10-09,1.843
1,2016-10-10,1.223
0,2016-10-25,2.126
1,2016-10-26,1.13
0,2016-11-10,0.234
1,2016-11-11,0.201
0,2017-01-29,0.062
1,2017-01-30,0.067
0,2017-03-02,0.544
1,2017-03-03,0.599
0,2017-03-18,2.381
1,2017-03-19,1.97
0,2017-04-03,2.244
1,2017-04-04,2.148
0,2017-04-19,2.012
1,2017-04-20,2.035
0,2017-05-05,1.851
1,2017-05-06,1.902
0,2017-05-21,1.738
1,2017-05-22,2.648
0,2017-06-22,3.146
1,2017-06-23,2.751
0,2017-07-08,0.9
1,2017-07-09,2.419
0,2017-08-09,3.665
1,2017-08-10,3.337
0,2017-08-25,3.016
1,2017-08-26,2.675
0,2017-09-26,0.859
1,2017-09-27,0.913
0,2017-10-12,1.217
1,2017-10-13,1.198
0,2017-10-28,0.275
1,2017-10-29,0.131
0,2017-11-13,0.089
1,2017-11-14,0.078
0,2017-12-15,0.0
1,2017-12-16,0.102
0,2018-02-01,0.227
1,2018-02-02,0.189
0,2018-05-08,0.393
1,2018-05-09,0.407
0,2018-05-24,0.688
1,2018-05-25,0.41
0,2018-06-09,3.231
1,2018-06-10,3.975
0,2018-06-25,3.896
1,2018-06-26,3.291
0,2018-07-27,1.968
1,2018-07-28,2.176
0,2018-08-12,5.406
1,2018-08-13,5.191
0,2018-08-28,4.551
1,2018-08-29,4.131
0,2018-09-13,2.119
1,2018-09-14,3.17
0,2018-09-29,3.231
1,2018-09-30,1.864
0,2018-11-16,0.664
1,2018-11-17,0.628
0,2018-12-18,0.714
1,2018-12-19,0.832
0,2019-02-20,1.023
1,2019-02-21,0.845
0,2019-03-24,1.765
1,2019-03-25,1.805
0,2019-04-09,3.205
1,2019-04-10,2.805
0,2019-04-25,1.75
1,2019-04-26,2.694
0,2019-05-11,3.574
1,2019-05-12,2.653
0,2019-05-27,1.656
1,2019-05-28,2.752
0,2019-06-12,4.921
1,2019-06-13,1.11
0,2019-07-14,1.566
1,2019-07-15,1.827
0,2019-07-30,4.151
1,2019-07-31,3.792
0,2019-08-15,4.06
1,2019-08-16,2.805
0,2019-10-02,2.043
1,2019-10-03,2.027
0,2019-10-18,0.417
1,2019-10-19,0.425
0,2020-02-23,1.291
1,2020-02-24,1.595
0,2020-05-13,1.851
1,2020-05-14,4.441
0,2020-06-14,1.866
1,2020-06-15,0.373
0,2020-07-16,1.959
1,2020-07-17,3.037
0,2020-08-01,1.262
1,2020-08-02,0.38
0,2020-08-17,3.144
1,2020-08-18,2.774
0,2020-09-02,1.161
1,2020-09-03,1.238
0,2020-10-04,1.012
1,2020-10-05,0.0
0,2020-10-20,0.669
1,2020-10-21,0.792
0,2020-11-21,0.304
1,2020-11-22,0.016
0,2021-02-09,0.318
1,2021-02-10,0.199
0,2021-02-25,0.002
1,2021-02-26,0.451
0,2021-05-16,0.0
1,2021-05-17,0.489
0,2021-06-01,3.869
1,2021-06-02,4.12
0,2021-07-19,1.393
1,2021-07-20,3.599
0,2021-08-04,3.843
1,2021-08-05,3.461
0,2021-08-20,5.053
1,2021-08-21,4.219
0,2021-09-05,3.943
1,2021-09-06,3.922
0,2021-09-21,2.86
1,2021-09-22,2.84
0,2021-10-07,0.805
1,2021-10-08,0.901
0,2021-10-23,1.853
1,2021-10-24,1.435
0,2021-11-24,0.346
1,2021-11-25,0.266
0,2022-01-27,0.385
1,2022-01-28,0.562
0,2022-03-16,1.399
1,2022-03-17,1.323
0,2022-04-01,2.597
1,2022-04-02,2.894
0,2022-04-10,1.396
1,2022-04-11,1.558
0,2022-04-17,2.491
1,2022-04-18,2.513
0,2022-05-19,2.67
1,2022-05-20,3.16
0,2022-06-04,3.059
1,2022-06-05,3.077
0,2022-06-20,1.703
1,2022-06-21,1.643
0,2022-07-06,2.149
1,2022-07-07,2.31
