,Date,ETa
0,2016-01-11,0.918
1,2016-01-12,0.0
0,2016-02-12,0.0
1,2016-02-13,0.215
0,2016-02-28,0.535
1,2016-02-29,0.68
0,2016-03-15,1.353
1,2016-03-16,1.293
0,2016-04-16,1.91
1,2016-04-17,1.483
0,2016-05-02,1.345
1,2016-05-03,1.225
0,2016-05-18,3.594
1,2016-05-19,3.578
0,2016-06-03,0.0
1,2016-06-04,0.22
0,2016-07-05,4.213
1,2016-07-06,4.223
0,2016-07-21,4.234
1,2016-07-22,4.89
0,2016-08-06,4.732
1,2016-08-07,5.554
0,2016-08-22,5.046
1,2016-08-23,5.5
0,2016-09-23,1.024
1,2016-09-24,1.3
0,2016-10-09,2.082
1,2016-10-10,2.186
0,2016-10-25,2.313
1,2016-10-26,1.294
0,2016-11-10,0.151
1,2016-11-11,0.141
0,2016-12-12,1.142
1,2016-12-13,0.957
0,2017-01-29,0.038
1,2017-01-30,0.054
0,2017-03-02,0.883
1,2017-03-03,0.963
0,2017-03-18,2.712
1,2017-03-19,2.278
0,2017-04-03,3.175
1,2017-04-04,3.087
0,2017-04-19,2.628
1,2017-04-20,2.201
0,2017-05-05,2.339
1,2017-05-06,0.0
0,2017-05-21,2.374
1,2017-05-22,3.281
0,2017-06-06,2.059
1,2017-06-07,2.048
0,2017-08-09,3.87
1,2017-08-10,3.601
0,2017-08-25,3.477
1,2017-08-26,0.732
0,2017-09-26,1.218
1,2017-09-27,1.209
0,2017-10-12,1.395
1,2017-10-13,1.14
0,2017-10-28,0.283
1,2017-10-29,0.157
0,2018-01-16,0.0
1,2018-01-17,0.0
0,2018-02-01,0.166
1,2018-02-02,0.014
0,2018-03-05,1.789
1,2018-03-06,1.924
0,2018-04-06,2.158
1,2018-04-07,2.06
0,2018-05-08,0.98
1,2018-05-09,1.327
0,2018-05-24,1.068
1,2018-05-25,0.962
0,2018-06-09,3.539
1,2018-06-10,0.637
0,2018-06-25,4.382
1,2018-06-26,4.489
0,2018-07-27,3.097
1,2018-07-28,3.327
0,2018-08-12,5.289
1,2018-08-13,5.305
0,2018-08-28,4.479
1,2018-08-29,5.333
0,2018-09-13,2.497
1,2018-09-14,2.522
0,2018-09-29,3.283
1,2018-09-30,2.975
0,2018-11-16,0.745
1,2018-11-17,0.694
