,Date,ETa
0,2016-06-27,5.421
1,2016-06-28,5.95
0,2016-06-27,5.421
1,2016-06-28,5.95
0,2016-07-13,4.234
1,2016-07-14,4.118
0,2016-07-29,5.31
1,2016-07-30,4.827
0,2016-07-13,4.234
1,2016-07-14,4.118
0,2016-07-29,5.31
1,2016-07-30,4.827
0,2016-08-14,4.482
1,2016-08-15,3.904
0,2016-08-30,3.426
1,2016-08-31,2.971
0,2016-08-14,4.482
1,2016-08-15,3.904
0,2016-08-30,3.426
1,2016-08-31,2.971
0,2016-09-15,2.846
1,2016-09-16,2.661
0,2016-09-15,2.846
1,2016-09-16,2.661
0,2016-10-01,1.557
1,2016-10-02,1.257
0,2016-10-17,1.43
1,2016-10-18,1.754
0,2016-10-01,1.557
1,2016-10-02,1.257
0,2017-04-27,5.363
1,2017-04-28,6.041
0,2017-04-27,5.363
1,2017-04-28,6.041
0,2017-05-13,5.578
1,2017-05-14,5.37
0,2017-05-29,6.738
1,2017-05-30,6.346
0,2017-05-13,5.578
1,2017-05-14,5.37
0,2017-05-29,6.738
1,2017-05-30,6.346
0,2017-06-14,5.838
1,2017-06-15,6.012
0,2017-06-14,5.838
1,2017-06-15,6.012
0,2017-07-16,7.408
1,2017-07-17,7.432
0,2017-07-16,7.408
1,2017-07-17,7.432
0,2017-08-01,6.586
1,2017-08-02,5.76
0,2017-08-17,5.851
1,2017-08-18,5.904
0,2017-08-01,6.586
1,2017-08-02,5.76
0,2017-08-17,5.851
1,2017-08-18,5.904
0,2017-10-04,3.112
1,2017-10-05,3.467
0,2017-10-04,3.112
1,2017-10-05,3.467
0,2017-11-05,1.252
1,2017-11-06,1.385
0,2017-11-05,1.252
1,2017-11-06,1.385
0,2018-02-25,2.233
1,2018-02-26,1.759
0,2018-02-25,2.233
1,2018-02-26,1.759
0,2018-06-01,5.828
1,2018-06-02,6.93
0,2018-06-01,5.828
1,2018-06-02,6.93
0,2018-07-19,6.911
1,2018-07-20,6.152
0,2018-07-19,6.911
1,2018-07-20,6.152
0,2018-08-04,6.102
1,2018-08-05,5.369
0,2018-08-20,5.774
1,2018-08-21,4.699
0,2018-08-04,6.102
1,2018-08-05,5.369
0,2018-08-20,5.774
1,2018-08-21,4.699
0,2018-09-05,4.948
1,2018-09-06,5.346
0,2018-09-21,3.5
1,2018-09-22,3.347
0,2018-09-05,4.948
1,2018-09-06,5.346
0,2018-09-21,3.5
1,2018-09-22,3.347
0,2019-04-17,5.034
1,2019-04-18,4.741
0,2019-04-17,5.034
1,2019-04-18,4.741
0,2019-05-03,5.796
1,2019-05-04,5.397
0,2019-05-03,5.796
1,2019-05-04,5.397
0,2019-06-20,6.548
1,2019-06-21,7.382
0,2019-06-20,6.548
1,2019-06-21,7.382
0,2019-07-06,6.461
1,2019-07-07,5.513
0,2019-07-22,5.968
1,2019-07-23,5.995
0,2019-07-06,6.461
1,2019-07-07,5.513
0,2019-07-22,5.968
1,2019-07-23,5.995
0,2019-08-07,5.65
1,2019-08-08,4.95
0,2019-08-23,5.305
1,2019-08-24,5.092
0,2019-08-07,5.65
1,2019-08-08,4.95
0,2019-08-23,5.305
1,2019-08-24,5.092
0,2019-09-08,4.121
1,2019-09-09,4.213
0,2019-09-08,4.121
1,2019-09-09,4.213
0,2020-01-14,0.992
1,2020-01-15,0.714
0,2020-04-03,3.872
1,2020-04-04,1.836
0,2020-04-19,5.312
1,2020-04-20,4.362
0,2020-04-03,3.872
1,2020-04-04,1.836
0,2020-04-19,5.312
1,2020-04-20,4.362
0,2020-05-05,6.114
1,2020-05-06,6.509
0,2020-05-21,5.926
1,2020-05-22,6.582
0,2020-05-05,6.114
1,2020-05-06,6.509
0,2020-05-21,5.926
1,2020-05-22,6.582
0,2020-06-06,6.218
1,2020-06-07,6.639
0,2020-06-22,6.771
1,2020-06-23,6.467
0,2020-06-22,6.771
1,2020-06-23,6.467
0,2020-07-24,5.92
1,2020-07-25,5.931
0,2020-07-24,5.92
1,2020-07-25,5.931
0,2020-08-09,5.37
1,2020-08-10,5.199
0,2020-08-09,5.37
1,2020-08-10,5.199
0,2020-09-26,2.808
1,2020-09-27,2.264
0,2020-09-26,2.808
1,2020-09-27,2.264
