,Date,ETa
0,2018-07-19,4.189
1,2018-07-20,3.75
0,2018-08-04,2.955
1,2018-08-05,2.422
0,2018-08-20,3.619
1,2018-08-21,3.008
0,2018-08-04,2.955
1,2018-08-05,2.422
0,2018-08-20,3.619
1,2018-08-21,3.008
0,2018-09-05,3.835
1,2018-09-06,3.666
0,2018-09-21,1.102
1,2018-09-22,0.91
0,2018-09-05,3.835
1,2018-09-06,3.666
0,2018-09-21,1.102
1,2018-09-22,0.91
0,2018-10-07,1.992
1,2018-10-08,1.626
0,2018-10-07,1.992
1,2018-10-08,1.626
0,2018-11-08,0.87
1,2018-11-09,0.606
0,2018-11-08,0.87
1,2018-11-09,0.606
0,2018-12-26,0.393
1,2018-12-27,0.618
0,2019-04-17,3.18
1,2019-04-18,3.051
0,2019-04-17,3.18
1,2019-04-18,3.051
0,2019-05-03,4.104
1,2019-05-04,3.725
0,2019-05-03,4.104
1,2019-05-04,3.725
0,2019-06-20,4.302
1,2019-06-21,4.78
0,2019-06-04,3.663
1,2019-06-05,3.894
0,2019-06-20,4.302
1,2019-06-21,4.78
0,2019-07-22,3.729
1,2019-07-23,3.692
0,2019-07-06,2.802
1,2019-07-07,2.501
0,2019-07-22,3.729
1,2019-07-23,3.692
0,2019-08-07,2.61
1,2019-08-08,2.33
0,2019-08-23,2.635
1,2019-08-24,2.467
0,2019-08-07,2.61
1,2019-08-08,2.33
0,2019-08-23,2.635
1,2019-08-24,2.467
0,2019-09-08,0.444
1,2019-09-09,0.654
0,2019-09-24,2.776
1,2019-09-25,2.373
0,2019-09-08,0.444
1,2019-09-09,0.654
0,2019-09-24,2.776
1,2019-09-25,2.373
0,2019-10-10,1.695
1,2019-10-11,1.413
0,2019-10-26,1.0
1,2019-10-27,1.466
0,2019-10-10,1.695
1,2019-10-11,1.413
0,2019-10-26,1.0
1,2019-10-27,1.466
0,2020-04-03,2.545
1,2020-04-04,1.268
0,2020-04-19,3.854
1,2020-04-20,2.98
0,2020-04-03,2.545
1,2020-04-04,1.268
0,2020-04-19,3.854
1,2020-04-20,2.98
0,2020-05-05,3.691
1,2020-05-06,3.834
0,2020-05-21,0.621
1,2020-05-22,0.763
0,2020-05-05,3.691
1,2020-05-06,3.834
0,2020-05-21,0.621
1,2020-05-22,0.763
0,2020-06-06,1.739
1,2020-06-07,2.122
0,2020-06-06,1.739
1,2020-06-07,2.122
0,2020-06-22,0.547
1,2020-06-23,0.624
