,Date,ETa
0,2016-05-10,4.372
1,2016-05-11,4.12
0,2016-05-26,3.381
1,2016-05-27,3.641
0,2016-05-10,4.372
1,2016-05-11,4.12
0,2016-05-26,3.381
1,2016-05-27,3.641
0,2016-06-27,4.68
1,2016-06-28,5.339
0,2016-06-27,4.68
1,2016-06-28,5.339
0,2016-07-29,3.702
1,2016-07-30,3.643
0,2016-07-29,3.702
1,2016-07-30,3.643
0,2016-08-14,3.065
1,2016-08-15,2.509
0,2016-08-30,2.66
1,2016-08-31,2.606
0,2016-08-14,3.065
1,2016-08-15,2.509
0,2016-08-30,2.66
1,2016-08-31,2.606
0,2016-09-15,2.423
1,2016-09-16,2.256
0,2016-09-15,2.423
1,2016-09-16,2.256
0,2017-04-27,4.054
1,2017-04-28,5.244
0,2017-04-27,4.054
1,2017-04-28,5.244
0,2017-05-13,3.748
1,2017-05-14,3.681
0,2017-05-29,6.812
1,2017-05-30,5.806
0,2017-05-13,3.748
1,2017-05-14,3.681
0,2017-05-29,6.812
1,2017-05-30,5.806
0,2017-06-14,1.63
1,2017-06-15,1.916
0,2017-06-14,1.63
1,2017-06-15,1.916
0,2017-08-01,2.794
1,2017-08-02,2.703
0,2017-08-17,3.578
1,2017-08-18,3.545
0,2017-08-01,2.794
1,2017-08-02,2.703
0,2017-08-17,3.578
1,2017-08-18,3.545
0,2017-09-18,1.342
1,2017-09-19,1.167
0,2017-09-18,1.342
1,2017-09-19,1.167
