,Date,ETa
0,2021-01-16,0.767
1,2021-01-17,0.583
0,2021-02-10,1.469
1,2021-02-11,1.21
0,2021-02-26,2.028
1,2021-02-27,3.553
0,2021-02-10,1.469
1,2021-02-11,1.21
0,2021-02-26,2.028
1,2021-02-27,3.553
0,2021-02-17,1.408
1,2021-02-18,1.051
0,2021-03-30,2.288
1,2021-03-31,2.002
0,2021-03-30,2.288
1,2021-03-31,2.002
0,2021-03-05,1.83
1,2021-03-06,1.232
0,2021-03-21,2.513
1,2021-03-22,1.622
0,2021-04-15,3.706
1,2021-04-16,4.084
0,2021-04-15,3.706
1,2021-04-16,4.084
0,2021-04-22,3.104
1,2021-04-23,3.027
0,2021-05-01,4.598
1,2021-05-02,4.402
0,2021-05-17,4.744
1,2021-05-18,5.989
0,2021-05-01,4.598
1,2021-05-02,4.402
0,2021-05-17,4.744
1,2021-05-18,5.989
0,2021-05-08,2.341
1,2021-05-09,4.723
0,2021-05-24,6.652
1,2021-05-25,3.443
0,2021-06-02,3.729
1,2021-06-03,3.605
0,2021-06-18,3.408
1,2021-06-19,3.897
0,2021-06-02,3.729
1,2021-06-03,3.605
0,2021-06-18,3.408
1,2021-06-19,3.897
0,2021-06-09,2.658
1,2021-06-10,4.126
0,2021-06-25,3.43
1,2021-06-26,5.802
0,2021-07-04,3.438
1,2021-07-05,3.582
0,2021-07-20,4.12
1,2021-07-21,3.971
0,2021-07-04,3.438
1,2021-07-05,3.582
0,2021-07-20,4.12
1,2021-07-21,3.971
0,2021-08-05,4.354
1,2021-08-06,3.666
0,2021-08-21,4.764
1,2021-08-22,4.59
0,2021-08-05,4.354
1,2021-08-06,3.666
0,2021-08-21,4.764
1,2021-08-22,4.59
0,2021-08-12,2.326
1,2021-08-13,4.217
0,2021-08-28,2.983
1,2021-08-29,3.058
0,2021-09-06,1.323
1,2021-09-07,1.563
0,2021-09-22,1.148
1,2021-09-23,1.196
0,2021-09-06,1.323
1,2021-09-07,1.563
0,2021-09-22,1.148
1,2021-09-23,1.196
0,2021-09-13,1.908
1,2021-09-14,2.205
0,2021-09-29,2.493
1,2021-09-30,2.4
0,2021-10-15,1.325
1,2021-10-16,1.482
0,2021-11-25,0.539
1,2021-11-26,0.557
0,2021-11-25,0.539
1,2021-11-26,0.557
0,2021-12-11,0.675
1,2021-12-12,0.612
0,2022-01-12,0.669
1,2022-01-13,0.547
0,2022-01-28,1.138
1,2022-01-29,1.018
0,2022-01-12,0.669
1,2022-01-13,0.547
0,2022-01-28,1.138
1,2022-01-29,1.018
0,2022-01-19,0.772
1,2022-01-20,0.834
0,2022-02-13,1.518
1,2022-02-14,1.597
0,2022-02-13,1.518
1,2022-02-14,1.597
0,2022-02-04,1.147
1,2022-02-05,1.272
0,2022-03-01,1.96
1,2022-03-02,2.388
0,2022-03-01,1.96
1,2022-03-02,2.388
0,2022-03-08,2.401
1,2022-03-09,0.402
0,2022-04-18,3.936
1,2022-04-19,2.627
0,2022-04-02,4.022
1,2022-04-03,4.347
0,2022-04-18,3.936
1,2022-04-19,2.627
0,2022-04-09,2.928
1,2022-04-10,3.184
0,2022-04-25,3.851
1,2022-04-26,4.838
0,2022-06-21,2.141
1,2022-06-22,1.668
0,2022-06-21,2.141
1,2022-06-22,1.668
0,2022-08-08,3.706
1,2022-08-09,3.258
0,2022-08-24,3.026
1,2022-08-25,2.885
0,2022-08-24,3.026
1,2022-08-25,2.885
0,2022-08-15,2.905
1,2022-08-16,3.544
0,2022-09-09,3.292
1,2022-09-10,2.858
0,2022-09-25,1.654
1,2022-09-26,1.712
0,2022-09-09,3.292
1,2022-09-10,2.858
0,2022-09-25,1.654
1,2022-09-26,1.712
0,2022-10-11,1.739
1,2022-10-12,1.702
0,2022-10-27,0.755
1,2022-10-28,0.926
0,2022-10-11,1.739
1,2022-10-12,1.702
0,2022-10-27,0.755
1,2022-10-28,0.926
0,2022-10-02,1.338
1,2022-10-03,1.928
0,2022-11-03,1.188
1,2022-11-04,0.95
0,2022-11-19,0.526
1,2022-11-20,0.304
0,2023-01-22,0.823
1,2023-01-23,0.69
0,2023-02-16,0.823
1,2023-02-17,1.038
0,2023-03-27,1.789
1,2023-03-28,0.851
0,2023-04-28,4.723
1,2023-04-29,4.42
0,2023-05-07,4.35
1,2023-05-08,3.426
0,2023-05-23,3.936
1,2023-05-24,3.55
0,2023-05-07,4.35
1,2023-05-08,3.426
0,2023-05-23,3.936
1,2023-05-24,3.55
0,2023-05-14,4.2
1,2023-05-15,5.058
0,2023-05-30,2.358
1,2023-05-31,5.142
0,2023-06-08,3.388
1,2023-06-09,3.431
0,2023-06-24,3.958
1,2023-06-25,3.828
0,2023-06-08,3.388
1,2023-06-09,3.431
0,2023-06-24,3.958
1,2023-06-25,3.828
0,2023-06-15,3.453
1,2023-06-16,3.115
0,2023-07-10,4.496
1,2023-07-11,5.022
0,2023-07-26,3.542
1,2023-07-27,3.414
0,2023-07-10,4.496
1,2023-07-11,5.022
0,2023-07-26,3.542
1,2023-07-27,3.414
0,2023-07-01,2.828
1,2023-07-02,5.397
0,2023-08-11,3.468
1,2023-08-12,3.514
0,2023-08-27,3.402
1,2023-08-28,3.608
0,2023-08-11,3.468
1,2023-08-12,3.514
0,2023-08-27,3.402
1,2023-08-28,3.608
0,2023-08-02,3.185
1,2023-08-03,4.284
0,2023-08-18,2.265
1,2023-08-19,3.107
0,2023-09-12,2.67
1,2023-09-13,2.715
0,2023-09-28,2.235
1,2023-09-29,1.786
0,2023-09-12,2.67
1,2023-09-13,2.715
0,2023-09-28,2.235
1,2023-09-29,1.786
0,2023-10-14,1.571
1,2023-10-15,1.437
0,2023-10-30,1.004
1,2023-10-31,1.027
0,2023-10-30,1.004
1,2023-10-31,1.027
0,2023-10-05,1.642
1,2023-10-06,1.316
