,Date,ETa
0,2016-02-04,1.381
1,2016-02-05,1.402
0,2016-03-23,4.02
1,2016-03-24,4.169
0,2016-03-23,4.02
1,2016-03-24,4.169
0,2016-05-10,5.948
1,2016-05-11,5.909
0,2016-05-26,5.978
1,2016-05-27,6.353
0,2016-05-10,5.948
1,2016-05-11,5.909
0,2016-05-26,5.978
1,2016-05-27,6.353
0,2016-06-11,6.656
1,2016-06-12,6.995
0,2016-06-27,6.978
1,2016-06-28,7.818
0,2016-06-11,6.656
1,2016-06-12,6.995
0,2016-06-27,6.978
1,2016-06-28,7.818
0,2016-07-13,6.558
1,2016-07-14,6.745
0,2016-07-29,6.425
1,2016-07-30,5.971
0,2016-07-13,6.558
1,2016-07-14,6.745
0,2016-07-29,6.425
1,2016-07-30,5.971
0,2016-08-14,5.43
1,2016-08-15,4.885
0,2016-08-30,5.16
1,2016-08-31,4.754
0,2016-08-14,5.43
1,2016-08-15,4.885
0,2016-08-30,5.16
1,2016-08-31,4.754
0,2016-09-15,4.065
1,2016-09-16,4.115
0,2016-09-15,4.065
1,2016-09-16,4.115
0,2016-10-01,3.04
1,2016-10-02,2.419
0,2016-10-01,3.04
1,2016-10-02,2.419
0,2016-11-02,1.332
1,2016-11-03,1.45
0,2016-11-02,1.332
1,2016-11-03,1.45
0,2017-05-13,5.023
1,2017-05-14,5.066
0,2017-05-29,5.703
1,2017-05-30,5.47
0,2017-05-13,5.023
1,2017-05-14,5.066
0,2017-05-29,5.703
1,2017-05-30,5.47
0,2017-06-14,5.046
1,2017-06-15,5.251
0,2017-06-14,5.046
1,2017-06-15,5.251
0,2017-07-16,6.756
1,2017-07-17,6.691
0,2017-08-01,6.004
1,2017-08-02,5.281
0,2017-08-17,5.422
1,2017-08-18,5.643
0,2017-08-01,6.004
1,2017-08-02,5.281
0,2017-08-17,5.422
1,2017-08-18,5.643
0,2017-10-04,2.818
1,2017-10-05,3.066
0,2017-10-04,2.818
1,2017-10-05,3.066
0,2018-03-29,3.442
1,2018-03-30,3.036
0,2018-03-29,3.442
1,2018-03-30,3.036
0,2018-06-01,5.829
1,2018-06-02,6.861
0,2018-06-01,5.829
1,2018-06-02,6.861
0,2018-07-03,6.382
1,2018-07-04,5.197
0,2018-07-19,6.357
1,2018-07-20,5.691
0,2018-07-03,6.382
1,2018-07-04,5.197
0,2018-07-19,6.357
1,2018-07-20,5.691
0,2018-08-04,5.426
1,2018-08-05,4.906
0,2018-08-20,5.501
1,2018-08-21,4.492
0,2018-08-20,5.501
1,2018-08-21,4.492
0,2018-09-21,3.614
1,2018-09-22,3.246
0,2018-09-05,4.574
1,2018-09-06,4.885
0,2018-09-21,3.614
1,2018-09-22,3.246
0,2018-10-07,2.902
1,2018-10-08,2.476
0,2018-10-07,2.902
1,2018-10-08,2.476
0,2018-11-08,1.315
1,2018-11-09,0.833
0,2018-11-08,1.315
1,2018-11-09,0.833
0,2019-04-17,3.977
1,2019-04-18,3.735
0,2019-04-17,3.977
1,2019-04-18,3.735
0,2019-05-03,4.703
1,2019-05-04,4.496
0,2019-05-03,4.703
1,2019-05-04,4.496
0,2019-06-04,5.632
1,2019-06-05,5.816
0,2019-06-20,5.915
1,2019-06-21,6.938
0,2019-06-04,5.632
1,2019-06-05,5.816
0,2019-06-20,5.915
1,2019-06-21,6.938
0,2019-07-06,5.17
1,2019-07-07,4.407
0,2019-07-22,5.739
1,2019-07-23,5.555
0,2019-07-06,5.17
1,2019-07-07,4.407
0,2019-07-22,5.739
1,2019-07-23,5.555
0,2019-08-07,5.188
1,2019-08-08,4.546
0,2019-08-23,4.584
1,2019-08-24,4.27
0,2019-08-07,5.188
1,2019-08-08,4.546
0,2019-08-23,4.584
1,2019-08-24,4.27
0,2019-09-08,3.972
1,2019-09-09,4.135
0,2019-09-24,4.081
1,2019-09-25,3.627
0,2019-09-08,3.972
1,2019-09-09,4.135
0,2019-09-24,4.081
1,2019-09-25,3.627
0,2019-10-10,2.635
1,2019-10-11,2.069
0,2019-10-26,1.83
1,2019-10-27,3.193
0,2019-10-10,2.635
1,2019-10-11,2.069
0,2019-10-26,1.83
1,2019-10-27,3.193
