,Date,ETa
0,2016-03-29,1.807
1,2016-03-30,1.196
0,2016-03-04,2.358
1,2016-03-05,1.957
0,2016-04-14,0.052
1,2016-04-15,0.106
0,2016-04-05,0.758
1,2016-04-06,0.398
0,2016-05-23,2.532
1,2016-05-24,3.027
0,2016-06-17,6.813
1,2016-06-18,7.635
0,2016-06-08,5.391
1,2016-06-09,6.146
0,2016-06-24,6.189
1,2016-06-25,7.485
0,2016-08-04,5.496
1,2016-08-05,4.175
0,2016-09-05,4.936
1,2016-09-06,5.04
0,2016-09-21,2.661
1,2016-09-22,2.807
0,2016-09-12,3.845
1,2016-09-13,3.643
0,2016-10-14,2.098
1,2016-10-15,2.942
0,2017-03-16,1.247
1,2017-03-17,1.045
0,2017-03-07,1.728
1,2017-03-08,2.801
0,2017-04-08,0.423
1,2017-04-09,0.496
0,2017-04-24,0.0
1,2017-04-25,0.0
0,2017-05-10,0.893
1,2017-05-11,0.573
0,2017-05-26,5.477
1,2017-05-27,5.178
0,2017-06-11,5.025
1,2017-06-12,4.996
0,2017-06-27,5.674
1,2017-06-28,6.759
0,2017-07-06,6.117
1,2017-07-07,6.268
0,2017-08-23,4.901
1,2017-08-24,4.791
0,2017-08-14,5.285
1,2017-08-15,5.276
0,2017-08-30,4.441
1,2017-08-31,4.444
0,2017-09-08,3.825
1,2017-09-09,3.767
0,2017-09-24,3.055
1,2017-09-25,2.636
0,2017-09-15,3.633
1,2017-09-16,3.544
0,2017-10-01,1.97
1,2017-10-02,2.684
0,2018-04-20,1.641
1,2018-04-21,1.817
0,2018-04-11,1.508
1,2018-04-12,2.375
0,2018-06-14,6.474
1,2018-06-15,7.262
0,2018-07-09,6.478
1,2018-07-10,5.947
0,2018-07-25,6.243
1,2018-07-26,5.821
0,2018-08-10,5.326
1,2018-08-11,5.799
0,2018-08-26,5.677
1,2018-08-27,6.32
0,2018-09-18,3.76
1,2018-09-19,3.7
0,2018-10-29,0.644
1,2018-10-30,1.152
0,2018-10-04,2.023
1,2018-10-05,2.04
0,2018-10-20,1.173
1,2018-10-21,0.882
0,2018-11-21,0.753
1,2018-11-22,0.965
0,2018-12-16,0.582
1,2018-12-17,0.394
0,2019-01-08,0.205
1,2019-01-09,0.218
0,2019-02-09,0.0
1,2019-02-10,0.047
0,2019-02-25,1.347
1,2019-02-26,1.852
0,2019-03-22,2.129
1,2019-03-23,2.307
0,2019-06-10,0.582
1,2019-06-11,0.647
0,2019-06-26,2.399
1,2019-06-27,2.878
0,2019-06-01,0.0
1,2019-06-02,0.057
0,2019-07-12,6.046
1,2019-07-13,5.893
0,2019-07-28,5.6
1,2019-07-29,3.211
0,2019-07-03,6.146
1,2019-07-04,5.944
0,2019-07-19,6.188
1,2019-07-20,6.046
0,2019-08-29,3.677
1,2019-08-30,3.204
0,2019-08-04,5.563
1,2019-08-05,5.495
0,2019-09-14,3.112
1,2019-09-15,2.891
0,2019-10-07,2.171
1,2019-10-08,2.157
0,2019-10-23,2.237
1,2019-10-24,1.025
0,2019-11-01,0.843
1,2019-11-02,0.836
0,2019-11-24,0.0
1,2019-11-25,0.0
0,2019-12-26,0.232
1,2019-12-27,0.08
0,2020-02-21,0.0
1,2020-02-22,0.0
0,2020-03-08,0.0
1,2020-03-09,0.0
0,2020-04-09,0.02
1,2020-04-10,0.042
0,2020-06-12,3.869
1,2020-06-13,3.612
0,2020-07-14,6.895
1,2020-07-15,6.193
0,2020-07-05,6.422
1,2020-07-06,5.223
0,2020-08-06,5.514
1,2020-08-07,5.563
0,2020-08-22,4.891
1,2020-08-23,5.372
0,2020-09-16,3.0
1,2020-09-17,2.652
0,2020-12-05,0.46
1,2020-12-06,0.46
0,2021-01-22,0.395
1,2021-01-23,0.625
0,2021-06-15,5.81
1,2021-06-16,6.064
0,2021-06-22,5.932
1,2021-06-23,6.39
0,2021-07-24,6.069
1,2021-07-25,5.694
0,2021-08-02,5.157
1,2021-08-03,5.243
0,2021-09-10,4.322
1,2021-09-11,5.009
0,2021-10-12,2.115
1,2021-10-13,1.669
0,2021-11-06,1.318
1,2021-11-07,1.664
0,2021-11-22,0.992
1,2021-11-23,1.151
0,2021-12-08,1.008
1,2021-12-09,1.402
