,Date,ETa
0,2016-01-12,0.724
1,2016-01-13,0.534
0,2016-02-13,1.616
1,2016-02-14,2.238
0,2016-02-13,1.616
1,2016-02-14,2.238
0,2016-03-16,2.726
1,2016-03-17,2.709
0,2016-03-16,2.726
1,2016-03-17,2.709
0,2016-03-23,2.886
1,2016-03-24,3.025
0,2016-04-01,3.528
1,2016-04-02,3.766
0,2016-04-01,3.528
1,2016-04-02,3.766
0,2016-04-17,4.177
1,2016-04-18,4.474
0,2016-04-17,4.177
1,2016-04-18,4.474
0,2016-05-10,5.116
1,2016-05-11,6.554
0,2016-05-19,4.184
1,2016-05-20,2.883
0,2016-05-19,4.184
1,2016-05-20,2.883
0,2016-05-26,2.287
1,2016-05-27,4.314
0,2016-06-11,2.513
1,2016-06-12,2.64
0,2016-06-20,2.408
1,2016-06-21,2.676
0,2016-06-20,2.408
1,2016-06-21,2.676
0,2016-06-27,3.381
1,2016-06-28,3.797
0,2016-07-06,4.684
1,2016-07-07,4.485
0,2016-07-06,4.684
1,2016-07-07,4.485
0,2016-07-13,3.386
1,2016-07-14,4.251
0,2016-07-22,3.601
1,2016-07-23,3.959
0,2016-07-22,3.601
1,2016-07-23,3.959
0,2016-07-29,2.645
1,2016-07-30,3.442
0,2016-08-07,3.779
1,2016-08-08,3.585
0,2016-08-07,3.779
1,2016-08-08,3.585
0,2016-08-14,1.501
1,2016-08-15,2.129
0,2016-08-23,3.72
1,2016-08-24,3.545
0,2016-08-23,3.72
1,2016-08-24,3.545
0,2016-08-30,1.801
1,2016-08-31,3.075
0,2016-09-08,2.532
1,2016-09-09,2.232
0,2016-09-08,2.532
1,2016-09-09,2.232
0,2016-09-15,1.813
1,2016-09-16,2.747
0,2016-09-24,1.375
1,2016-09-25,1.127
0,2016-09-24,1.375
1,2016-09-25,1.127
0,2016-10-01,1.47
1,2016-10-02,1.056
0,2016-10-10,0.994
1,2016-10-11,0.753
0,2016-10-26,1.345
1,2016-10-27,0.405
0,2016-10-26,1.345
1,2016-10-27,0.405
0,2016-11-11,0.983
1,2016-11-12,0.711
0,2016-11-11,0.983
1,2016-11-12,0.711
0,2016-11-18,0.405
1,2016-11-19,0.245
0,2016-11-27,0.076
1,2016-11-28,0.042
0,2016-11-27,0.076
1,2016-11-28,0.042
0,2016-12-20,0.481
1,2016-12-21,0.416
0,2017-04-04,3.166
1,2017-04-05,3.719
0,2017-04-04,3.166
1,2017-04-05,3.719
0,2017-04-20,5.152
1,2017-04-21,5.873
0,2017-04-20,5.152
1,2017-04-21,5.873
0,2017-04-27,5.088
1,2017-04-28,3.31
0,2017-05-06,5.169
1,2017-05-07,5.493
0,2017-05-13,4.707
1,2017-05-14,4.452
0,2017-05-22,5.139
1,2017-05-23,5.273
0,2017-05-22,5.139
1,2017-05-23,5.273
0,2017-05-29,3.629
1,2017-05-30,5.623
0,2017-06-14,0.807
1,2017-06-15,2.992
0,2017-06-23,4.196
1,2017-06-24,3.645
0,2017-06-23,4.196
1,2017-06-24,3.645
0,2017-07-09,3.898
1,2017-07-10,4.017
0,2017-07-09,3.898
1,2017-07-10,4.017
0,2017-07-16,3.814
1,2017-07-17,3.512
0,2017-07-25,4.018
1,2017-07-26,3.729
0,2017-07-25,4.018
1,2017-07-26,3.729
0,2017-08-01,1.599
1,2017-08-02,1.362
0,2017-08-10,4.498
1,2017-08-11,4.51
0,2017-08-10,4.498
1,2017-08-11,4.51
0,2017-08-26,2.926
1,2017-08-27,3.145
0,2017-08-26,2.926
1,2017-08-27,3.145
0,2017-09-27,1.376
1,2017-09-28,1.406
0,2017-10-04,0.348
1,2017-10-05,0.202
0,2017-10-13,1.47
1,2017-10-14,1.255
0,2017-10-13,1.47
1,2017-10-14,1.255
0,2017-10-29,0.99
1,2017-10-30,0.797
0,2017-10-29,0.99
1,2017-10-30,0.797
0,2017-11-14,1.138
1,2017-11-15,1.038
0,2017-11-14,1.138
1,2017-11-15,1.038
0,2017-12-07,0.601
1,2017-12-08,0.502
0,2017-12-16,0.49
1,2017-12-17,0.259
0,2018-02-09,0.678
1,2018-02-10,1.904
0,2018-02-25,1.117
1,2018-02-26,0.561
0,2018-03-06,0.571
1,2018-03-07,0.709
0,2018-04-14,2.926
1,2018-04-15,0.246
0,2018-04-23,4.674
1,2018-04-24,4.954
0,2018-04-23,4.674
1,2018-04-24,4.954
0,2018-05-09,5.064
1,2018-05-10,5.022
0,2018-05-09,5.064
1,2018-05-10,5.022
0,2018-06-01,4.35
1,2018-06-02,4.32
0,2018-06-10,2.691
1,2018-06-11,2.755
0,2018-06-10,2.691
1,2018-06-11,2.755
0,2018-06-17,1.607
1,2018-06-18,3.617
0,2018-06-26,3.368
1,2018-06-27,3.47
0,2018-06-26,3.368
1,2018-06-27,3.47
0,2018-07-03,3.689
1,2018-07-04,4.451
0,2018-07-12,4.855
1,2018-07-13,4.459
0,2018-07-12,4.855
1,2018-07-13,4.459
0,2018-07-19,2.85
1,2018-07-20,2.635
0,2018-07-28,4.8
1,2018-07-29,4.066
0,2018-07-28,4.8
1,2018-07-29,4.066
0,2018-08-04,0.468
1,2018-08-05,4.753
0,2018-08-13,2.792
1,2018-08-14,2.464
0,2018-08-13,2.792
1,2018-08-14,2.464
0,2018-08-20,1.91
1,2018-08-21,4.324
0,2018-08-29,2.33
1,2018-08-30,1.931
0,2018-08-29,2.33
1,2018-08-30,1.931
0,2018-09-05,0.772
1,2018-09-06,2.841
0,2018-09-14,1.618
1,2018-09-15,1.575
0,2018-09-14,1.618
1,2018-09-15,1.575
0,2018-09-21,0.0
1,2018-09-22,1.593
0,2018-10-16,0.834
1,2018-10-17,0.925
0,2018-12-19,0.255
1,2018-12-20,0.258
0,2019-01-27,0.131
1,2019-01-28,0.095
0,2019-02-21,0.122
1,2019-02-22,0.191
0,2019-03-16,1.864
1,2019-03-17,3.874
0,2019-04-17,4.08
1,2019-04-18,4.672
0,2019-04-26,5.602
1,2019-04-27,5.288
0,2019-04-26,5.602
1,2019-04-27,5.288
0,2019-05-12,5.056
1,2019-05-13,5.608
