,Date,ETa
0,2016-02-05,0.313
1,2016-02-06,0.263
0,2016-04-25,0.355
1,2016-04-26,0.367
0,2016-07-14,1.693
1,2016-07-15,1.681
0,2016-08-15,1.694
1,2016-08-16,1.872
0,2016-10-18,0.576
1,2016-10-19,0.454
0,2017-04-12,0.99
1,2017-04-13,1.094
0,2017-05-14,1.665
1,2017-05-15,1.482
0,2017-07-01,0.0
1,2017-07-02,0.512
0,2017-08-18,4.201
1,2017-08-19,2.723
0,2017-11-06,1.039
1,2017-11-07,0.827
0,2017-11-22,0.391
1,2017-11-23,0.337
0,2017-12-08,0.277
1,2017-12-09,0.364
0,2018-02-10,0.0
1,2018-02-11,0.002
0,2018-03-30,1.405
1,2018-03-31,1.662
0,2018-04-15,1.576
1,2018-04-16,2.089
0,2018-06-18,1.042
1,2018-06-19,1.043
0,2018-08-21,1.902
1,2018-08-22,1.796
0,2018-09-06,2.966
1,2018-09-07,2.991
0,2018-09-22,0.934
1,2018-09-23,0.843
0,2018-12-27,0.283
1,2018-12-28,0.184
0,2019-05-04,3.409
1,2019-05-05,3.556
0,2019-06-05,1.709
1,2019-06-06,1.636
0,2019-06-21,1.49
1,2019-06-22,2.186
0,2019-07-07,3.192
1,2019-07-08,3.658
0,2019-08-08,0.555
1,2019-08-09,0.626
0,2020-02-16,0.287
1,2020-02-17,0.298
0,2020-04-20,0.732
1,2020-04-21,1.137
0,2020-05-06,1.454
1,2020-05-07,1.556
0,2020-06-07,0.035
1,2020-06-08,0.028
0,2020-06-23,1.88
1,2020-06-24,2.251
0,2020-07-09,6.129
1,2020-07-10,5.158
0,2020-08-10,1.585
1,2020-08-11,1.393
0,2020-08-26,1.525
1,2020-08-27,1.822
0,2020-09-27,0.836
1,2020-09-28,0.644
0,2021-01-17,0.234
1,2021-01-18,0.316
0,2021-03-06,0.365
1,2021-03-07,0.415
0,2021-04-07,0.0
1,2021-04-08,0.116
0,2021-04-23,1.442
1,2021-04-24,1.413
0,2021-05-09,0.0
1,2021-05-10,0.06
0,2021-05-25,0.157
1,2021-05-26,0.178
0,2021-06-26,1.613
1,2021-06-27,1.301
0,2021-07-12,3.701
1,2021-07-13,3.457
0,2021-07-28,4.485
1,2021-07-29,3.491
0,2021-09-14,2.431
1,2021-09-15,2.235
0,2022-03-09,0.124
1,2022-03-10,0.146
0,2022-04-26,2.922
1,2022-04-27,2.819
0,2022-06-13,0.0
1,2022-06-14,0.129
0,2022-06-29,1.374
1,2022-06-30,1.526
0,2022-07-15,3.351
1,2022-07-16,3.832
