,Date,ETa
0,2016-03-24,0.21
1,2016-03-25,0.473
0,2016-04-09,2.04
1,2016-04-10,1.356
0,2016-04-25,2.122
1,2016-04-26,1.912
0,2016-05-11,1.525
1,2016-05-12,1.597
0,2016-05-27,2.679
1,2016-05-28,3.142
0,2016-06-28,0.891
1,2016-06-29,0.914
0,2016-07-14,3.187
1,2016-07-15,3.435
0,2016-07-30,5.277
1,2016-07-31,4.657
0,2016-08-15,3.595
1,2016-08-16,4.02
0,2016-09-16,3.259
1,2016-09-17,2.971
0,2016-10-18,1.469
1,2016-10-19,1.092
0,2016-11-19,0.023
1,2016-11-20,0.024
0,2017-01-22,0.057
1,2017-01-23,0.11
0,2017-02-07,1.837
1,2017-02-08,1.668
0,2017-03-27,1.62
1,2017-03-28,1.269
0,2017-04-12,2.075
1,2017-04-13,2.271
0,2017-06-15,2.121
1,2017-06-16,2.266
0,2017-07-01,1.954
1,2017-07-02,2.156
0,2017-08-02,3.849
1,2017-08-03,4.514
0,2017-08-18,4.293
1,2017-08-19,2.756
0,2017-09-03,2.93
1,2017-09-04,3.607
0,2017-09-19,2.905
1,2017-09-20,2.856
0,2017-10-05,2.359
1,2017-10-06,2.705
0,2018-02-10,1.288
1,2018-02-11,0.974
0,2018-03-30,2.393
1,2018-03-31,2.571
0,2018-04-15,2.304
1,2018-04-16,2.944
0,2018-05-17,1.629
1,2018-05-18,1.577
0,2018-06-02,1.631
1,2018-06-03,1.57
0,2018-06-18,1.878
1,2018-06-19,1.928
0,2018-08-05,2.582
1,2018-08-06,2.988
0,2018-08-21,3.065
1,2018-08-22,2.768
0,2018-09-22,1.494
1,2018-09-23,1.506
0,2018-11-25,0.349
1,2018-11-26,0.452
0,2018-12-27,0.598
1,2018-12-28,0.339
0,2019-04-02,1.432
1,2019-04-03,1.338
0,2019-04-18,2.188
1,2019-04-19,2.671
0,2019-05-04,4.283
1,2019-05-05,4.42
0,2019-05-20,1.277
1,2019-05-21,1.985
0,2019-06-05,3.291
1,2019-06-06,3.171
0,2019-07-07,3.682
1,2019-07-08,4.065
0,2019-08-08,3.464
1,2019-08-09,3.125
0,2019-08-24,4.874
1,2019-08-25,5.253
0,2019-09-09,2.607
1,2019-09-10,2.803
0,2019-10-11,0.76
1,2019-10-12,0.91
0,2019-11-12,1.076
1,2019-11-13,1.332
0,2020-02-16,0.455
1,2020-02-17,0.544
0,2020-04-20,2.042
1,2020-04-21,2.527
0,2020-05-06,2.519
1,2020-05-07,2.774
0,2020-05-22,1.737
1,2020-05-23,2.114
0,2020-06-07,2.024
1,2020-06-08,1.727
0,2020-06-23,2.268
1,2020-06-24,2.14
0,2020-07-09,2.877
1,2020-07-10,2.684
0,2020-08-10,1.788
1,2020-08-11,1.606
0,2020-08-26,2.267
1,2020-08-27,2.588
0,2020-09-27,1.55
1,2020-09-28,1.117
0,2020-10-13,0.332
1,2020-10-14,0.41
0,2020-11-14,0.029
1,2020-11-15,0.03
0,2021-03-06,0.26
1,2021-03-07,0.454
0,2021-04-07,0.0
1,2021-04-08,0.401
0,2021-04-23,1.895
1,2021-04-24,1.658
0,2021-05-09,0.25
1,2021-05-10,0.4
0,2021-05-25,0.606
1,2021-05-26,1.396
0,2021-06-10,0.11
1,2021-06-11,0.149
0,2021-06-26,0.561
1,2021-06-27,0.462
0,2021-07-12,3.457
1,2021-07-13,3.47
0,2021-07-28,3.49
1,2021-07-29,2.876
0,2021-08-29,2.888
1,2021-08-30,3.021
0,2021-09-14,2.477
1,2021-09-15,2.339
0,2021-10-16,0.38
1,2021-10-17,0.694
0,2021-11-01,0.482
1,2021-11-02,0.392
0,2022-02-21,0.586
1,2022-02-22,0.539
0,2022-03-09,0.354
1,2022-03-10,0.493
0,2022-03-25,1.957
1,2022-03-26,1.976
0,2022-04-10,0.838
1,2022-04-11,0.808
0,2022-06-13,0.0
1,2022-06-14,0.018
0,2022-06-29,0.204
1,2022-06-30,0.48
