,Date,ETa
0,2019-03-25,2.595
1,2019-03-26,2.282
0,2019-04-10,2.85
1,2019-04-11,1.4
0,2019-09-08,5.655
1,2019-09-09,5.292
0,2019-10-19,1.888
1,2019-10-20,2.52
0,2019-11-27,1.508
1,2019-11-28,0.754
0,2020-05-30,5.895
1,2020-05-31,6.012
0,2020-06-06,7.319
1,2020-06-07,7.406
0,2020-07-08,7.215
1,2020-07-09,7.603
0,2020-10-21,2.858
1,2020-10-22,2.518
0,2021-03-21,2.549
1,2021-03-22,0.779
0,2021-05-08,5.708
1,2021-05-09,5.541
0,2021-06-25,7.576
1,2021-06-26,7.072
0,2021-08-12,6.732
1,2021-08-13,5.357
0,2021-08-21,5.254
1,2021-08-22,5.44
0,2021-08-28,6.066
1,2021-08-29,4.852
0,2021-09-22,4.151
1,2021-09-23,4.198
0,2021-10-08,2.458
1,2021-10-09,3.144
0,2021-10-24,1.848
1,2021-10-25,1.963
0,2021-11-25,1.424
1,2021-11-26,1.554
0,2022-05-27,6.656
1,2022-05-28,5.64
0,2022-06-05,5.879
1,2022-06-06,6.008
0,2022-06-12,7.441
1,2022-06-13,6.683
