,Date,ETa
0,2017-10-23,0.539
1,2017-10-24,0.513
0,2017-10-23,0.539
1,2017-10-24,0.513
0,2018-09-08,3.604
1,2018-09-09,3.894
0,2018-09-08,3.604
1,2018-09-09,3.894
0,2019-03-19,1.703
1,2019-03-20,1.863
0,2019-03-19,1.703
1,2019-03-20,1.863
0,2019-06-23,1.041
1,2019-06-24,1.569
0,2019-08-26,2.808
1,2019-08-27,2.349
0,2019-08-26,2.808
1,2019-08-27,2.349
0,2019-09-11,0.328
1,2019-09-12,0.526
0,2019-09-11,0.328
1,2019-09-12,0.526
0,2020-03-21,0.7
1,2020-03-22,1.14
0,2022-02-23,0.841
1,2022-02-24,0.495
