,Date,ETa
0,2017-08-17,3.665
1,2017-08-18,3.934
0,2018-07-19,4.839
1,2018-07-20,4.469
0,2018-11-24,0.513
1,2018-11-25,0.027
0,2019-04-01,1.813
1,2019-04-02,1.365
0,2019-06-04,5.69
1,2019-06-05,5.282
0,2020-05-05,3.736
1,2020-05-06,2.979
0,2020-07-08,5.696
1,2020-07-09,4.364
0,2020-07-24,6.321
1,2020-07-25,5.319
0,2020-08-09,5.29
1,2020-08-10,4.783
0,2020-08-25,3.734
1,2020-08-26,2.737
0,2020-10-12,1.798
1,2020-10-13,1.581
0,2021-03-21,1.52
1,2021-03-22,0.724
0,2021-06-09,6.853
1,2021-06-10,6.519
0,2021-07-27,5.669
1,2021-07-28,4.779
0,2021-08-12,3.466
1,2021-08-13,2.113
0,2021-08-28,3.544
1,2021-08-29,1.749
0,2022-02-20,0.862
1,2022-02-21,0.659
0,2022-06-28,6.746
1,2022-06-29,7.523
