,Date,ETa
0,2018-04-26,1.008
1,2018-04-27,1.024
0,2018-05-03,2.989
1,2018-05-04,0.688
0,2018-06-13,0.444
1,2018-06-14,0.727
0,2018-07-15,3.298
1,2018-07-16,3.094
0,2018-07-15,3.298
1,2018-07-16,3.094
0,2019-06-16,4.671
1,2019-06-17,4.902
0,2019-06-16,4.671
1,2019-06-17,4.902
0,2019-06-23,6.177
1,2019-06-24,2.428
0,2019-07-02,3.446
1,2019-07-03,2.265
0,2019-07-02,3.446
1,2019-07-03,2.265
0,2019-07-25,4.409
1,2019-07-26,3.652
0,2020-08-05,2.928
1,2020-08-06,3.416
0,2020-08-05,2.928
1,2020-08-06,3.416
0,2020-09-06,0.256
1,2020-09-07,0.095
0,2021-05-11,2.668
1,2021-05-12,1.062
0,2021-06-12,1.888
1,2021-06-13,1.776
0,2021-09-25,2.469
1,2021-09-26,2.031
0,2021-10-11,0.706
1,2021-10-12,0.554
0,2021-11-03,0.519
1,2021-11-04,0.454
0,2022-05-23,1.93
1,2022-05-24,2.071
0,2022-05-23,1.93
1,2022-05-24,2.071
0,2022-06-24,3.949
1,2022-06-25,3.267
0,2022-06-24,3.949
1,2022-06-25,3.267
