,Date,ETa
0,2018-09-16,3.145
1,2018-09-17,2.899
0,2019-05-07,1.646
1,2019-05-08,1.022
0,2019-05-07,1.646
1,2019-05-08,1.022
0,2019-07-10,4.019
1,2019-07-11,4.254
0,2019-07-10,4.019
1,2019-07-11,4.254
0,2019-09-28,2.202
1,2019-09-29,1.205
0,2019-09-28,2.202
1,2019-09-29,1.205
0,2020-05-16,4.081
1,2020-05-17,1.992
0,2020-06-17,5.927
1,2020-06-18,5.917
0,2020-07-12,5.138
1,2020-07-13,5.588
0,2020-07-12,5.138
1,2020-07-13,5.588
0,2020-07-28,4.518
1,2020-07-29,4.258
0,2020-07-28,4.518
1,2020-07-29,4.258
0,2020-12-03,0.014
1,2020-12-04,0.006
0,2020-12-03,0.014
1,2020-12-04,0.006
0,2021-06-04,5.597
1,2021-06-05,6.609
0,2021-08-16,4.5
1,2021-08-17,4.028
0,2021-08-16,4.5
1,2021-08-17,4.028
0,2021-08-23,4.72
1,2021-08-24,2.948
0,2021-10-19,0.721
1,2021-10-20,0.221
0,2021-11-04,0.528
1,2021-11-05,0.852
0,2021-11-04,0.528
1,2021-11-05,0.852
0,2022-06-23,6.026
1,2022-06-24,6.18
