,Date,ETa
0,2018-05-20,4.907
1,2018-05-21,4.047
0,2018-05-20,4.907
1,2018-05-21,4.047
0,2018-07-07,5.276
1,2018-07-08,5.329
0,2018-07-07,5.276
1,2018-07-08,5.329
0,2018-09-09,3.087
1,2018-09-10,3.435
0,2018-09-09,3.087
1,2018-09-10,3.435
0,2018-09-16,3.324
1,2018-09-17,2.806
0,2019-05-07,1.288
1,2019-05-08,0.775
0,2019-05-07,1.288
1,2019-05-08,0.775
0,2019-06-08,4.642
1,2019-06-09,3.085
0,2019-06-08,4.642
1,2019-06-09,3.085
0,2019-07-10,3.354
1,2019-07-11,3.335
0,2019-07-10,3.354
1,2019-07-11,3.335
0,2019-10-14,0.859
1,2019-10-15,0.372
0,2019-10-14,0.859
1,2019-10-15,0.372
0,2020-05-16,2.906
1,2020-05-17,1.406
0,2020-06-17,5.746
1,2020-06-18,5.844
0,2020-07-12,4.671
1,2020-07-13,5.35
0,2020-07-12,4.671
1,2020-07-13,5.35
0,2020-07-19,4.57
1,2020-07-20,4.671
0,2020-07-28,3.954
1,2020-07-29,4.063
0,2021-06-04,4.667
1,2021-06-05,3.494
0,2021-08-23,4.544
1,2021-08-24,2.819
0,2021-11-04,0.474
1,2021-11-05,0.765
0,2021-11-04,0.474
1,2021-11-05,0.765
