,Date,ETa
0,2017-08-26,5.258
1,2017-08-27,3.233
0,2017-10-29,1.62
1,2017-10-30,1.136
0,2019-01-04,0.482
1,2019-01-05,0.482
0,2019-06-29,7.123
1,2019-06-30,7.099
0,2020-07-17,6.62
1,2020-07-18,7.523
0,2020-08-02,6.108
1,2020-08-03,5.563
0,2020-08-18,4.935
1,2020-08-19,4.826
0,2021-04-15,4.251
1,2021-04-16,2.075
0,2021-05-01,5.093
1,2021-05-02,3.649
0,2021-06-18,6.11
1,2021-06-19,5.225
0,2021-08-21,5.218
1,2021-08-22,5.147
0,2021-09-06,4.736
1,2021-09-07,4.847
0,2021-12-11,0.758
1,2021-12-12,1.041
0,2022-04-18,3.704
1,2022-04-19,3.226
