,Date,ETa
0,2018-05-20,4.389
1,2018-05-21,5.413
0,2018-07-14,4.882
1,2018-07-15,4.645
0,2018-09-16,2.522
1,2018-09-17,1.97
0,2018-10-18,0.98
1,2018-10-19,0.579
0,2019-05-30,2.032
1,2019-05-31,2.765
0,2019-06-15,3.413
1,2019-06-16,2.855
0,2020-04-23,1.124
1,2020-04-24,1.285
0,2020-06-17,5.774
1,2020-06-18,4.737
0,2020-06-26,4.818
1,2020-06-27,4.811
0,2020-07-03,6.142
1,2020-07-04,5.758
0,2020-07-12,3.62
1,2020-07-13,4.368
0,2021-05-28,3.853
1,2021-05-29,4.434
0,2021-06-04,4.822
1,2021-06-05,5.491
0,2022-06-23,5.829
1,2022-06-24,5.746
