,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,ETa
0,0,0,0,1,LC08_042035_20161003,-120.1022831197487,36.94649491020236,2016-10-03 18:34:22.601999872,,,,,,,,,,,,,,,,,,-120.10228482909189,36.9465412115653,,,1,1,,,,,,,0.7493154550681679,0.8749644323035518,14.39621945869383,,740.6243264866846,0.7493154550681679,2.1669899724188166,0.8749644323035518,267.42720632618267,,,,,,,,,,,,0.1165277361869812,-32.705718994140625,,,,,1,-120.1022831197487,36.94649491020236,,18.77686665619187,40.376948829482,2.1089759455778805,98.3572548326433,36.33130691854582,-118.70155674952008,0.8434217572212219,341287,280.66896644,525582,35.738687772401555,-120.28383921085708,0.1032122746109962,310.1598934148183,73.50949297424705,313.34181962,2016-10-03,,,,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,277,,,,,,,,,
1,1,1,1,3,LC08_043034_20161010,-120.1022831197487,36.94649491020236,2016-10-10 18:40:12.323000064,,,,,,,,,,,,,,,,,,-120.1022663583096,36.946576772799474,,,1,1,,,,,,,0.7472300807257507,0.7375675736072357,12.46532733886544,,696.3061013587587,0.7472300807257507,3.6342360783896432,0.7375675736072357,319.3046641558449,,,,,,,,,,,,0.1683709770441055,-49.38756561279297,,,,,3,-120.1022831197487,36.94649491020236,,27.326640748543152,20.29498243091729,0.267613008060517,202.49084596280989,37.98188751301647,-119.62557819750316,0.8141589760780334,345782,293.3258945,558876,36.59490376051178,-119.97366314420508,0.1631247550249099,314.3759089511041,73.81872947422346,316.88630636,2016-10-10,87.24785833333333,81.46701109571505,6.2000003,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,284,,,,,,,,,
2,2,2,2,0,LC08_042034_20161019,-120.1022831197487,36.94649491020236,2016-10-19 18:34:03.598000128,0.0253349999999999,0.0284149999999999,0.0579775,0.0457124999999999,0.3395775,0.1553824999999999,0.07973,298.77421838,21824.0,0.138631555,0.7627112045472242,0.5244817025286636,0.4979131132171379,298.77421838,1.233159046052536,0.9623315904605252,0.9740694248519732,-120.10228482909189,36.9465412115653,-0.762711226940155,0.762711226940155,1,1,-0.7083296650777879,-298.77421838,298.77421838,300.39216366122605,-300.39216366122605,300.39216366122605,0.7352360702318909,0.8447788145413963,13.972009094482202,434.7907310886961,648.4907133407534,0.7352360702318909,2.215853425159978,0.8447788145413963,278.52188620673047,391.8291159899578,34.42903482664344,0.0492557925170999,0.2039423455670173,242.5380755134717,17.682874434741922,3.5940932412828914,35.827106241837186,0.0492557925170999,0.2039423455670173,0.3161938199512076,0.2082056999206543,-58.94926834106445,0.1696993482707759,1.008444234804694,114.86200564984269,0.3213821476368281,0,-120.1022831197487,36.94649491020236,88.49426329577076,19.13416610639268,38.12430934958641,1.1214317673839669,196.9668117193486,37.260344874073176,-119.24215980755812,0.7387589812278748,401446,283.12994084,691224,37.85123422456022,-118.02051078313822,0.0703267231583595,364.6056482157704,76.47364775459897,302.2811069,2016-10-19,81.79981249999999,78.08385486953702,4.1,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,28.59947849906112,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,293,13.657716457695718,17.32218224612645,8.489669415267668,101.45700214193444,227.8784439882652,-211.63064203898327,46.42428498743032,23.8212684314374,2.222
3,3,2,2,0,LC08_042034_20161019,-120.1022831197487,36.94649491020236,2016-10-19 18:34:03.598000128,0.0253349999999999,0.0284149999999999,0.0579775,0.0457124999999999,0.3395775,0.1553824999999999,0.07973,298.77421838,21824.0,0.138631555,0.7627112045472242,0.5244817025286636,0.4979131132171379,298.77421838,1.233159046052536,0.9623315904605252,0.9740694248519732,-120.10228482909189,36.9465412115653,-0.762711226940155,0.762711226940155,1,1,-0.7083296650777879,-298.77421838,298.77421838,300.39216366122605,-300.39216366122605,300.39216366122605,0.7352360702318909,0.8447788145413963,13.972009094482202,434.7907310886961,648.4907133407534,0.7352360702318909,2.215853425159978,0.8447788145413963,278.52188620673047,391.8291159899578,34.42903482664344,0.0492557925170999,0.2039423455670173,242.5380755134717,17.682874434741922,3.5940932412828914,35.827106241837186,0.0492557925170999,0.2039423455670173,0.3161938199512076,0.2082056999206543,-58.94926834106445,0.1696993482707759,1.008444234804694,114.86200564984269,0.3213821476368281,0,-120.1022831197487,36.94649491020236,88.49426329577076,19.13416610639268,38.12430934958641,1.1214317673839669,196.9668117193486,37.260344874073176,-119.24215980755812,0.7387589812278748,401446,283.12994084,691224,37.85123422456022,-118.02051078313822,0.0703267231583595,364.6056482157704,76.47364775459897,302.2811069,2016-10-19,81.79981249999999,78.08385486953702,4.1,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,28.59947849906112,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,293,13.657716457695718,17.32218224612645,8.489669415267668,101.45700214193444,227.8784439882652,-211.63064203898327,46.42428498743032,23.8212684314374,2.222
4,4,3,3,2,LC08_042035_20161019,-120.1022831197487,36.94649491020236,2016-10-19 18:34:27.484999936,0.0206874999999999,0.0291299999999999,0.0588024999999999,0.0513775,0.3363875,0.157665,0.0824524999999999,298.8630869,21824.0,0.138711745,0.7350070274521939,0.4996047125971345,0.481563251536161,298.8630869,1.1433922047990217,0.9614339220479902,0.9737731942758368,-120.10228482909189,36.9465412115653,-0.7350070476531982,0.7350070476531982,1,1,-0.7024089678382551,-298.8630869,298.8630869,300.19928912062187,-300.19928912062187,300.19928912062187,0.7384608584410065,0.8446930249573716,13.970803459700385,434.9022070168024,668.0260934737082,0.7384608584410065,2.217527058650396,0.8446930249573716,296.194995874903,425.23273790063087,39.63689949028498,0.0449315739044972,0.2020975167790203,127.58044207483924,20.35992168695472,2.187068502763488,36.15415072035911,0.0449315739044972,0.2020975167790203,0.2944931752435873,0.1737378686666488,-49.96891403198242,0.3811257095679859,2.097990231525264,258.01539633550664,0.6691342868201035,2,-120.1022831197487,36.94649491020236,88.44154325732961,19.14628150165206,38.0916670965656,1.1235767391095397,196.9668117193486,36.33106785243372,-118.71826251342964,0.8806700706481934,450662,287.61096506,730125,35.13596296243776,-119.28935304036884,0.1060772538185119,312.47604362870146,63.28263560789272,311.30126168,2016-10-19,81.79981249999999,78.08385486953702,4.1,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,59.49900296605647,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,293,15.354838247204748,17.57389666743722,8.705881721396969,100.53380664457374,219.6664691175557,-209.9241123943837,47.120248596088494,24.64200867262221,2.222
5,5,3,3,2,LC08_042035_20161019,-120.1022831197487,36.94649491020236,2016-10-19 18:34:27.484999936,0.0206874999999999,0.0291299999999999,0.0588024999999999,0.0513775,0.3363875,0.157665,0.0824524999999999,298.8630869,21824.0,0.138711745,0.7350070274521939,0.4996047125971345,0.481563251536161,298.8630869,1.1433922047990217,0.9614339220479902,0.9737731942758368,-120.10228482909189,36.9465412115653,-0.7350070476531982,0.7350070476531982,1,1,-0.7024089678382551,-298.8630869,298.8630869,300.19928912062187,-300.19928912062187,300.19928912062187,0.7384608584410065,0.8446930249573716,13.970803459700385,434.9022070168024,668.0260934737082,0.7384608584410065,2.217527058650396,0.8446930249573716,296.194995874903,425.23273790063087,39.63689949028498,0.0449315739044972,0.2020975167790203,127.58044207483924,20.35992168695472,2.187068502763488,36.15415072035911,0.0449315739044972,0.2020975167790203,0.2944931752435873,0.1737378686666488,-49.96891403198242,0.3811257095679859,2.097990231525264,258.01539633550664,0.6691342868201035,2,-120.1022831197487,36.94649491020236,88.44154325732961,19.14628150165206,38.0916670965656,1.1235767391095397,196.9668117193486,36.33106785243372,-118.71826251342964,0.8806700706481934,450662,287.61096506,730125,35.13596296243776,-119.28935304036884,0.1060772538185119,312.47604362870146,63.28263560789272,311.30126168,2016-10-19,81.79981249999999,78.08385486953702,4.1,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,59.49900296605647,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,293,15.354838247204748,17.57389666743722,8.705881721396969,100.53380664457374,219.6664691175557,-209.9241123943837,47.120248596088494,24.64200867262221,2.222
6,6,4,4,4,LC08_043034_20161026,-120.1022831197487,36.94649491020236,2016-10-26 18:40:14.991000064,0.01516,0.0230799999999999,0.04827,0.0434025,0.299675,0.1361875,0.0660625,300.79426820000003,21824.0,0.12103161,0.7469813671837996,0.4619220398128321,0.4559589717434044,300.79426820000003,1.0160726400895086,0.960160726400895,0.9733530397122954,-120.1022663583096,36.946576772799474,-0.7469813823699951,0.7469813823699951,1,1,-0.7225423558320997,-300.79426820000003,300.79426820000003,301.4385277346733,-301.4385277346733,301.4385277346733,0.7227566071476833,1.003639749185134,16.20454431954256,445.6616070353031,608.7787219119313,0.7227566071476833,3.146374992998395,1.003639749185134,270.67331825263994,349.3255359006803,32.24386898370325,0.0389097437078182,0.1002078523547223,147.97734427785116,23.223301880995542,2.8994263757210774,72.91508509706796,0.0389097437078182,0.1002078523547223,0.1826996245968655,0.1402924209833145,-39.390113830566406,0.2500915553400404,1.501250912571359,169.10432263912588,0.5333147270334089,4,-120.1022831197487,36.94649491020236,79.3074795434305,24.88623629090666,31.89828775713404,0.5666558483045585,181.6230267056796,37.94804470836535,-119.4493099600579,0.8787504434585571,518580,280.77150704,696399,36.64315691688629,-120.2935054890698,0.1674526184797287,304.4582283115532,51.13611349352091,310.28610974000003,2016-10-26,,72.98779612056245,3.7,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,42.57547588052374,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,300,13.0552232255505,14.519339326014002,6.942331710055971,90.140522322835,224.68771370108647,-217.33659916602045,40.9644194004875,19.8712213429625,1.908
7,7,5,5,0,LC08_042034_20161104,-120.1022831197487,36.94649491020236,2016-11-04 18:34:03.616000000,0.0178824999999999,0.0203849999999999,0.0477475,0.0334474999999999,0.24957,0.1141325,0.059435,293.13448538,21824.0,0.1024691925,0.7636365242432005,0.4164635309578821,0.4140185244901934,293.13448538,0.8349327375309914,0.95834932737531,0.9727552780338522,-120.10228482909189,36.9465412115653,-0.7636365294456482,0.7636365294456482,1,1,-0.6788113716817881,-293.13448538,293.13448538,294.760232520801,-294.760232520801,294.760232520801,0.7049420138156043,1.271612035928421,19.97046431010549,401.2125919822975,558.1529984568867,0.7049420138156043,2.440702094021998,1.271612035928421,266.2352832068455,354.89332401611387,23.308761078165706,0.0307392207049702,0.0548316677989767,133.1287431517177,23.706419930310386,2.598190021841916,133.25628008665757,0.0307392207049702,0.0548316677989767,0.1210814295009769,0.166419580578804,-46.455684661865234,0.2916111413844459,1.3827470405286892,198.4558197862304,0.5985074155076662,0,-120.1022831197487,36.94649491020236,65.51212499842181,20.69439923240619,52.1002558666613,0.3186153144789329,158.8821622747555,37.45123773690906,-119.0938875056668,0.6981574892997742,327438,279.14794754,541215,38.13236984884672,-117.96314171327366,0.0539494231343269,288.1078291376746,55.75840967607611,300.18927866,2016-11-04,,74.59853907465218,2.7,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,39.21470606939363,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,309,9.80461569974752,13.996438840681549,5.975546484471271,73.15757351628659,223.84819955140247,-198.98302210803288,33.45617165263285,17.422448138560302,1.223
8,8,5,5,0,LC08_042034_20161104,-120.1022831197487,36.94649491020236,2016-11-04 18:34:03.616000000,0.0178824999999999,0.0203849999999999,0.0477475,0.0334474999999999,0.24957,0.1141325,0.059435,293.13448538,21824.0,0.1024691925,0.7636365242432005,0.4164635309578821,0.4140185244901934,293.13448538,0.8349327375309914,0.95834932737531,0.9727552780338522,-120.10228482909189,36.9465412115653,-0.7636365294456482,0.7636365294456482,1,1,-0.6788113716817881,-293.13448538,293.13448538,294.760232520801,-294.760232520801,294.760232520801,0.7049420138156043,1.271612035928421,19.97046431010549,401.2125919822975,558.1529984568867,0.7049420138156043,2.440702094021998,1.271612035928421,266.2352832068455,354.89332401611387,23.308761078165706,0.0307392207049702,0.0548316677989767,133.1287431517177,23.706419930310386,2.598190021841916,133.25628008665757,0.0307392207049702,0.0548316677989767,0.1210814295009769,0.166419580578804,-46.455684661865234,0.2916111413844459,1.3827470405286892,198.4558197862304,0.5985074155076662,0,-120.1022831197487,36.94649491020236,65.51212499842181,20.69439923240619,52.1002558666613,0.3186153144789329,158.8821622747555,37.45123773690906,-119.0938875056668,0.6981574892997742,327438,279.14794754,541215,38.13236984884672,-117.96314171327366,0.0539494231343269,288.1078291376746,55.75840967607611,300.18927866,2016-11-04,,74.59853907465218,2.7,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,39.21470606939363,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,309,9.80461569974752,13.996438840681549,5.975546484471271,73.15757351628659,223.84819955140247,-198.98302210803288,33.45617165263285,17.422448138560302,1.223
9,9,6,6,2,LC08_042035_20161104,-120.1022831197487,36.94649491020236,2016-11-04 18:34:27.502000128,0.0160124999999999,0.021595,0.04541,0.0348499999999999,0.24858,0.114985,0.0613874999999999,293.16866558000004,21824.0,0.102179315,0.7540839007867904,0.4123776980707601,0.4092197133119743,293.16866558000004,0.8159890893571486,0.9581598908935716,0.9726927639948786,-120.10228482909189,36.9465412115653,-0.7540838718414307,0.7540838718414307,1,1,-0.6910779278206741,-293.16866558000004,293.16866558000004,294.5022667663335,-294.5022667663335,294.5022667663335,0.7091275844376375,1.2717110156523324,19.971855311113345,401.3204096943877,579.1921921735551,0.7091275844376375,2.442081638601177,1.2717110156523324,294.22632437657165,400.6061838921976,26.62256206898136,0.0299212840350513,0.054749881514487,83.82350593243223,28.017597184848,1.936409123176631,133.45534053631943,0.0299212840350513,0.054749881514487,0.1137902343425996,0.2367278635501861,-67.78047943115234,0.4262555420854155,1.7928069818610717,290.160115890784,0.7758631634086479,2,-120.1022831197487,36.94649491020236,65.53975863731974,20.703577150694866,52.0748772502449,0.3191172355456692,158.8821622747555,36.33106785243372,-118.71826251342964,0.8675707578659058,377696,286.32237152,634474,35.29779653145036,-119.55383525525144,0.1423813849687576,286.9441036007468,51.00794190695543,302.23667264,2016-11-04,,74.59853907465218,2.7,36.946608,-120.10237,78.0,0.837194024679433,Almond,Orchards,CA,Almond_Low,CRO,50.84400600557999,10,78,5.074443500650254,5,8.760233879089355,17.592681884765625,72.90660858154297,0.9124498963356018,309,10.216927995462973,13.312789103987802,6.330977333200101,72.8758668898764,221.0737709290245,-202.6023939109786,33.709999011716306,17.99689145829222,1.223
