,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,ETa
0,0,0,0,0,LC08_045033_20170504,-122.97509539836294,38.75103065294166,2017-05-04 18:51:09.430000128,0.0356749999999999,0.0476649999999999,0.08787,0.10338,0.3604775,0.2494325,0.1355275,305.09755538,21824.0,0.1752180775,0.5542596594859412,0.3959561564003524,0.400107121644019,305.09755538,0.7808912825692943,0.9578089128256928,0.9725769412324786,-122.9750271235774,38.75112911575139,-0.5542596578598022,0.5542596578598022,1,1,-0.6080272556443385,-305.09755538,305.09755538,306.0622295356339,-306.0622295356339,306.0622295356339,0.7540406727715843,1.4394912777472522,22.27069006652141,470.56199050285153,890.7410147179504,0.7540406727715843,3.2696805896629133,1.4394912777472522,306.0693595884215,557.2610566224622,84.83024712488128,0.0284275089860701,0.2122098346282906,145.46921527194633,19.62490833751713,2.457142621562639,34.43131697754464,0.0284275089860701,0.2122098346282906,0.3036024526637953,0.1573303788900375,-45.695743560791016,0.48572795104743,4.4823262079871125,326.9615942256346,0.6920835552053656,0,-122.97509539836294,38.75103065294166,181.65080836446768,25.53263017402813,44.0254403533544,1.2440864275649155,298.9850398190847,38.7760205092864,-123.4989389735306,0.9263384342193604,294436,290.44450364,454289,39.418053080438405,-122.20702067347094,0.2638494968414306,453.8336082062235,111.91489223363978,323.41472456,2017-05-04,,,,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,127.11877125851451,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,124,31.5409852751844,26.8089221912406,14.542474977187672,109.98080401949396,169.10326715491192,-185.507629301498,76.10124598232186,41.34910893676295,
1,1,1,1,1,LC08_045033_20170520,-122.97509539836294,38.75103065294166,2017-05-20 18:51:21.311000064,0.0375175,0.0496999999999999,0.0926549999999999,0.1102549999999999,0.41787,0.27388,0.146115,311.6464817,21824.0,0.19682568,0.5824662721893492,0.4506123106670964,0.4488000000000001,311.6464817,0.982962716534874,0.9598296271653488,0.9732437769645652,-122.9750271235774,38.75112911575139,-0.5824662446975708,0.5824662446975708,1,1,-0.6370207139709123,-311.6464817,311.6464817,312.5882216673584,-312.5882216673584,312.5882216673584,0.7636911526409504,1.217810452922137,19.164415453843056,513.3648430966971,921.8830409204776,0.7636911526409504,4.027981897397279,1.217810452922137,333.98912387491737,547.640597660283,100.72377093007844,0.0373753456183623,0.1850723959322964,332.4811948206788,16.874187298138835,4.908329349669842,39.48003182771752,0.0373753456183623,0.1850723959322964,0.3010738351558287,0.3181585073471069,-94.54426574707033,0.1710912449815118,1.7795801320550737,114.43563190952574,0.2560557693626702,1,-122.97509539836294,38.75103065294166,193.6891202937052,29.09612032331058,30.233761817773747,1.0514759645834482,339.3673181735145,39.49127286854531,-123.71508151078052,0.9061283469200134,321966,297.16091294,280253,39.46889861599133,-122.25178272630885,0.1386267095804214,573.1567210151479,121.27604529414874,316.51374218,2017-05-20,184.6425,107.4400255672656,7.7000003,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,50.468892545081886,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,140,34.36058283983346,28.87560476191347,15.488830140489966,130.227715307979,181.5235644367252,-198.52526427905684,85.353738407996,45.536225673595496,4.278
2,2,2,2,0,LC08_045033_20170605,-122.97509539836294,38.75103065294166,2017-06-05 18:51:30.112999936,0.0387275,0.054925,0.0985674999999999,0.1195499999999999,0.4068974999999999,0.2756675,0.1503225,306.58439408000004,21824.0,0.197388935,0.5458236576296782,0.4195441988950276,0.4199155339167371,306.58439408000004,0.8586679005267818,0.9585866790052676,0.9728336040717384,-122.9750271235774,38.75112911575139,-0.5458236336708069,0.5458236336708069,1,1,-0.6099927789263352,-306.58439408000004,306.58439408000004,307.545367652276,-307.545367652276,307.545367652276,0.7757925320530755,0.8993915790726007,14.702611124051565,480.1916744487824,943.597723652965,0.7757925320530755,3.744537825069092,0.8993915790726007,290.25502776920666,555.3849025977653,91.75178316774888,0.0317750242290403,0.2062358635559796,824.1678754435333,13.000871987699025,9.039106082493817,35.428678387237525,0.0317750242290403,0.2062358635559796,0.3528160447517644,0.4465514719486236,-128.2957305908203,-0.5363786778482635,-5.672910327706068,-360.5347560135168,-0.7776294248710118,0,-122.97509539836294,38.75103065294166,204.31376346155804,27.838531010871154,24.01876068793632,1.193870113296558,354.09033920159123,39.25381302745836,-123.53603431887898,0.840692400932312,388634,287.30334326,95251,39.355730831372,-122.0768040962248,0.0593472421169281,724.8718867893306,94.3614784134715,304.36951711999995,2017-06-05,178.73083333333332,98.6867256533312,9.3,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,-160.8837368937441,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,156,36.65216431226398,30.219257263480376,16.839147844844003,124.7484234901668,167.3410153489243,-187.01426652030588,84.51535345504841,46.08653257909081,
3,3,3,3,1,LC08_045033_20170621,-122.97509539836294,38.75103065294166,2017-06-21 18:51:36.069999872,0.0343275,0.0461524999999999,0.084845,0.095625,0.394715,0.26288,0.13572,314.79447812,21824.0,0.1841216425,0.6099645144185667,0.460898234551264,0.4530110871013995,314.79447812,1.0023177778873222,0.9600231777788732,0.973307648667028,-122.9750271235774,38.75112911575139,-0.6099644899368286,0.6099644899368286,1,1,-0.6461548085745267,-314.79447812,314.79447812,315.8219968658227,-315.8219968658227,315.8219968658227,0.7576857106780863,1.4771370050726629,22.798196075031576,534.5313728253653,919.3951285820071,0.7576857106780863,5.903446262342657,1.4771370050726629,335.212353939027,537.3948438349049,102.32513385533736,0.0382704320345501,0.1577391263992324,317.7850760148232,17.581743181774936,4.95191976378851,46.32119023751965,0.0382704320345501,0.1577391263992324,0.2689943271609739,0.2664833962917328,-79.20940399169922,0.1759085234005592,2.008674666740695,117.2846339647444,0.2695766477750255,1,-122.97509539836294,38.75103065294166,206.99999063154183,35.88448219109583,25.02160499867907,0.8937133953197525,348.6038472760828,39.39496005553599,-123.728032941549,0.9045674800872804,447671,297.2395274,69218,38.506812141204165,-122.79103037150011,0.0676091909408569,524.5859643248597,123.7456526607438,320.0889911,2017-06-21,214.9183333333333,145.6086878726833,10.0,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,56.966013548766114,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,172,30.102221970225003,26.7087374960914,14.528552151433267,124.2541024311358,192.01346098811192,-203.40596574994663,82.7531724081856,42.7239065704464,5.183
4,4,4,4,0,LC08_045033_20170707,-122.97509539836294,38.75103065294166,2017-07-07 18:51:39.469000192,0.0356475,0.0461524999999999,0.084405,0.097715,0.3947425,0.2673075,0.1395974999999999,315.96685898,21824.0,0.185255275,0.6031535716280085,0.4542013944373891,0.4489272840398708,315.96685898,0.9835427724654932,0.9598354277246548,0.973245691149136,-122.9750271235774,38.75112911575139,-0.6031535863876343,0.6031535863876343,1,1,-0.6476867770362988,-315.96685898,315.96685898,317.1039715951019,-317.1039715951019,317.1039715951019,0.7829313897255246,0.6974717815569291,11.873235415462872,542.4328293506201,940.9585451954952,0.7829313897255246,5.726441004851735,0.6974717815569291,323.94432366742313,535.141420257379,105.85252746870498,0.0374020911248358,0.3262614718373229,408.3869441035536,13.336315204641808,4.854504802824849,22.395117758440616,0.0374020911248358,0.3262614718373229,0.4608766142437556,0.2251648306846618,-66.54615783691406,0.0313892210905112,0.3651460547823348,20.901948685120374,0.0486897029861188,0,-122.97509539836294,38.75103065294166,208.0771945987195,35.33123940138438,12.17984749979953,1.853477443171364,353.1791041272,39.49131556906155,-123.70810447347388,0.907702624797821,413114,295.54418948,92532,38.31443444386888,-122.48204906504272,0.0901281088590622,543.6131030933095,127.20959651508564,322.4986952,2017-07-07,187.85416666666663,189.9793913301581,13.2,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,10.355542113627015,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,188,30.874701625230696,26.66918273220689,14.582660459074418,124.72554783091265,190.5765395098703,-204.6475565430389,84.46031115679634,44.10818359646051,5.329
5,5,5,5,1,LC08_045033_20170723,-122.97509539836294,38.75103065294166,2017-07-23 18:51:45.638000128,0.03606,0.0480224999999999,0.088585,0.10701,0.40258,0.269645,0.1417975,313.88186678,21824.0,0.1903419775,0.5800153064228105,0.4386688107618339,0.439143612753692,313.88186678,0.9398262899787224,0.9593982628997872,0.9731014267569298,-122.9750271235774,38.75112911575139,-0.5800153017044067,0.5800153017044067,1,1,-0.639286186922928,-313.88186678,313.88186678,315.0966070093082,-315.0966070093082,315.0966070093082,0.7666408042103379,1.0797059135505167,17.229243005418006,528.0157706710478,906.6922649488916,0.7666408042103379,4.843930377980872,1.0797059135505167,337.5800215635209,529.9685818612326,102.94523856138278,0.0354010819296759,0.249557028566257,200.64885762711296,17.13612759534044,3.061982419328636,29.27853454505728,0.0354010819296759,0.249557028566257,0.3548758389154836,0.1796559393405914,-53.5469970703125,0.3392840724407483,3.762120539609201,226.3744856727368,0.5301220395199329,1,-122.97509539836294,38.75103065294166,197.292060598364,32.32914596435457,22.289872671551027,1.426803548841571,330.0323639272856,39.4912942711298,-123.71159299398288,0.9207574129104614,326374,298.05301616,485795,39.65187023461935,-122.38514012827976,0.2254516631364822,436.1003294915073,125.46921950027706,326.50461464,2017-07-23,186.2675,122.40869083080428,9.5,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,106.69373850331694,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,204,33.5884985641278,27.805225168706297,15.073391947442518,126.3625619282924,182.05628714096548,-200.66034175803668,84.63667596789311,44.507664004737045,4.308
6,6,6,6,0,LC08_045033_20170808,-122.97509539836294,38.75103065294166,2017-08-08 18:51:52.451000064,0.0326225,0.0465099999999999,0.0844875,0.1012075,0.389215,0.25474,0.1311,305.9896586,21824.0,0.1822761725,0.5872640427386591,0.4370013686283673,0.436188848698409,305.9896586,0.926958291457342,0.9592695829145734,0.9730589623618092,-122.9750271235774,38.75112911575139,-0.5872640609741211,0.5872640609741211,1,1,-0.6432887730168196,-305.9896586,305.9896586,307.2311713450653,-307.2311713450653,307.2311713450653,0.7491234426780224,1.5678210928118748,24.068895422800768,476.81589993208286,865.0168402849262,0.7491234426780224,3.7310607510501073,1.5678210928118748,327.9494078969716,545.1208732880723,84.5070122197026,0.0348180736133612,0.1969832728320409,95.39148429225844,21.862595646094807,1.808060227905664,37.09281492174758,0.0348180736133612,0.1969832728320409,0.2790864968968953,0.1521704494953155,-44.94344711303711,0.5431860754111945,4.93947735467739,365.2223767761113,0.792903574219406,0,-122.97509539836294,38.75103065294166,174.52519487876833,27.776696002218607,42.02078704750684,1.128385991539279,297.3332704626364,39.44026211129539,-123.7455866571528,0.9319809079170228,299005,295.34936234,467727,39.15926598198172,-122.32139402246756,0.2258650362491607,405.5956117504653,115.6617035011485,325.3527419,2017-08-08,168.71416666666673,80.38594200529505,7.2000003,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,140.08357777865078,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,220,30.9684483727595,25.85230128096749,14.231579021485969,119.095764971999,179.69672394565808,-196.83971203662952,77.947805631764,40.11524424246,3.866
7,7,7,7,1,LC08_045033_20170824,-122.97509539836294,38.75103065294166,2017-08-24 18:51:56.856000000,0.0333374999999999,0.0453274999999999,0.0822875,0.0998875,0.37552,0.241925,0.126535,303.62780678,21824.0,0.17625689,0.5797815558231622,0.4214851010504536,0.4238728428887414,303.62780678,0.8748882506452613,0.9587488825064524,0.9728871312271292,-122.9750271235774,38.75112911575139,-0.5797815322875977,0.5797815322875977,1,1,-0.6405148452133266,-303.62780678,303.62780678,304.868052938126,-304.868052938126,304.868052938126,0.753120725967334,1.260869699242779,19.76777771484328,462.0128977776526,839.7386308980002,0.753120725967334,3.76118760859801,1.260869699242779,311.0452868981359,527.930334847895,76.00650589939437,0.0324896200750732,0.2489110302078359,100.36770447951751,19.382030814340084,1.671629328314225,29.354521074209043,0.0324896200750732,0.2489110302078359,0.3332455561200759,0.1258898079395294,-36.70814895629883,0.5216581811807302,4.590849226783941,351.55612446898306,0.77791012987068,1,-122.97509539836294,38.75103065294166,165.7146891985155,27.914655942529567,33.52318018809944,1.4372471024800344,291.3984107190116,39.39496005553599,-123.728032941549,0.9016881585121156,279581,291.58954034,472028,39.15926598198172,-122.32139402246756,0.2180123329162597,369.7388930585288,104.50823088552696,325.08271832,2017-08-24,159.09083333333334,74.9292916991858,6.5,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,130.19648407159258,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,236,30.32862254973725,24.98477315040925,13.76268941182042,114.0183140020256,176.03780220608286,-194.47811766215355,73.4551571552515,38.4195445309073,3.34
8,8,8,8,0,LC08_045033_20170909,-122.97509539836294,38.75103065294166,2017-09-09 18:51:58.285000192,0.0285525,0.0375449999999999,0.0669699999999999,0.0754125,0.3106199999999999,0.2202,0.1147099999999999,306.0751091,21824.0,0.1470641,0.6092945542149948,0.3969056855938968,0.3981922220686035,306.0751091,0.7736563144594566,0.9577365631445944,0.9725530658377162,-122.9750271235774,38.75112911575139,-0.6092945337295532,0.6092945337295532,1,1,-0.6452766227919172,-306.0751091,306.0751091,307.2580433842885,-307.2580433842885,307.2580433842885,0.7373812301529168,1.5793614103958662,24.23060266816887,476.58588791640017,782.081680840897,0.7373812301529168,3.99766315053793,1.5793614103958662,336.9856907157261,513.2231716601297,74.01219535840801,0.0281232199261714,0.1259973471586149,98.47525151557164,25.263332979958133,2.154094090754484,57.99061842659928,0.0281232199261714,0.1259973471586149,0.2009952113112075,0.2101362198591232,-62.41194915771485,0.5067809757103052,3.994298918538027,340.73572478615,0.7757905498064721,0,-122.97509539836294,38.75103065294166,144.23883391251275,28.965348002561257,39.50711580547615,0.7395605137318928,256.3558260620245,39.49127286854531,-123.71508151078052,0.918975293636322,334703,297.00710204,478011,39.65188869219392,-122.38863677407362,0.227945938706398,343.0926890902499,92.26862681698157,317.32723094,2017-09-09,149.7770833333333,80.38905533810001,7.7000003,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,113.27831732973844,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,252,23.081889165003748,20.497850056426973,11.491589971159469,95.07305038864196,186.4898971553904,-197.5031127207156,67.39773902382001,35.10987576486097,3.538
9,9,9,9,1,LC08_045033_20170925,-122.97509539836294,38.75103065294166,2017-09-25 18:52:03.612000000,0.0290749999999999,0.0345749999999999,0.0597099999999999,0.0686749999999999,0.2838625,0.205405,0.1062949999999999,307.06291688,21824.0,0.1350693975,0.6103960571570402,0.3744735834609496,0.3786123777546443,307.06291688,0.7022901395827051,0.957022901395827,0.9723175574606228,-122.9750271235774,38.75112911575139,-0.6103960275650024,0.6103960275650024,1,1,-0.6524168843548306,-307.06291688,307.06291688,308.2094982390144,-308.2094982390144,308.2094982390144,0.759179492126671,0.6664140206093521,11.438042455340131,482.408413722446,751.6477357149794,0.759179492126671,3.799685954949148,0.6664140206093521,331.8651652818415,485.3172785475054,70.5539462910906,0.0251927647944892,0.0675152099555959,119.58691549423068,24.9531138899986,2.58912568370161,108.22248922345828,0.0251927647944892,0.0675152099555959,0.1340862528331111,0.2219140231609344,-65.806884765625,0.439427807264623,3.215776465172316,295.1764167621841,0.7116743304099511,1,-122.97509539836294,38.75103065294166,126.4699741759306,28.08955808277618,17.538660523808232,0.4012073126797498,141.68703638840705,39.3949162484404,-123.73500034072156,0.9285959601402284,341238,296.54225132,589095,39.15930621155351,-122.32833820322077,0.2238056659698486,427.7220828352886,87.22255841899438,313.41018002,2017-09-25,105.84291666666668,77.14240720957045,7.2000003,38.751,-122.975,102.0,0.851117551164469,Vineyard,Vineyards,CA,BAR012,CRO,91.19942055228688,30,103,3.023171333458305,0,18.791015625,38.54305267333984,42.02837371826172,0.2088871896266937,268,21.087545816733968,18.33472676690477,10.616700351125967,87.163647242849,187.429993762692,-200.33303153175592,63.0722584417364,32.63925274975957,2.427
